geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
3113992358,"Pierce city, Pierce County, Nebraska",762.0,638.0,14.0,533.0,91.0,124.0,139,92358,31,547.0,215.0
3113992975,"South Branch precinct, Pierce County, Nebraska",309.0,250.0,2.0,218.0,30.0,59.0,139,92975,31,220.0,89.0
3113991015,"Foster precinct, Pierce County, Nebraska",73.0,65.0,0.0,59.0,6.0,8.0,139,91015,31,59.0,14.0
3113992000,"Mills precinct, Pierce County, Nebraska",12.0,12.0,0.0,0.0,12.0,0.0,139,92000,31,0.0,12.0
3113991830,"Logan precinct, Pierce County, Nebraska",60.0,52.0,0.0,26.0,26.0,8.0,139,91830,31,26.0,34.0
3113993500,"Willow Creek precinct, Pierce County, Nebraska",27.0,23.0,0.0,23.0,0.0,4.0,139,93500,31,23.0,4.0
3113992160,"North Dry Creek precinct, Pierce County, Nebraska",64.0,54.0,0.0,49.0,5.0,10.0,139,92160,31,49.0,15.0
3113990275,"Blaine precinct, Pierce County, Nebraska",8.0,8.0,0.0,8.0,0.0,0.0,139,90275,31,8.0,0.0
3113990545,"Clover Valley precinct, Pierce County, Nebraska",55.0,27.0,0.0,27.0,0.0,28.0,139,90545,31,27.0,28.0
3113992445,"Plum Grove precinct, Pierce County, Nebraska",430.0,330.0,0.0,310.0,20.0,100.0,139,92445,31,310.0,120.0
3113990540,"Cleveland precinct, Pierce County, Nebraska",91.0,62.0,0.0,62.0,0.0,29.0,139,90540,31,62.0,29.0
3113990790,"Eastern precinct, Pierce County, Nebraska",104.0,73.0,1.0,67.0,5.0,31.0,139,90790,31,68.0,36.0
3113992378,"Plainview city, Pierce County, Nebraska",625.0,523.0,9.0,483.0,31.0,102.0,139,92378,31,492.0,133.0
3108922885,"Holt Creek township, Holt County, Nebraska",23.0,23.0,0.0,0.0,23.0,0.0,089,22885,31,0.0,23.0
3108944525,"Shamrock township, Holt County, Nebraska",8.0,5.0,0.0,5.0,0.0,3.0,089,44525,31,5.0,3.0
3108950475,"Verdigris township, Holt County, Nebraska",180.0,162.0,29.0,85.0,48.0,18.0,089,50475,31,114.0,66.0
3108946975,"Steel Creek township, Holt County, Nebraska",9.0,5.0,0.0,5.0,0.0,4.0,089,46975,31,5.0,4.0
3108924810,"Josie township, Holt County, Nebraska",18.0,18.0,3.0,15.0,0.0,0.0,089,24810,31,18.0,0.0
3108925965,"Lake township, Holt County, Nebraska",33.0,30.0,0.0,14.0,16.0,3.0,089,25965,31,14.0,19.0
3108948025,"Swan township, Holt County, Nebraska",53.0,30.0,0.0,30.0,0.0,23.0,089,48025,31,30.0,23.0
3108920155,"Green Valley township, Holt County, Nebraska",34.0,34.0,0.0,10.0,24.0,0.0,089,20155,31,10.0,24.0
3108912700,"Deloit township, Holt County, Nebraska",41.0,34.0,2.0,23.0,9.0,7.0,089,12700,31,25.0,16.0
3108947535,"Stuart township, Holt County, Nebraska",399.0,325.0,0.0,229.0,96.0,74.0,089,47535,31,229.0,170.0
310892585,"Atkinson township, Holt County, Nebraska",807.0,673.0,3.0,562.0,108.0,134.0,089,2585,31,565.0,242.0
3106590177,"Beaver City city, Furnas County, Nebraska",263.0,202.0,0.0,182.0,20.0,61.0,065,90177,31,182.0,81.0
3106590175,"Beaver City precinct, Furnas County, Nebraska",25.0,25.0,0.0,25.0,0.0,0.0,065,90175,31,25.0,0.0
3106593525,"Wilsonville precinct, Furnas County, Nebraska",86.0,58.0,7.0,46.0,5.0,28.0,065,93525,31,53.0,33.0
3106590445,"Cambridge precinct, Furnas County, Nebraska",659.0,569.0,4.0,514.0,51.0,90.0,065,90445,31,518.0,141.0
3106592290,"Oxford precinct, Furnas County, Nebraska",253.0,195.0,0.0,165.0,30.0,58.0,065,92290,31,165.0,88.0
3106590845,"Edison precinct, Furnas County, Nebraska",99.0,85.0,0.0,71.0,14.0,14.0,065,90845,31,71.0,28.0
3106591375,"Hendley precinct, Furnas County, Nebraska",85.0,83.0,0.0,64.0,19.0,2.0,065,91375,31,64.0,21.0
3106591450,"Holbrook precinct, Furnas County, Nebraska",151.0,122.0,0.0,111.0,11.0,29.0,065,91450,31,111.0,40.0
3106591455,"Hollinger precinct, Furnas County, Nebraska",27.0,15.0,0.0,15.0,0.0,12.0,065,91455,31,15.0,12.0
3106592100,"New Era precinct, Furnas County, Nebraska",16.0,16.0,0.0,16.0,0.0,0.0,065,92100,31,16.0,0.0
3106590075,"Arapahoe precinct, Furnas County, Nebraska",508.0,363.0,3.0,312.0,48.0,145.0,065,90075,31,315.0,193.0
3107390805,"East Muddy precinct, Gosper County, Nebraska",12.0,12.0,3.0,9.0,0.0,0.0,073,90805,31,12.0,0.0
3107390870,"Elk Creek precinct, Gosper County, Nebraska",20.0,10.0,0.0,10.0,0.0,10.0,073,90870,31,10.0,10.0
3107390900,"Elwood 7-23 precinct, Gosper County, Nebraska",11.0,11.0,0.0,11.0,0.0,0.0,073,90900,31,11.0,0.0
3107390235,"Bethel precinct, Gosper County, Nebraska",182.0,147.0,0.0,137.0,10.0,35.0,073,90235,31,137.0,45.0
3107391395,"Highland precinct, Gosper County, Nebraska",18.0,18.0,0.0,10.0,8.0,0.0,073,91395,31,10.0,8.0
3107390895,"Elwood 7-22 precinct, Gosper County, Nebraska",374.0,296.0,0.0,278.0,18.0,78.0,073,90895,31,278.0,96.0
3107392755,"Robb precinct, Gosper County, Nebraska",45.0,38.0,0.0,33.0,5.0,7.0,073,92755,31,33.0,12.0
3107391765,"Lincoln precinct, Gosper County, Nebraska",36.0,27.0,0.0,21.0,6.0,9.0,073,91765,31,21.0,15.0
3107390335,"Brace precinct, Gosper County, Nebraska",46.0,46.0,0.0,46.0,0.0,0.0,073,90335,31,46.0,0.0
3107393225,"Turkey Creek precinct, Gosper County, Nebraska",13.0,13.0,0.0,13.0,0.0,0.0,073,93225,31,13.0,0.0
3107391315,"Harrison precinct, Gosper County, Nebraska",75.0,64.0,0.0,59.0,5.0,11.0,073,91315,31,59.0,16.0
3107393245,"Union precinct, Gosper County, Nebraska",42.0,42.0,0.0,25.0,17.0,0.0,073,93245,31,25.0,17.0
3107393435,"West Muddy precinct, Gosper County, Nebraska",11.0,5.0,0.0,0.0,5.0,6.0,073,93435,31,0.0,11.0
3115190610,"Crete precinct, Saline County, Nebraska",301.0,297.0,0.0,289.0,8.0,4.0,151,90610,31,289.0,12.0
3115190100,"Atlanta precinct, Saline County, Nebraska",39.0,39.0,0.0,32.0,7.0,0.0,151,90100,31,32.0,7.0
3113992360,"Pierce precinct, Pierce County, Nebraska",158.0,158.0,0.0,158.0,0.0,0.0,139,92360,31,158.0,0.0
3113992955,"Slough precinct, Pierce County, Nebraska",63.0,63.0,0.0,55.0,8.0,0.0,139,92955,31,55.0,8.0
3116593465,"Whistle Creek precinct, Sioux County, Nebraska",88.0,53.0,0.0,53.0,0.0,35.0,165,93465,31,53.0,35.0
3116592910,"Sheep Creek precinct, Sioux County, Nebraska",209.0,176.0,0.0,150.0,26.0,33.0,165,92910,31,150.0,59.0
3116590320,"Bowen precinct, Sioux County, Nebraska",282.0,233.0,7.0,179.0,47.0,49.0,165,90320,31,186.0,96.0
3102148515,"Tekamah city, Burt County, Nebraska",771.0,588.0,5.0,494.0,89.0,183.0,021,48515,31,499.0,272.0
310211955,"Arizona township, Burt County, Nebraska",126.0,115.0,0.0,105.0,10.0,11.0,021,1955,31,105.0,21.0
3102111125,"Craig township, Burt County, Nebraska",185.0,123.0,2.0,101.0,20.0,62.0,021,11125,31,103.0,82.0
