geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
2501142040,"Monroe town, Franklin County, Massachusetts",86.0,42.0,44.0,74.0,42.0,32.0,1.0,0.0,1.0,4.0,0.0,4.0,7.0,0.0,7.0,0.0,0.0,0.0,011,42040,25
2501161905,"Shutesbury town, Franklin County, Massachusetts",1740.0,831.0,909.0,1511.0,718.0,793.0,70.0,29.0,41.0,69.0,41.0,28.0,63.0,30.0,33.0,27.0,13.0,14.0,011,61905,25
250119595,"Buckland town, Franklin County, Massachusetts",1909.0,959.0,950.0,1717.0,817.0,900.0,166.0,122.0,44.0,0.0,0.0,0.0,26.0,20.0,6.0,0.0,0.0,0.0,011,9595,25
2501168400,"Sunderland town, Franklin County, Massachusetts",3616.0,1904.0,1712.0,2543.0,1403.0,1140.0,258.0,113.0,145.0,546.0,284.0,262.0,156.0,71.0,85.0,113.0,33.0,80.0,011,68400,25
2501174525,"Wendell town, Franklin County, Massachusetts",853.0,447.0,406.0,777.0,403.0,374.0,51.0,32.0,19.0,14.0,10.0,4.0,8.0,2.0,6.0,3.0,0.0,3.0,011,74525,25
2501158335,"Rowe town, Franklin County, Massachusetts",398.0,182.0,216.0,369.0,177.0,192.0,9.0,3.0,6.0,8.0,1.0,7.0,7.0,1.0,6.0,5.0,0.0,5.0,011,58335,25
2501114885,"Colrain town, Franklin County, Massachusetts",1616.0,798.0,818.0,1476.0,746.0,730.0,84.0,35.0,49.0,50.0,11.0,39.0,6.0,6.0,0.0,0.0,0.0,0.0,011,14885,25
250219175,"Brookline town, Norfolk County, Massachusetts",58920.0,27497.0,31423.0,46214.0,21840.0,24374.0,2948.0,1290.0,1658.0,4410.0,1940.0,2470.0,2864.0,1293.0,1571.0,2484.0,1134.0,1350.0,021,9175,25
2502111315,"Canton town, Norfolk County, Massachusetts",22654.0,10648.0,12006.0,20510.0,9653.0,10857.0,1222.0,625.0,597.0,757.0,301.0,456.0,80.0,55.0,25.0,85.0,14.0,71.0,021,11315,25
2502139765,"Medfield town, Norfolk County, Massachusetts",12523.0,6331.0,6192.0,11567.0,5901.0,5666.0,300.0,111.0,189.0,422.0,218.0,204.0,218.0,85.0,133.0,16.0,16.0,0.0,021,39765,25
2502141515,"Millis town, Norfolk County, Massachusetts",8114.0,3955.0,4159.0,7585.0,3695.0,3890.0,297.0,165.0,132.0,125.0,36.0,89.0,75.0,39.0,36.0,32.0,20.0,12.0,021,41515,25
2502144105,"Needham town, Norfolk County, Massachusetts",30187.0,14615.0,15572.0,27603.0,13525.0,14078.0,1078.0,395.0,683.0,804.0,384.0,420.0,523.0,256.0,267.0,179.0,55.0,124.0,021,44105,25
2502146050,"Norfolk town, Norfolk County, Massachusetts",11510.0,6958.0,4552.0,10363.0,6089.0,4274.0,379.0,222.0,157.0,623.0,550.0,73.0,145.0,97.0,48.0,0.0,0.0,0.0,021,46050,25
2502150250,"Norwood town, Norfolk County, Massachusetts",28695.0,13725.0,14970.0,24838.0,11746.0,13092.0,1943.0,944.0,999.0,1197.0,705.0,492.0,545.0,254.0,291.0,172.0,76.0,96.0,021,50250,25
2502154100,"Plainville town, Norfolk County, Massachusetts",8922.0,4322.0,4600.0,7833.0,3903.0,3930.0,398.0,177.0,221.0,645.0,226.0,419.0,30.0,0.0,30.0,16.0,16.0,0.0,021,54100,25
2502172495,"Walpole town, Norfolk County, Massachusetts",24744.0,12150.0,12594.0,22464.0,11085.0,11379.0,881.0,339.0,542.0,1038.0,532.0,506.0,261.0,152.0,109.0,100.0,42.0,58.0,021,72495,25
250214930,"Bellingham town, Norfolk County, Massachusetts",16836.0,8406.0,8430.0,15462.0,7750.0,7712.0,548.0,265.0,283.0,564.0,244.0,320.0,227.0,147.0,80.0,35.0,0.0,35.0,021,4930,25
2502117405,"Dover town, Norfolk County, Massachusetts",5865.0,2983.0,2882.0,5328.0,2688.0,2640.0,214.0,113.0,101.0,180.0,113.0,67.0,113.0,48.0,65.0,30.0,21.0,9.0,021,17405,25
2502114640,"Cohasset town, Norfolk County, Massachusetts",8256.0,3993.0,4263.0,7482.0,3622.0,3860.0,167.0,106.0,61.0,411.0,144.0,267.0,92.0,51.0,41.0,104.0,70.0,34.0,021,14640,25
2502167945,"Stoughton town, Norfolk County, Massachusetts",28042.0,13523.0,14519.0,25236.0,12181.0,13055.0,1359.0,607.0,752.0,913.0,481.0,432.0,214.0,75.0,139.0,320.0,179.0,141.0,021,67945,25
2502124820,"Foxborough town, Norfolk County, Massachusetts",17254.0,8502.0,8752.0,15159.0,7519.0,7640.0,1125.0,475.0,650.0,600.0,294.0,306.0,333.0,188.0,145.0,37.0,26.0,11.0,021,24820,25
2502139975,"Medway town, Norfolk County, Massachusetts",12975.0,5938.0,7037.0,11769.0,5506.0,6263.0,514.0,247.0,267.0,654.0,175.0,479.0,38.0,10.0,28.0,0.0,0.0,0.0,021,39975,25
2502130455,"Holbrook town, Norfolk County, Massachusetts",10971.0,5284.0,5687.0,10206.0,4908.0,5298.0,495.0,230.0,265.0,96.0,47.0,49.0,103.0,86.0,17.0,71.0,13.0,58.0,021,30455,25
2502174175,"Wellesley town, Norfolk County, Massachusetts",28769.0,12530.0,16239.0,24882.0,11027.0,13855.0,1101.0,568.0,533.0,994.0,418.0,576.0,1415.0,400.0,1015.0,377.0,117.0,260.0,021,74175,25
2502116495,"Dedham town, Norfolk County, Massachusetts",25153.0,11923.0,13230.0,22051.0,10339.0,11712.0,1392.0,679.0,713.0,1063.0,619.0,444.0,372.0,158.0,214.0,275.0,128.0,147.0,021,16495,25
2502160785,"Sharon town, Norfolk County, Massachusetts",18096.0,8803.0,9293.0,16559.0,8143.0,8416.0,792.0,323.0,469.0,350.0,139.0,211.0,223.0,114.0,109.0,172.0,84.0,88.0,021,60785,25
2502182315,"Wrentham town, Norfolk County, Massachusetts",11408.0,5549.0,5859.0,10550.0,5152.0,5398.0,557.0,283.0,274.0,115.0,36.0,79.0,143.0,40.0,103.0,43.0,38.0,5.0,021,82315,25
2502141690,"Milton town, Norfolk County, Massachusetts",27242.0,12789.0,14453.0,24243.0,11351.0,12892.0,1116.0,609.0,507.0,900.0,308.0,592.0,619.0,314.0,305.0,364.0,207.0,157.0,021,41690,25
2502155745,"Quincy city, Norfolk County, Massachusetts",92342.0,44695.0,47647.0,78943.0,38591.0,40352.0,5358.0,2387.0,2971.0,3921.0,1757.0,2164.0,2896.0,1360.0,1536.0,1224.0,600.0,624.0,021,55745,25
250212935,"Avon town, Norfolk County, Massachusetts",4468.0,2276.0,2192.0,4165.0,2094.0,2071.0,241.0,126.0,115.0,61.0,55.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,021,2935,25
2502178690,"Westwood town, Norfolk County, Massachusetts",15488.0,7521.0,7967.0,14412.0,7046.0,7366.0,478.0,206.0,272.0,418.0,243.0,175.0,141.0,11.0,130.0,39.0,15.0,24.0,021,78690,25
2502155955,"Randolph town, Norfolk County, Massachusetts",33151.0,15509.0,17642.0,29872.0,14052.0,15820.0,1257.0,684.0,573.0,1468.0,584.0,884.0,366.0,121.0,245.0,188.0,68.0,120.0,021,55955,25
2502768610,"Sutton town, Worcester County, Massachusetts",9272.0,4641.0,4631.0,8900.0,4496.0,4404.0,321.0,145.0,176.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,027,68610,25
2502747135,"North Brookfield town, Worcester County, Massachusetts",4710.0,2282.0,2428.0,4485.0,2152.0,2333.0,51.0,42.0,9.0,55.0,22.0,33.0,58.0,28.0,30.0,61.0,38.0,23.0,027,47135,25
