geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
0808991406,"Fowler CCD, Otero County, Colorado",644.0,511.0,0.0,475.0,36.0,133.0,089,91406,08,475.0,169.0
0808993116,"Rocky Ford CCD, Otero County, Colorado",2223.0,1774.0,7.0,1442.0,325.0,449.0,089,93116,08,1449.0,774.0
0808992413,"Manzanola CCD, Otero County, Colorado",390.0,307.0,10.0,243.0,54.0,83.0,089,92413,08,253.0,137.0
0808990608,"Cheraw CCD, Otero County, Colorado",680.0,598.0,3.0,508.0,87.0,82.0,089,90608,08,511.0,169.0
0802193825,"West Conejos CCD, Conejos County, Colorado",214.0,130.0,6.0,106.0,18.0,84.0,021,93825,08,112.0,102.0
0811393844,"West San Miguel CCD, San Miguel County, Colorado",108.0,89.0,0.0,64.0,25.0,19.0,113,93844,08,64.0,44.0
0808992090,"La Junta CCD, Otero County, Colorado",3504.0,2988.0,0.0,2641.0,347.0,516.0,089,92090,08,2641.0,863.0
0808993629,"Timpas CCD, Otero County, Colorado",49.0,31.0,5.0,23.0,3.0,18.0,089,93629,08,28.0,21.0
0804390494,"Cañon City CCD, Fremont County, Colorado",10782.0,9261.0,188.0,8034.0,1039.0,1521.0,043,90494,08,8222.0,2560.0
0804593832,"West Garfield CCD, Garfield County, Colorado",2686.0,2465.0,4.0,2281.0,180.0,221.0,045,93832,08,2285.0,401.0
0811593450,"South Sedgwick CCD, Sedgwick County, Colorado",151.0,113.0,0.0,91.0,22.0,38.0,115,93450,08,91.0,60.0
0812193905,"Woodlin CCD, Washington County, Colorado",204.0,168.0,8.0,148.0,12.0,36.0,121,93905,08,156.0,48.0
0801193388,"South Bent CCD, Bent County, Colorado",86.0,66.0,0.0,65.0,1.0,20.0,011,93388,08,65.0,21.0
0812591850,"Idalia-Joes CCD, Yuma County, Colorado",330.0,281.0,2.0,253.0,26.0,49.0,125,91850,08,255.0,75.0
0807793857,"Whitewater-Kannah Creek CCD, Mesa County, Colorado",1191.0,1019.0,0.0,959.0,60.0,172.0,077,93857,08,959.0,232.0
0801490408,"Broomfield CCD, Broomfield County, Colorado",25938.0,24915.0,90.0,23585.0,1240.0,1023.0,014,90408,08,23675.0,2263.0
0810393040,"Rangely CCD, Rio Blanco County, Colorado",918.0,799.0,11.0,716.0,72.0,119.0,103,93040,08,727.0,191.0
0811591900,"Julesburg CCD, Sedgwick County, Colorado",847.0,683.0,26.0,544.0,113.0,164.0,115,91900,08,570.0,277.0
0809192793,"Ouray CCD, Ouray County, Colorado",2204.0,2035.0,29.0,1794.0,212.0,169.0,091,92793,08,1823.0,381.0
0810392451,"Meeker CCD, Rio Blanco County, Colorado",1499.0,1243.0,5.0,1016.0,222.0,256.0,103,92451,08,1021.0,478.0
0812391349,"Fort Lupton CCD, Weld County, Colorado",4027.0,3460.0,71.0,2845.0,544.0,567.0,123,91349,08,2916.0,1111.0
0812391881,"Johnstown-Milliken CCD, Weld County, Colorado",10840.0,10370.0,36.0,9577.0,757.0,470.0,123,91881,08,9613.0,1227.0
0812391634,"Greeley CCD, Weld County, Colorado",46434.0,41115.0,315.0,35623.0,5177.0,5319.0,123,91634,08,35938.0,10496.0
0812390190,"Ault CCD, Weld County, Colorado",2791.0,2470.0,29.0,2158.0,283.0,321.0,123,90190,08,2187.0,604.0
0812391216,"Erie-Frederick CCD, Weld County, Colorado",16168.0,15535.0,141.0,14400.0,994.0,633.0,123,91216,08,14541.0,1627.0
0812391653,"Grover CCD, Weld County, Colorado",265.0,199.0,3.0,180.0,16.0,66.0,123,91653,08,183.0,82.0
0812393059,"Raymer CCD, Weld County, Colorado",271.0,236.0,2.0,207.0,27.0,35.0,123,93059,08,209.0,62.0
0812391938,"Keenesburg-Hudson CCD, Weld County, Colorado",4801.0,4197.0,26.0,3717.0,454.0,604.0,123,91938,08,3743.0,1058.0
0812391957,"Kersey-Gill CCD, Weld County, Colorado",2361.0,2036.0,13.0,1781.0,242.0,325.0,123,91957,08,1794.0,567.0
0812392166,"La Salle-Gilcrest CCD, Weld County, Colorado",1848.0,1598.0,20.0,1324.0,254.0,250.0,123,92166,08,1344.0,504.0
0812392926,"Platteville CCD, Weld County, Colorado",1492.0,1392.0,26.0,1160.0,206.0,100.0,123,92926,08,1186.0,306.0
0802192071,"La Jara CCD, Conejos County, Colorado",1337.0,1036.0,11.0,926.0,99.0,301.0,021,92071,08,937.0,400.0
0812393895,"Windsor CCD, Weld County, Colorado",8519.0,7944.0,62.0,7334.0,548.0,575.0,123,93895,08,7396.0,1123.0
0802192375,"Manassa CCD, Conejos County, Colorado",690.0,466.0,8.0,417.0,41.0,224.0,021,92375,08,425.0,265.0
0802190095,"Antonito CCD, Conejos County, Colorado",751.0,434.0,13.0,355.0,66.0,317.0,021,90095,08,368.0,383.0
0802793819,"Westcliffe CCD, Custer County, Colorado",2093.0,1865.0,10.0,1584.0,271.0,228.0,027,93819,08,1594.0,499.0
0802393192,"San Luis CCD, Costilla County, Colorado",833.0,442.0,0.0,352.0,90.0,391.0,023,93192,08,352.0,481.0
0802390323,"Blanca CCD, Costilla County, Colorado",735.0,528.0,17.0,453.0,58.0,207.0,023,90323,08,470.0,265.0
0800192622,"North Aurora CCD, Adams County, Colorado",13952.0,11860.0,171.0,9253.0,2436.0,2092.0,001,92622,08,9424.0,4528.0
0800190399,"Brighton CCD, Adams County, Colorado",29775.0,28260.0,127.0,25508.0,2625.0,1515.0,001,90399,08,25635.0,4140.0
0800191159,"East Adams CCD, Adams County, Colorado",3330.0,3051.0,23.0,2791.0,237.0,279.0,001,91159,08,2814.0,516.0
0800190760,"Commerce City CCD, Adams County, Colorado",9091.0,7278.0,43.0,5598.0,1637.0,1813.0,001,90760,08,5641.0,3450.0
0800193800,"West Adams CCD, Adams County, Colorado",106360.0,97704.0,561.0,85852.0,11291.0,8656.0,001,93800,08,86413.0,19947.0
0803590513,"Castle Rock CCD, Douglas County, Colorado",16900.0,16258.0,123.0,15719.0,416.0,642.0,035,90513,08,15842.0,1058.0
0803593249,"Sedalia CCD, Douglas County, Colorado",55091.0,54075.0,129.0,52182.0,1764.0,1016.0,035,93249,08,52311.0,2780.0
0803592850,"Parker CCD, Douglas County, Colorado",41808.0,40927.0,179.0,39510.0,1238.0,881.0,035,92850,08,39689.0,2119.0
0806592242,"Leadville North CCD, Lake County, Colorado",354.0,288.0,0.0,261.0,27.0,66.0,065,92242,08,261.0,93.0
0803792489,"Minturn-Red Cliff CCD, Eagle County, Colorado",8735.0,8311.0,14.0,7505.0,792.0,424.0,037,92489,08,7519.0,1216.0
0803790247,"Basalt CCD, Eagle County, Colorado",3072.0,3008.0,27.0,2808.0,173.0,64.0,037,90247,08,2835.0,237.0
0803791140,"Eagle-Gypsum CCD, Eagle County, Colorado",5958.0,5637.0,87.0,5076.0,474.0,321.0,037,91140,08,5163.0,795.0
0806592223,"Leadville CCD, Lake County, Colorado",2970.0,2603.0,29.0,2259.0,315.0,367.0,065,92223,08,2288.0,682.0
