geoid,name,median,male,female,county,county subdivision,state
090070,"County subdivisions not defined, Middlesex County, Connecticut",-666666666.0,-666666666.0,-666666666.0,007,0,09
0900722280,"East Haddam town, Middlesex County, Connecticut",48.6,48.9,48.2,007,22280,09
0900757320,"Old Saybrook town, Middlesex County, Connecticut",50.8,49.1,52.8,007,57320,09
0900720810,"Durham town, Middlesex County, Connecticut",45.8,46.0,45.6,007,20810,09
0900719130,"Deep River town, Middlesex County, Connecticut",45.8,44.5,47.0,007,19130,09
0900715350,"Clinton town, Middlesex County, Connecticut",46.0,43.7,47.9,007,15350,09
0900761800,"Portland town, Middlesex County, Connecticut",47.3,44.9,48.2,007,61800,09
0900735230,"Haddam town, Middlesex County, Connecticut",48.5,47.1,50.1,007,35230,09
0900740710,"Killingworth town, Middlesex County, Connecticut",48.1,47.4,48.4,007,40710,09
0900747360,"Middletown town, Middlesex County, Connecticut",37.0,35.4,39.2,007,47360,09
0900747080,"Middlefield town, Middlesex County, Connecticut",48.8,49.1,48.1,007,47080,09
0900714300,"Chester town, Middlesex County, Connecticut",50.3,49.6,51.0,007,14300,09
0900726270,"Essex town, Middlesex County, Connecticut",53.9,51.9,55.8,007,26270,09
0900722490,"East Hampton town, Middlesex County, Connecticut",45.6,46.0,44.8,007,22490,09
0900718080,"Cromwell town, Middlesex County, Connecticut",43.4,41.8,45.2,007,18080,09
090131080,"Andover town, Tolland County, Connecticut",45.6,44.9,48.1,013,1080,09
0901317800,"Coventry town, Tolland County, Connecticut",43.9,44.6,43.4,013,17800,09
090136260,"Bolton town, Tolland County, Connecticut",47.0,45.8,47.8,013,6260,09
0901376290,"Tolland town, Tolland County, Connecticut",42.2,41.8,42.6,013,76290,09
0901369220,"Somers town, Tolland County, Connecticut",44.7,43.3,48.1,013,69220,09
0901378250,"Vernon town, Tolland County, Connecticut",39.2,36.7,41.9,013,78250,09
0901377830,"Union town, Tolland County, Connecticut",51.9,53.1,50.5,013,77830,09
0901316400,"Columbia town, Tolland County, Connecticut",48.7,48.6,48.7,013,16400,09
0901325360,"Ellington town, Tolland County, Connecticut",40.8,40.4,42.9,013,25360,09
0901344910,"Mansfield town, Tolland County, Connecticut",21.1,21.2,20.9,013,44910,09
0901337910,"Hebron town, Tolland County, Connecticut",44.5,42.8,45.6,013,37910,09
0901372090,"Stafford town, Tolland County, Connecticut",42.5,42.4,42.9,013,72090,09
0901385950,"Willington town, Tolland County, Connecticut",36.1,29.7,44.7,013,85950,09
0900133620,"Greenwich town, Fairfield County, Connecticut",42.6,41.4,44.1,001,33620,09
0900148620,"Monroe town, Fairfield County, Connecticut",44.5,42.7,45.4,001,48620,09
0900540290,"Kent town, Litchfield County, Connecticut",53.1,53.2,53.0,005,40290,09
