geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
4701590396,"District 3, Cannon County, Tennessee",3218.0,1492.0,1726.0,3047.0,1424.0,1623.0,140.0,37.0,103.0,14.0,14.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,015,90396,47
4701390774,"District 5, Campbell County, Tennessee",7555.0,3806.0,3749.0,6667.0,3433.0,3234.0,596.0,275.0,321.0,124.0,48.0,76.0,149.0,42.0,107.0,19.0,8.0,11.0,013,90774,47
4701590016,"District 1, Cannon County, Tennessee",2846.0,1389.0,1457.0,2494.0,1208.0,1286.0,204.0,98.0,106.0,134.0,69.0,65.0,14.0,14.0,0.0,0.0,0.0,0.0,015,90016,47
4701590206,"District 2, Cannon County, Tennessee",2529.0,1432.0,1097.0,2071.0,1158.0,913.0,110.0,59.0,51.0,293.0,175.0,118.0,55.0,40.0,15.0,0.0,0.0,0.0,015,90206,47
4701590586,"District 4, Cannon County, Tennessee",2447.0,1250.0,1197.0,2173.0,1061.0,1112.0,30.0,11.0,19.0,187.0,148.0,39.0,57.0,30.0,27.0,0.0,0.0,0.0,015,90586,47
4701590776,"District 5, Cannon County, Tennessee",2658.0,1113.0,1545.0,1868.0,818.0,1050.0,454.0,173.0,281.0,271.0,111.0,160.0,52.0,7.0,45.0,13.0,4.0,9.0,015,90776,47
4701790018,"District 1, Carroll County, Tennessee",3815.0,1923.0,1892.0,3388.0,1710.0,1678.0,167.0,90.0,77.0,193.0,74.0,119.0,67.0,49.0,18.0,0.0,0.0,0.0,017,90018,47
4701790208,"District 2, Carroll County, Tennessee",2447.0,1298.0,1149.0,2207.0,1139.0,1068.0,128.0,68.0,60.0,86.0,74.0,12.0,24.0,17.0,7.0,2.0,0.0,2.0,017,90208,47
4701790398,"District 3, Carroll County, Tennessee",2576.0,1255.0,1321.0,2339.0,1143.0,1196.0,160.0,63.0,97.0,39.0,23.0,16.0,38.0,26.0,12.0,0.0,0.0,0.0,017,90398,47
4701790588,"District 4, Carroll County, Tennessee",2637.0,1278.0,1359.0,2424.0,1170.0,1254.0,114.0,73.0,41.0,52.0,35.0,17.0,0.0,0.0,0.0,47.0,0.0,47.0,017,90588,47
4701790778,"District 5, Carroll County, Tennessee",4252.0,1917.0,2335.0,3510.0,1533.0,1977.0,624.0,319.0,305.0,78.0,25.0,53.0,40.0,40.0,0.0,0.0,0.0,0.0,017,90778,47
4701790968,"District 6, Carroll County, Tennessee",2325.0,1103.0,1222.0,2160.0,1013.0,1147.0,104.0,54.0,50.0,38.0,19.0,19.0,20.0,14.0,6.0,3.0,3.0,0.0,017,90968,47
4708991800,"District 10, Jefferson County, Tennessee",4122.0,2186.0,1936.0,2740.0,1346.0,1394.0,718.0,362.0,356.0,288.0,181.0,107.0,284.0,205.0,79.0,92.0,92.0,0.0,089,91800,47
4708991230,"District 7, Jefferson County, Tennessee",5111.0,2310.0,2801.0,4677.0,2169.0,2508.0,159.0,81.0,78.0,191.0,24.0,167.0,82.0,36.0,46.0,2.0,0.0,2.0,089,91230,47
4708991420,"District 8, Jefferson County, Tennessee",4849.0,2419.0,2430.0,4081.0,1940.0,2141.0,246.0,149.0,97.0,327.0,185.0,142.0,169.0,135.0,34.0,26.0,10.0,16.0,089,91420,47
4710790298,"District 2, McMinn County, Tennessee",11494.0,5731.0,5763.0,10627.0,5292.0,5335.0,401.0,224.0,177.0,326.0,163.0,163.0,138.0,52.0,86.0,2.0,0.0,2.0,107,90298,47
4703990800,"District 5, Decatur County, Tennessee",1173.0,562.0,611.0,1030.0,484.0,546.0,116.0,64.0,52.0,19.0,14.0,5.0,8.0,0.0,8.0,0.0,0.0,0.0,039,90800,47
4703990230,"District 2, Decatur County, Tennessee",1505.0,652.0,853.0,1411.0,618.0,793.0,20.0,14.0,6.0,53.0,18.0,35.0,14.0,0.0,14.0,7.0,2.0,5.0,039,90230,47
4703990420,"District 3, Decatur County, Tennessee",1200.0,579.0,621.0,1057.0,519.0,538.0,97.0,35.0,62.0,28.0,15.0,13.0,18.0,10.0,8.0,0.0,0.0,0.0,039,90420,47
4703990610,"District 4, Decatur County, Tennessee",1627.0,925.0,702.0,1390.0,746.0,644.0,143.0,117.0,26.0,40.0,17.0,23.0,54.0,45.0,9.0,0.0,0.0,0.0,039,90610,47
4703990990,"District 6, Decatur County, Tennessee",1119.0,485.0,634.0,939.0,408.0,531.0,142.0,59.0,83.0,24.0,9.0,15.0,14.0,9.0,5.0,0.0,0.0,0.0,039,90990,47
4703991180,"District 7, Decatur County, Tennessee",1261.0,626.0,635.0,1175.0,578.0,597.0,0.0,0.0,0.0,40.0,15.0,25.0,37.0,33.0,4.0,9.0,0.0,9.0,039,91180,47
4703991370,"District 8, Decatur County, Tennessee",1041.0,552.0,489.0,829.0,409.0,420.0,113.0,102.0,11.0,92.0,41.0,51.0,7.0,0.0,7.0,0.0,0.0,0.0,039,91370,47
4703991560,"District 9, Decatur County, Tennessee",1459.0,629.0,830.0,1444.0,625.0,819.0,7.0,0.0,7.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,039,91560,47
4704190042,"District 1, DeKalb County, Tennessee",2915.0,1520.0,1395.0,2445.0,1214.0,1231.0,303.0,223.0,80.0,155.0,71.0,84.0,12.0,12.0,0.0,0.0,0.0,0.0,041,90042,47
4704190232,"District 2, DeKalb County, Tennessee",2297.0,1155.0,1142.0,2001.0,963.0,1038.0,121.0,100.0,21.0,91.0,60.0,31.0,80.0,32.0,48.0,4.0,0.0,4.0,041,90232,47
4704190422,"District 3, DeKalb County, Tennessee",2771.0,1197.0,1574.0,2363.0,965.0,1398.0,253.0,99.0,154.0,124.0,112.0,12.0,22.0,12.0,10.0,9.0,9.0,0.0,041,90422,47
4704190612,"District 4, DeKalb County, Tennessee",2684.0,1500.0,1184.0,2568.0,1421.0,1147.0,62.0,47.0,15.0,50.0,32.0,18.0,0.0,0.0,0.0,4.0,0.0,4.0,041,90612,47
4704190802,"District 5, DeKalb County, Tennessee",2774.0,1265.0,1509.0,2301.0,1078.0,1223.0,327.0,130.0,197.0,82.0,21.0,61.0,64.0,36.0,28.0,0.0,0.0,0.0,041,90802,47
4704190992,"District 6, DeKalb County, Tennessee",2876.0,1456.0,1420.0,2581.0,1307.0,1274.0,171.0,103.0,68.0,79.0,46.0,33.0,45.0,0.0,45.0,0.0,0.0,0.0,041,90992,47
4704191182,"District 7, DeKalb County, Tennessee",2840.0,1507.0,1333.0,2347.0,1272.0,1075.0,231.0,86.0,145.0,256.0,149.0,107.0,6.0,0.0,6.0,0.0,0.0,0.0,041,91182,47
