geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
0804392888,"Penrose-Portland CCD, Fremont County, Colorado",3860.0,3557.0,17.0,0.0,48.0,0.0,7.0,8.0,223.0,043,92888,08,48.0,15.0
0804391311,"Florence CCD, Fremont County, Colorado",9562.0,6434.0,831.0,282.0,122.0,24.0,0.0,204.0,1665.0,043,91311,08,146.0,486.0
0810192983,"Pueblo CCD, Pueblo County, Colorado",115330.0,51199.0,2342.0,568.0,861.0,115.0,229.0,1900.0,58116.0,101,92983,08,976.0,2697.0
0810190722,"Colorado City-Rye CCD, Pueblo County, Colorado",4372.0,3545.0,4.0,7.0,48.0,0.0,0.0,105.0,663.0,101,90722,08,48.0,112.0
0810191805,"Huerfano Valley CCD, Pueblo County, Colorado",717.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,101,91805,08,0.0,0.0
0810193154,"St. Charles Mesa CCD, Pueblo County, Colorado",8728.0,5613.0,24.0,29.0,24.0,0.0,9.0,157.0,2872.0,101,93154,08,24.0,195.0
0810193002,"Pueblo West CCD, Pueblo County, Colorado",30961.0,22680.0,220.0,225.0,208.0,0.0,72.0,695.0,6861.0,101,93002,08,208.0,992.0
0810190209,"Avondale CCD, Pueblo County, Colorado",2766.0,1660.0,0.0,7.0,0.0,19.0,0.0,25.0,1055.0,101,90209,08,19.0,32.0
0810192660,"Northeast Pueblo CCD, Pueblo County, Colorado",494.0,409.0,4.0,1.0,0.0,0.0,0.0,1.0,79.0,101,92660,08,0.0,2.0
0808592546,"Montrose CCD, Montrose County, Colorado",31696.0,24050.0,142.0,193.0,284.0,122.0,22.0,416.0,6467.0,085,92546,08,406.0,631.0
0808592698,"Nucla CCD, Montrose County, Colorado",2203.0,2075.0,17.0,0.0,1.0,0.0,0.0,33.0,77.0,085,92698,08,1.0,33.0
0808592736,"Olathe CCD, Montrose County, Colorado",7009.0,5055.0,0.0,17.0,3.0,0.0,55.0,56.0,1823.0,085,92736,08,3.0,128.0
0808793781,"Weldona CCD, Morgan County, Colorado",851.0,712.0,0.0,4.0,5.0,0.0,0.0,7.0,123.0,087,93781,08,5.0,11.0
0808790418,"Brush CCD, Morgan County, Colorado",8194.0,5452.0,27.0,28.0,0.0,23.0,0.0,109.0,2555.0,087,90418,08,23.0,137.0
0808791368,"Fort Morgan CCD, Morgan County, Colorado",16185.0,8237.0,797.0,21.0,134.0,7.0,0.0,183.0,6806.0,087,91368,08,141.0,204.0
0808793876,"Wiggins CCD, Morgan County, Colorado",2893.0,2261.0,0.0,22.0,13.0,0.0,0.0,26.0,571.0,087,93876,08,13.0,48.0
0809391254,"Fairplay CCD, Park County, Colorado",14374.0,12828.0,13.0,179.0,109.0,125.0,35.0,186.0,899.0,093,91254,08,234.0,400.0
0809392128,"Lake George CCD, Park County, Colorado",2526.0,2326.0,0.0,0.0,62.0,0.0,0.0,46.0,92.0,093,92128,08,62.0,46.0
0810990551,"Center CCD, Saguache County, Colorado",2951.0,931.0,0.0,39.0,7.0,0.0,0.0,9.0,1965.0,109,90551,08,7.0,48.0
0810990684,"Cochetopa CCD, Saguache County, Colorado",159.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,109,90684,08,0.0,0.0
0810993135,"Saguache CCD, Saguache County, Colorado",3228.0,2663.0,0.0,23.0,63.0,0.0,0.0,157.0,322.0,109,93135,08,63.0,180.0
0807791425,"Fruita CCD, Mesa County, Colorado",24274.0,20873.0,23.0,372.0,122.0,9.0,0.0,251.0,2624.0,077,91425,08,131.0,623.0
0807790665,"Clifton CCD, Mesa County, Colorado",28690.0,23270.0,229.0,98.0,83.0,9.0,78.0,694.0,4229.0,077,90665,08,92.0,870.0
0807791596,"Grand Junction CCD, Mesa County, Colorado",87607.0,69806.0,707.0,388.0,817.0,124.0,178.0,1651.0,13936.0,077,91596,08,941.0,2217.0
0807790950,"De Beque CCD, Mesa County, Colorado",901.0,836.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,077,90950,08,0.0,10.0
0807790703,"Collbran CCD, Mesa County, Colorado",2153.0,1860.0,49.0,8.0,8.0,7.0,0.0,21.0,200.0,077,90703,08,15.0,29.0
0807791501,"Glade Park-Gateway CCD, Mesa County, Colorado",2250.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,077,91501,08,0.0,0.0
0809991558,"Granada CCD, Prowers County, Colorado",807.0,255.0,0.0,0.0,13.0,0.0,0.0,0.0,539.0,099,91558,08,13.0,0.0
0809992147,"Lamar CCD, Prowers County, Colorado",9707.0,6081.0,48.0,0.0,33.0,0.0,0.0,184.0,3361.0,099,92147,08,33.0,184.0
0809993667,"Two Butte Creek CCD, Prowers County, Colorado",217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,099,93667,08,0.0,0.0
0804191387,"Fountain CCD, El Paso County, Colorado",85248.0,52838.0,7533.0,445.0,2552.0,1190.0,249.0,4660.0,15781.0,041,91387,08,3742.0,5354.0
0809991748,"Holly CCD, Prowers County, Colorado",1353.0,701.0,0.0,20.0,32.0,0.0,0.0,7.0,593.0,099,91748,08,32.0,27.0
0805392109,"Lake City CCD, Hinsdale County, Colorado",820.0,745.0,0.0,13.0,0.0,0.0,0.0,13.0,49.0,053,92109,08,0.0,26.0
0804191197,"Elsmere CCD, El Paso County, Colorado",70204.0,48504.0,4376.0,121.0,2696.0,175.0,134.0,2866.0,11332.0,041,91197,08,2871.0,3121.0
0804192907,"Pikes Peak CCD, El Paso County, Colorado",3517.0,3211.0,27.0,0.0,32.0,0.0,0.0,101.0,146.0,041,92907,08,32.0,101.0
0804190627,"Cheyenne Mountain CCD, El Paso County, Colorado",10259.0,8618.0,62.0,6.0,461.0,0.0,21.0,320.0,771.0,041,90627,08,461.0,347.0
0812190798,"Cope CCD, Washington County, Colorado",500.0,482.0,0.0,2.0,0.0,0.0,0.0,10.0,6.0,121,90798,08,0.0,12.0
0804193420,"Southeastern El Paso CCD, El Paso County, Colorado",14678.0,11335.0,469.0,13.0,138.0,40.0,0.0,941.0,1742.0,041,93420,08,178.0,954.0
0804190304,"Black Forest-Peyton CCD, El Paso County, Colorado",77162.0,63938.0,2086.0,266.0,1939.0,6.0,137.0,2691.0,6099.0,041,90304,08,1945.0,3094.0
0804190741,"Colorado Springs CCD, El Paso County, Colorado",393904.0,267277.0,23903.0,1533.0,10101.0,913.0,1211.0,15460.0,73506.0,041,90741,08,11014.0,18204.0
0804192565,"Monument CCD, El Paso County, Colorado",19854.0,16052.0,680.0,58.0,353.0,103.0,0.0,656.0,1952.0,041,92565,08,456.0,714.0
0812190057,"Akron CCD, Washington County, Colorado",2870.0,2369.0,39.0,4.0,22.0,0.0,0.0,12.0,424.0,121,90057,08,22.0,16.0
0812192774,"Otis CCD, Washington County, Colorado",953.0,903.0,6.0,0.0,0.0,0.0,0.0,17.0,27.0,121,92774,08,0.0,17.0
0804991577,"Granby CCD, Grand County, Colorado",11815.0,10560.0,56.0,4.0,251.0,107.0,47.0,34.0,756.0,049,91577,08,358.0,85.0
0804992033,"Kremmling CCD, Grand County, Colorado",2978.0,2289.0,0.0,0.0,28.0,0.0,214.0,9.0,438.0,049,92033,08,28.0,223.0
0800591178,"East Arapahoe CCD, Arapahoe County, Colorado",32446.0,22611.0,2331.0,67.0,1091.0,135.0,70.0,1242.0,4899.0,005,91178,08,1226.0,1379.0
0800593458,"Southwest Arapahoe CCD, Arapahoe County, Colorado",205516.0,162948.0,3957.0,565.0,8777.0,113.0,356.0,4687.0,24113.0,005,93458,08,8890.0,5608.0
0800593382,"South Aurora CCD, Arapahoe County, Colorado",388650.0,198636.0,57358.0,1305.0,25454.0,1038.0,1271.0,14250.0,89338.0,005,93382,08,26492.0,16826.0
0808991406,"Fowler CCD, Otero County, Colorado",1556.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,089,91406,08,0.0,0.0
0808993116,"Rocky Ford CCD, Otero County, Colorado",5635.0,2392.0,42.0,43.0,27.0,0.0,0.0,28.0,3103.0,089,93116,08,27.0,71.0
0808992413,"Manzanola CCD, Otero County, Colorado",902.0,534.0,0.0,19.0,0.0,0.0,2.0,2.0,345.0,089,92413,08,0.0,23.0
0808990608,"Cheraw CCD, Otero County, Colorado",1563.0,1337.0,15.0,22.0,0.0,0.0,0.0,14.0,175.0,089,90608,08,0.0,36.0
0802193825,"West Conejos CCD, Conejos County, Colorado",429.0,254.0,2.0,0.0,1.0,0.0,0.0,0.0,172.0,021,93825,08,1.0,0.0
0811393844,"West San Miguel CCD, San Miguel County, Colorado",174.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,113,93844,08,0.0,0.0
0808992090,"La Junta CCD, Otero County, Colorado",8568.0,4363.0,79.0,13.0,150.0,156.0,50.0,66.0,3691.0,089,92090,08,306.0,129.0
0808993629,"Timpas CCD, Otero County, Colorado",101.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,089,93629,08,0.0,0.0
