geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,county subdivision,state,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",192310.0,96504.0,979.0,219.0,313.0,610.0,451.0,1386.0,1129.0,1190.0,25220.0,6339.0,19233.0,8302.0,19430.0,7623.0,2677.0,1403.0,95806.0,1159.0,464.0,708.0,823.0,437.0,743.0,964.0,1172.0,20465.0,7315.0,17739.0,8461.0,22786.0,9236.0,2400.0,934.0,020,3050,02,2138.0,683.0,1021.0,1433.0,888.0,2129.0,2093.0,2362.0,45685.0,13654.0,36972.0,16763.0,42216.0,16859.0,5077.0,2337.0,12747.0,6277.0,6470.0,50626.0,25572.0,25054.0,24273.0,11703.0,12570.0,66489.0,31133.0,35356.0
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",2555.0,1587.0,4.0,15.0,24.0,61.0,36.0,30.0,58.0,10.0,739.0,22.0,355.0,104.0,96.0,17.0,0.0,16.0,968.0,0.0,27.0,12.0,28.0,9.0,22.0,25.0,3.0,324.0,51.0,223.0,80.0,100.0,61.0,0.0,3.0,013,1598,02,4.0,42.0,36.0,89.0,45.0,52.0,83.0,13.0,1063.0,73.0,578.0,184.0,196.0,78.0,0.0,19.0,364.0,238.0,126.0,651.0,377.0,274.0,97.0,33.0,64.0,293.0,129.0,164.0
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",3426.0,1886.0,3.0,12.0,2.0,28.0,18.0,63.0,83.0,32.0,785.0,100.0,354.0,99.0,184.0,86.0,11.0,26.0,1540.0,0.0,0.0,2.0,24.0,17.0,14.0,59.0,5.0,530.0,111.0,336.0,116.0,217.0,92.0,13.0,4.0,198,64310,02,3.0,12.0,4.0,52.0,35.0,77.0,142.0,37.0,1315.0,211.0,690.0,215.0,401.0,178.0,24.0,30.0,362.0,241.0,121.0,901.0,454.0,447.0,232.0,123.0,109.0,633.0,307.0,326.0
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",829.0,498.0,0.0,0.0,28.0,4.0,1.0,8.0,5.0,0.0,132.0,22.0,103.0,47.0,102.0,38.0,0.0,8.0,331.0,3.0,2.0,0.0,0.0,4.0,1.0,5.0,2.0,62.0,18.0,97.0,18.0,101.0,17.0,0.0,1.0,230,70810,02,3.0,2.0,28.0,4.0,5.0,9.0,10.0,2.0,194.0,40.0,200.0,65.0,203.0,55.0,0.0,9.0,63.0,46.0,17.0,240.0,125.0,115.0,64.0,46.0,18.0,267.0,148.0,119.0
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,34575,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",1029.0,548.0,0.0,0.0,0.0,18.0,0.0,4.0,36.0,0.0,189.0,44.0,188.0,32.0,26.0,4.0,7.0,0.0,481.0,0.0,0.0,3.0,0.0,0.0,16.0,7.0,0.0,179.0,25.0,160.0,13.0,51.0,27.0,0.0,0.0,198,48873,02,0.0,0.0,3.0,18.0,0.0,20.0,43.0,0.0,368.0,69.0,348.0,45.0,77.0,31.0,7.0,0.0,84.0,58.0,26.0,417.0,232.0,185.0,38.0,11.0,27.0,115.0,37.0,78.0
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",1857.0,948.0,2.0,0.0,0.0,23.0,29.0,20.0,23.0,29.0,396.0,57.0,115.0,54.0,137.0,51.0,6.0,6.0,909.0,0.0,9.0,0.0,14.0,27.0,14.0,14.0,1.0,284.0,84.0,204.0,97.0,102.0,54.0,2.0,3.0,275,86420,02,2.0,9.0,0.0,37.0,56.0,34.0,37.0,30.0,680.0,141.0,319.0,151.0,239.0,105.0,8.0,9.0,205.0,126.0,79.0,460.0,172.0,288.0,122.0,63.0,59.0,361.0,200.0,161.0
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",1595.0,862.0,0.0,4.0,2.0,7.0,8.0,17.0,14.0,8.0,352.0,31.0,170.0,60.0,130.0,55.0,4.0,0.0,733.0,0.0,2.0,4.0,29.0,15.0,10.0,24.0,7.0,249.0,53.0,139.0,38.0,113.0,29.0,12.0,9.0,105,33390,02,0.0,6.0,6.0,36.0,23.0,27.0,38.0,15.0,601.0,84.0,309.0,98.0,243.0,84.0,16.0,9.0,151.0,60.0,91.0,393.0,201.0,192.0,109.0,59.0,50.0,352.0,189.0,163.0
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",56.0,34.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,9.0,4.0,10.0,0.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,5.0,2.0,1.0,4.0,0.0,0.0,105,40560,02,0.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,15.0,6.0,15.0,2.0,5.0,4.0,0.0,0.0,9.0,7.0,2.0,21.0,14.0,7.0,4.0,0.0,4.0,9.0,4.0,5.0
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",4147.0,2662.0,0.0,38.0,43.0,20.0,9.0,67.0,51.0,41.0,1135.0,51.0,658.0,141.0,308.0,85.0,3.0,12.0,1485.0,7.0,39.0,56.0,14.0,29.0,32.0,30.0,9.0,487.0,62.0,325.0,132.0,209.0,42.0,6.0,6.0,016,1615,02,7.0,77.0,99.0,34.0,38.0,99.0,81.0,50.0,1622.0,113.0,983.0,273.0,517.0,127.0,9.0,18.0,485.0,269.0,216.0,1096.0,709.0,387.0,154.0,100.0,54.0,671.0,408.0,263.0
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",650.0,382.0,1.0,7.0,3.0,6.0,0.0,5.0,4.0,0.0,152.0,24.0,101.0,19.0,46.0,14.0,0.0,0.0,268.0,0.0,2.0,0.0,7.0,1.0,4.0,7.0,1.0,75.0,8.0,63.0,28.0,53.0,19.0,0.0,0.0,060,9050,02,1.0,9.0,3.0,13.0,1.0,9.0,11.0,1.0,227.0,32.0,164.0,47.0,99.0,33.0,0.0,0.0,48.0,26.0,22.0,196.0,125.0,71.0,33.0,14.0,19.0,132.0,60.0,72.0
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",8968.0,4767.0,26.0,36.0,102.0,77.0,35.0,24.0,264.0,77.0,1566.0,324.0,1145.0,314.0,544.0,171.0,62.0,0.0,4201.0,34.0,59.0,73.0,139.0,9.0,22.0,37.0,16.0,1030.0,369.0,608.0,423.0,830.0,507.0,26.0,19.0,150,41200,02,60.0,95.0,175.0,216.0,44.0,46.0,301.0,93.0,2596.0,693.0,1753.0,737.0,1374.0,678.0,88.0,19.0,1030.0,641.0,389.0,2446.0,1469.0,977.0,785.0,233.0,552.0,2159.0,777.0,1382.0
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",4095.0,2272.0,5.0,18.0,38.0,72.0,37.0,108.0,148.0,32.0,1129.0,83.0,287.0,98.0,159.0,39.0,16.0,3.0,1823.0,17.0,21.0,41.0,66.0,28.0,67.0,81.0,10.0,773.0,137.0,259.0,99.0,133.0,80.0,5.0,6.0,188,56270,02,22.0,39.0,79.0,138.0,65.0,175.0,229.0,42.0,1902.0,220.0,546.0,197.0,292.0,119.0,21.0,9.0,789.0,458.0,331.0,766.0,370.0,396.0,149.0,58.0,91.0,441.0,217.0,224.0
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",6168.0,3094.0,17.0,4.0,18.0,21.0,31.0,86.0,7.0,13.0,905.0,281.0,442.0,310.0,575.0,206.0,102.0,76.0,3074.0,17.0,5.0,7.0,14.0,27.0,49.0,25.0,58.0,730.0,234.0,526.0,311.0,635.0,321.0,65.0,50.0,220,70590,02,34.0,9.0,25.0,35.0,58.0,135.0,32.0,71.0,1635.0,515.0,968.0,621.0,1210.0,527.0,167.0,126.0,399.0,197.0,202.0,1483.0,723.0,760.0,820.0,384.0,436.0,2030.0,959.0,1071.0
020503580,"Aniak census subarea, Bethel Census Area, Alaska",795.0,439.0,3.0,18.0,0.0,14.0,11.0,31.0,12.0,0.0,228.0,22.0,44.0,14.0,32.0,9.0,0.0,1.0,356.0,2.0,12.0,2.0,12.0,4.0,7.0,14.0,2.0,181.0,24.0,48.0,15.0,20.0,10.0,3.0,0.0,050,3580,02,5.0,30.0,2.0,26.0,15.0,38.0,26.0,2.0,409.0,46.0,92.0,29.0,52.0,19.0,3.0,1.0,144.0,89.0,55.0,138.0,66.0,72.0,23.0,10.0,13.0,75.0,42.0,33.0
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",8783.0,4627.0,28.0,99.0,42.0,200.0,100.0,118.0,269.0,48.0,2238.0,250.0,583.0,140.0,363.0,87.0,50.0,12.0,4156.0,27.0,129.0,55.0,194.0,90.0,160.0,179.0,14.0,1634.0,301.0,521.0,234.0,333.0,236.0,37.0,12.0,050,45510,02,55.0,228.0,97.0,394.0,190.0,278.0,448.0,62.0,3872.0,551.0,1104.0,374.0,696.0,323.0,87.0,24.0,1752.0,904.0,848.0,1655.0,833.0,822.0,434.0,149.0,285.0,1130.0,512.0,618.0
