geoid,name,median,male,female,county,county subdivision,state
2017936525,"Kenneth township, Sheridan County, Kansas",52.0,49.3,52.9,179,36525,20
2000374650,"Walker township, Anderson County, Kansas",55.0,54.5,57.3,003,74650,20
2000375500,"Washington township, Anderson County, Kansas",56.6,65.1,55.7,003,75500,20
2000353900,"Ozark township, Anderson County, Kansas",37.0,36.3,37.5,003,53900,20
2000358825,"Reeder township, Anderson County, Kansas",41.4,20.0,42.8,003,58825,20
2000376450,"Welda township, Anderson County, Kansas",54.5,34.9,54.9,003,76450,20
2000377275,"Westphalia township, Anderson County, Kansas",28.9,28.5,32.2,003,77275,20
2000334725,"Jackson township, Anderson County, Kansas",42.4,41.5,42.9,003,34725,20
2000342450,"Lone Elm township, Anderson County, Kansas",34.8,40.2,28.5,003,42450,20
2000325925,"Garnett city, Anderson County, Kansas",41.6,40.3,43.6,003,25925,20
2000340475,"Lincoln township, Anderson County, Kansas",66.0,55.0,66.3,003,40475,20
2000334050,"Indian Creek township, Anderson County, Kansas",56.5,55.4,58.3,003,34050,20
2000347725,"Monroe township, Anderson County, Kansas",30.2,39.2,18.9,003,47725,20
2000358000,"Putnam township, Anderson County, Kansas",26.5,34.6,26.2,003,58000,20
2012142875,"Louisburg city, Miami County, Kansas",36.1,35.8,36.6,121,42875,20
2012154250,"Paola city, Miami County, Kansas",35.7,34.7,37.4,121,54250,20
2012167925,"Stanton township, Miami County, Kansas",51.7,48.6,54.4,121,67925,20
2012145100,"Marysville township, Miami County, Kansas",44.4,44.3,44.4,121,45100,20
2006915500,"Copeland township, Gray County, Kansas",37.4,37.7,34.3,069,15500,20
2006941900,"Logan township, Gray County, Kansas",34.3,29.3,35.9,069,41900,20
2006947900,"Montezuma township, Gray County, Kansas",39.5,37.1,41.8,069,47900,20
2006913300,"Cimarron township, Gray County, Kansas",32.6,35.5,28.9,069,13300,20
2006934250,"Ingalls township, Gray County, Kansas",45.5,45.9,45.3,069,34250,20
2006923675,"Foote township, Gray County, Kansas",32.1,33.2,31.4,069,23675,20
2006919525,"East Hess township, Gray County, Kansas",44.4,37.8,50.7,069,19525,20
2019964400,"Sharon Springs township, Wallace County, Kansas",42.0,42.1,41.9,199,64400,20
2019976700,"Weskan township, Wallace County, Kansas",28.3,30.3,24.9,199,76700,20
2019974775,"Wallace township, Wallace County, Kansas",43.8,44.1,43.7,199,74775,20
2019930450,"Harrison township, Wallace County, Kansas",43.6,43.3,43.8,199,30450,20
200174700,"Bazaar township, Chase County, Kansas",43.7,22.8,49.9,017,4700,20
2001717975,"Diamond Creek township, Chase County, Kansas",61.5,61.7,61.3,017,17975,20
