geoid,name,total_population_16over,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,county,county subdivision,state
460353020,"Badger township, Davison County, South Dakota",33.0,26.0,26.0,26.0,0.0,0.0,7.0,035,3020,46
4603552100,"Prosper township, Davison County, South Dakota",607.0,370.0,370.0,370.0,0.0,0.0,237.0,035,52100,46
4603537820,"Lisbon township, Davison County, South Dakota",65.0,16.0,16.0,16.0,0.0,0.0,49.0,035,37820,46
460355220,"Beulah township, Davison County, South Dakota",359.0,182.0,182.0,182.0,0.0,0.0,177.0,035,5220,46
4600959846,"Southeast Bon Homme UT, Bon Homme County, South Dakota",302.0,223.0,223.0,223.0,0.0,0.0,79.0,009,59846,46
4600945790,"Northwest Bon Homme UT, Bon Homme County, South Dakota",295.0,175.0,175.0,175.0,0.0,0.0,120.0,009,45790,46
4600957940,"Scotland city, Bon Homme County, South Dakota",652.0,402.0,402.0,400.0,2.0,0.0,250.0,009,57940,46
4600964860,"Tyndall city, Bon Homme County, South Dakota",946.0,634.0,634.0,626.0,8.0,0.0,312.0,009,64860,46
460092900,"Avon city, Bon Homme County, South Dakota",506.0,329.0,329.0,310.0,19.0,0.0,177.0,009,2900,46
4600945550,"Northeast Bon Homme UT, Bon Homme County, South Dakota",399.0,233.0,233.0,233.0,0.0,0.0,166.0,009,45550,46
4600960660,"Springfield city, Bon Homme County, South Dakota",1817.0,272.0,272.0,269.0,3.0,0.0,1545.0,009,60660,46
4600962820,"Tabor town, Bon Homme County, South Dakota",319.0,214.0,214.0,214.0,0.0,0.0,105.0,009,62820,46
4600959950,"Southwest Bon Homme UT, Bon Homme County, South Dakota",647.0,449.0,449.0,447.0,2.0,0.0,198.0,009,59950,46
4601533980,"Kimball city, Brule County, South Dakota",435.0,301.0,301.0,297.0,4.0,0.0,134.0,015,33980,46
4601534020,"Kimball township, Brule County, South Dakota",32.0,3.0,3.0,3.0,0.0,0.0,29.0,015,34020,46
4601550580,"Pleasant Grove township, Brule County, South Dakota",13.0,13.0,13.0,13.0,0.0,0.0,0.0,015,50580,46
4601552220,"Pukwana town, Brule County, South Dakota",215.0,148.0,148.0,147.0,1.0,0.0,67.0,015,52220,46
4601511220,"Chamberlain city, Brule County, South Dakota",2020.0,1375.0,1371.0,1322.0,49.0,4.0,645.0,015,11220,46
4601511260,"Chamberlain township, Brule County, South Dakota",224.0,159.0,159.0,159.0,0.0,0.0,65.0,015,11260,46
4601549860,"Plainfield township, Brule County, South Dakota",29.0,16.0,16.0,16.0,0.0,0.0,13.0,015,49860,46
4601552260,"Pukwana township, Brule County, South Dakota",26.0,26.0,26.0,26.0,0.0,0.0,0.0,015,52260,46
460151340,"America township, Brule County, South Dakota",69.0,69.0,69.0,69.0,0.0,0.0,0.0,015,1340,46
4601512780,"Cleveland township, Brule County, South Dakota",39.0,31.0,31.0,31.0,0.0,0.0,8.0,015,12780,46
4601517500,"Eagle township, Brule County, South Dakota",16.0,10.0,10.0,10.0,0.0,0.0,6.0,015,17500,46
4601546740,"Ola township, Brule County, South Dakota",108.0,71.0,71.0,71.0,0.0,0.0,37.0,015,46740,46
4601551180,"Plummer township, Brule County, South Dakota",7.0,0.0,0.0,0.0,0.0,0.0,7.0,015,51180,46
