geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
271056508,"Bloom township, Nobles County, Minnesota",125.0,87.0,38.0,119.0,85.0,34.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,105,6508,27
2710518836,"Ellsworth city, Nobles County, Minnesota",504.0,230.0,274.0,439.0,204.0,235.0,20.0,15.0,5.0,37.0,11.0,26.0,8.0,0.0,8.0,0.0,0.0,0.0,105,18836,27
2710537412,"Lismore city, Nobles County, Minnesota",226.0,107.0,119.0,211.0,101.0,110.0,9.0,5.0,4.0,2.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,105,37412,27
2710556086,"Round Lake city, Nobles County, Minnesota",436.0,232.0,204.0,388.0,198.0,190.0,17.0,13.0,4.0,23.0,15.0,8.0,4.0,2.0,2.0,4.0,4.0,0.0,105,56086,27
2710570582,"Wilmont city, Nobles County, Minnesota",404.0,199.0,205.0,325.0,174.0,151.0,47.0,15.0,32.0,10.0,5.0,5.0,22.0,5.0,17.0,0.0,0.0,0.0,105,70582,27
2710528736,"Hersey township, Nobles County, Minnesota",183.0,98.0,85.0,178.0,94.0,84.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,105,28736,27
2710536566,"Leota township, Nobles County, Minnesota",376.0,191.0,185.0,366.0,187.0,179.0,0.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,105,36566,27
2711919790,"Esther township, Polk County, Minnesota",212.0,120.0,92.0,210.0,118.0,92.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,19790,27
2711920564,"Farley township, Polk County, Minnesota",46.0,21.0,25.0,46.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,20564,27
2711924254,"Godfrey township, Polk County, Minnesota",304.0,172.0,132.0,285.0,163.0,122.0,7.0,5.0,2.0,6.0,2.0,4.0,6.0,2.0,4.0,0.0,0.0,0.0,119,24254,27
2711926270,"Gully city, Polk County, Minnesota",60.0,24.0,36.0,46.0,16.0,30.0,11.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,26270,27
2711929186,"Hill River township, Polk County, Minnesota",83.0,45.0,38.0,68.0,43.0,25.0,0.0,0.0,0.0,15.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,119,29186,27
2711930356,"Hubbard township, Polk County, Minnesota",88.0,47.0,41.0,79.0,41.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,119,30356,27
2711932030,"Johnson township, Polk County, Minnesota",55.0,37.0,18.0,48.0,30.0,18.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,32030,27
2711938330,"Lowell township, Polk County, Minnesota",443.0,299.0,144.0,291.0,168.0,123.0,56.0,56.0,0.0,53.0,41.0,12.0,43.0,34.0,9.0,0.0,0.0,0.0,119,38330,27
2711949840,"Parnell township, Polk County, Minnesota",43.0,18.0,25.0,41.0,16.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,49840,27
271191504,"Andover township, Polk County, Minnesota",91.0,40.0,51.0,83.0,38.0,45.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,1504,27
271199118,"Bygland township, Polk County, Minnesota",254.0,135.0,119.0,240.0,131.0,109.0,14.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,9118,27
2711911224,"Chester township, Polk County, Minnesota",63.0,38.0,25.0,56.0,33.0,23.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,119,11224,27
2711913870,"Crookston city, Polk County, Minnesota",7705.0,3929.0,3776.0,6444.0,3282.0,3162.0,698.0,359.0,339.0,227.0,127.0,100.0,336.0,161.0,175.0,0.0,0.0,0.0,119,13870,27
2711920978,"Fertile city, Polk County, Minnesota",1086.0,530.0,556.0,950.0,471.0,479.0,68.0,30.0,38.0,46.0,16.0,30.0,20.0,11.0,9.0,2.0,2.0,0.0,119,20978,27
2711923156,"Garfield township, Polk County, Minnesota",520.0,256.0,264.0,482.0,246.0,236.0,0.0,0.0,0.0,15.0,2.0,13.0,23.0,8.0,15.0,0.0,0.0,0.0,119,23156,27
2711947032,"Northland township, Polk County, Minnesota",127.0,69.0,58.0,125.0,68.0,57.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,119,47032,27
2711952774,"Queen township, Polk County, Minnesota",178.0,97.0,81.0,159.0,81.0,78.0,10.0,9.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,119,52774,27
2711953764,"Reis township, Polk County, Minnesota",67.0,34.0,33.0,67.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,53764,27
2711953980,"Rhinehart township, Polk County, Minnesota",128.0,75.0,53.0,95.0,51.0,44.0,4.0,0.0,4.0,27.0,22.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,119,53980,27
2711958432,"Sandsville township, Polk County, Minnesota",42.0,23.0,19.0,27.0,17.0,10.0,9.0,6.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,119,58432,27
2711970870,"Winger city, Polk County, Minnesota",201.0,99.0,102.0,188.0,93.0,95.0,11.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,119,70870,27
2711971662,"Woodside township, Polk County, Minnesota",456.0,231.0,225.0,429.0,218.0,211.0,5.0,2.0,3.0,0.0,0.0,0.0,22.0,11.0,11.0,0.0,0.0,0.0,119,71662,27
271194726,"Belgium township, Polk County, Minnesota",105.0,42.0,63.0,77.0,42.0,35.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,4726,27
2711912682,"Columbia township, Polk County, Minnesota",358.0,173.0,185.0,352.0,171.0,181.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,119,12682,27
2711913888,"Crookston township, Polk County, Minnesota",438.0,207.0,231.0,379.0,186.0,193.0,44.0,15.0,29.0,0.0,0.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,119,13888,27
2711920510,"Fanny township, Polk County, Minnesota",78.0,33.0,45.0,78.0,33.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,20510,27
2711923066,"Garden township, Polk County, Minnesota",147.0,66.0,81.0,145.0,66.0,79.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,23066,27
2711923480,"Gentilly township, Polk County, Minnesota",214.0,110.0,104.0,201.0,106.0,95.0,7.0,0.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,119,23480,27
2711928358,"Helgeland township, Polk County, Minnesota",78.0,46.0,32.0,66.0,34.0,32.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,119,28358,27
2711928844,"Higdem township, Polk County, Minnesota",70.0,44.0,26.0,70.0,44.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,28844,27
2711933254,"King township, Polk County, Minnesota",215.0,101.0,114.0,215.0,101.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,33254,27
