B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
2166.0,2020.0,146.0,0.0,0.0,0.0,"Biggs CCD, Butte County, California",007,90230,06
75845.0,58732.0,10709.0,5049.0,1207.0,148.0,"Chico CCD, Butte County, California",007,90470,06
5353.0,4846.0,231.0,193.0,74.0,9.0,"Palermo CCD, Butte County, California",007,92330,06
40505.0,35252.0,3683.0,860.0,600.0,110.0,"Paradise CCD, Butte County, California",007,92380,06
4758.0,4103.0,496.0,91.0,68.0,0.0,"Durham CCD, Butte County, California",007,90750,06
25101.0,20898.0,3062.0,738.0,379.0,24.0,"Oroville CCD, Butte County, California",007,92300,06
2365.0,1937.0,269.0,83.0,69.0,7.0,"Corcoran CCD, Kings County, California",031,90570,06
1802.0,1684.0,71.0,7.0,40.0,0.0,"Hanford Northeast CCD, Kings County, California",031,91230,06
15809.0,12461.0,1569.0,634.0,1071.0,74.0,"Lemoore CCD, Kings County, California",031,91590,06
2482.0,1651.0,207.0,616.0,8.0,0.0,"Stratford CCD, Kings County, California",031,93250,06
1477.0,766.0,284.0,424.0,3.0,0.0,"Avenal CCD, Kings County, California",031,90170,06
25205.0,20426.0,2961.0,1092.0,653.0,73.0,"Hanford CCD, Kings County, California",031,91220,06
1251.0,1143.0,5.0,22.0,26.0,55.0,"Graeagle CCD, Plumas County, California",063,91135,06
5262.0,4483.0,496.0,217.0,66.0,0.0,"Quincy CCD, Plumas County, California",063,92540,06
2069.0,1905.0,78.0,10.0,51.0,25.0,"Greenville CCD, Plumas County, California",063,91170,06
3496.0,3050.0,158.0,171.0,109.0,8.0,"Chester CCD, Plumas County, California",063,90460,06
3434.0,2853.0,401.0,106.0,74.0,0.0,"Portola CCD, Plumas County, California",063,92530,06
31605.0,27662.0,2367.0,710.0,792.0,74.0,"Paso Robles CCD, San Luis Obispo County, California",079,92410,06
44383.0,28165.0,9702.0,4661.0,1602.0,253.0,"San Luis Obispo CCD, San Luis Obispo County, California",079,92860,06
52010.0,45620.0,3630.0,1854.0,775.0,131.0,"Arroyo Grande CCD, San Luis Obispo County, California",079,90120,06
28978.0,25081.0,2128.0,1247.0,387.0,135.0,"North Coast CCD, San Luis Obispo County, California",079,92160,06
36070.0,32347.0,2660.0,580.0,380.0,103.0,"Atascadero CCD, San Luis Obispo County, California",079,90140,06
2315.0,2195.0,75.0,22.0,23.0,0.0,"Caruthers-Raisin City CCD, Fresno County, California",019,90390,06
932.0,873.0,40.0,19.0,0.0,0.0,"Laton CCD, Fresno County, California",019,91570,06
9442.0,8392.0,784.0,169.0,97.0,0.0,"Sanger CCD, Fresno County, California",019,92800,06
1083.0,1077.0,6.0,0.0,0.0,0.0,"Firebaugh CCD, Fresno County, California",019,91000,06
