B19013H_001E,name,county,county subdivision,state
-666666666.0,"Johnson township, Scotland County, Missouri",199,37466,29
31923.0,"Harrison township, Scotland County, Missouri",199,30574,29
97292.0,"Vest township, Scotland County, Missouri",199,75958,29
48611.0,"Pleasant Hill township, Sullivan County, Missouri",211,58430,29
30714.0,"Buchanan township, Sullivan County, Missouri",211,09280,29
31765.0,"Burdine township, Texas County, Missouri",215,09766,29
33828.0,"Pierce township, Texas County, Missouri",215,57476,29
37855.0,"Ozark township, Texas County, Missouri",215,55820,29
22083.0,"Sargent township, Texas County, Missouri",215,66026,29
89167.0,"Boone township, Texas County, Missouri",215,07246,29
43125.0,"Rush township, Buchanan County, Missouri",021,63542,29
46585.0,"Washington township, Buchanan County, Missouri",021,77236,29
60393.0,"Center township, Buchanan County, Missouri",021,12484,29
72500.0,"Marion township, Buchanan County, Missouri",021,45938,29
64844.0,"Wayne township, Buchanan County, Missouri",021,77974,29
73413.0,"Agency township, Buchanan County, Missouri",021,00316,29
68571.0,"Bloomington township, Buchanan County, Missouri",021,06418,29
60804.0,"Platte township, Buchanan County, Missouri",021,58124,29
78365.0,"Crawford township, Buchanan County, Missouri",021,17110,29
56042.0,"Lake township, Buchanan County, Missouri",021,39800,29
105444.0,"Jackson township, Buchanan County, Missouri",021,35594,29
57361.0,"Tremont township, Buchanan County, Missouri",021,73798,29
55694.0,"Gomer township, Caldwell County, Missouri",025,27784,29
39461.0,"Grant township, Caldwell County, Missouri",025,28396,29
44008.0,"Kidder township, Caldwell County, Missouri",025,38540,29
48854.0,"Fairview township, Caldwell County, Missouri",025,23464,29
66528.0,"Rockford township, Caldwell County, Missouri",025,62624,29
44167.0,"Hamilton township, Caldwell County, Missouri",025,30052,29
29375.0,"Breckenridge township, Caldwell County, Missouri",025,08146,29
46000.0,"Kingston township, Caldwell County, Missouri",025,38864,29
46875.0,"Lincoln township, Caldwell County, Missouri",025,42626,29
53125.0,"Mirabile township, Caldwell County, Missouri",025,48872,29
48333.0,"New York township, Caldwell County, Missouri",025,52400,29
38000.0,"Davis township, Caldwell County, Missouri",025,18370,29
67315.0,"Bourbon township, Callaway County, Missouri",027,07516,29
88875.0,"Caldwell township, Callaway County, Missouri",027,10414,29
52868.0,"Cote Sans Dessein township, Callaway County, Missouri",027,16642,29
57872.0,"East Fulton township, Callaway County, Missouri",027,20854,29
55391.0,"McCredie township, Callaway County, Missouri",027,44876,29
31250.0,"Nine Mile Prairie township, Callaway County, Missouri",027,52508,29
44896.0,"Calwood township, Callaway County, Missouri",027,10666,29
53750.0,"Union township, Sullivan County, Missouri",211,75022,29
51932.0,"Duncan township, Sullivan County, Missouri",211,20386,29
46528.0,"Morris township, Sullivan County, Missouri",211,50024,29
41500.0,"Clay township, Sullivan County, Missouri",211,14536,29
36875.0,"Jackson township, Sullivan County, Missouri",211,36152,29
85417.0,"Taylor township, Sullivan County, Missouri",211,72538,29
47222.0,"Bowman township, Sullivan County, Missouri",211,07678,29
51250.0,"Forbes township, Holt County, Missouri",087,24976,29
31029.0,"Clay township, Holt County, Missouri",087,14410,29
31250.0,"Lincoln township, Holt County, Missouri",087,42770,29
42644.0,"Lewis township, Holt County, Missouri",087,41798,29
35938.0,"Shelton township, Knox County, Missouri",103,67286,29
45625.0,"Benton township, Knox County, Missouri",103,04708,29
66667.0,"Liberty township, Knox County, Missouri",103,42176,29
51250.0,"Salt River township, Knox County, Missouri",103,65576,29
32500.0,"Fabius township, Knox County, Missouri",103,23158,29
36250.0,"Myrtle township, Knox County, Missouri",103,51032,29
45469.0,"Colony township, Knox County, Missouri",103,15652,29
58125.0,"Greensburg township, Knox County, Missouri",103,29386,29
33750.0,"Jeddo township, Knox County, Missouri",103,36660,29
40417.0,"Lyon township, Knox County, Missouri",103,44732,29
26417.0,"Center township, Knox County, Missouri",103,12556,29
50625.0,"Bourbon township, Knox County, Missouri",103,07552,29
86438.0,"Bee Ridge township, Knox County, Missouri",103,03988,29
72730.0,"Fabius township, Marion County, Missouri",127,23176,29
51250.0,"Round Grove township, Marion County, Missouri",127,63344,29
70357.0,"Union township, Marion County, Missouri",127,74788,29
49744.0,"Miller township, Marion County, Missouri",127,48278,29
47500.0,"Liberty township, Marion County, Missouri",127,42230,29
37483.0,"Mason township, Marion County, Missouri",127,46658,29
50099.0,"Warren township, Marion County, Missouri",127,77074,29
70125.0,"South River township, Marion County, Missouri",127,69050,29
40573.0,"Upper Loutre township, Montgomery County, Missouri",139,75256,29
40703.0,"Bear Creek township, Montgomery County, Missouri",139,03754,29
40815.0,"Danville township, Montgomery County, Missouri",139,18208,29
45116.0,"Montgomery township, Montgomery County, Missouri",139,49520,29
51719.0,"Liberty township, Sullivan County, Missouri",211,42374,29
35568.0,"Penn township, Sullivan County, Missouri",211,56918,29
35026.0,"Polk township, Sullivan County, Missouri",211,58880,29
38563.0,"Niangua township, Camden County, Missouri",029,52410,29
54453.0,"Jackson township, Camden County, Missouri",029,35630,29
61339.0,"Osage township, Camden County, Missouri",029,55046,29
55575.0,"Pawhuska township, Camden County, Missouri",029,56596,29
47563.0,"Russell township, Camden County, Missouri",029,63668,29
47105.0,"Adair township, Camden County, Missouri",029,00190,29
49313.0,"Kiheka township, Camden County, Missouri",029,38585,29
56384.0,"Osceola township, Camden County, Missouri",029,55378,29
38295.0,"Auglaize township, Camden County, Missouri",029,02476,29
51741.0,"Warren township, Camden County, Missouri",029,77038,29
50281.0,"Jasper township, Camden County, Missouri",029,36476,29
63750.0,"Clay township, Clark County, Missouri",045,14302,29
47500.0,"Union township, Clark County, Missouri",045,74554,29
40455.0,"Wyaconda township, Clark County, Missouri",045,81160,29
42946.0,"Washington township, Clark County, Missouri",045,77290,29
46591.0,"Sweet Home township, Clark County, Missouri",045,71872,29
34615.0,"Jackson township, Clark County, Missouri",045,35684,29
43750.0,"Vernon township, Clark County, Missouri",045,75868,29
