B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
3196.0,1665.0,1531.0,"Morehead township, Guilford County, North Carolina",081,92124,37
0.0,0.0,0.0,"Dillsboro township, Jackson County, North Carolina",099,90900,37
0.0,0.0,0.0,"Canada township, Jackson County, North Carolina",099,90484,37
0.0,0.0,0.0,"Caney Fork township, Jackson County, North Carolina",099,90500,37
14.0,14.0,0.0,"Sylva township, Jackson County, North Carolina",099,93204,37
0.0,0.0,0.0,"Barkers Creek township, Jackson County, North Carolina",099,90156,37
0.0,0.0,0.0,"Scott Creek township, Jackson County, North Carolina",099,92868,37
0.0,0.0,0.0,"Cashiers township, Jackson County, North Carolina",099,90540,37
4.0,0.0,4.0,"Cullowhee township, Jackson County, North Carolina",099,90848,37
61.0,13.0,48.0,"Qualla township, Jackson County, North Carolina",099,92596,37
0.0,0.0,0.0,"River township, Jackson County, North Carolina",099,92684,37
0.0,0.0,0.0,"Greens Creek township, Jackson County, North Carolina",099,91320,37
0.0,0.0,0.0,"Savannah township, Jackson County, North Carolina",099,92856,37
0.0,0.0,0.0,"Webster township, Jackson County, North Carolina",099,93924,37
0.0,0.0,0.0,"Mountain township, Jackson County, North Carolina",099,92148,37
0.0,0.0,0.0,"Hamburg township, Jackson County, North Carolina",099,91384,37
0.0,0.0,0.0,"Beaverdam township, Watauga County, North Carolina",189,90204,37
0.0,0.0,0.0,"Cove Creek township, Watauga County, North Carolina",189,90788,37
2.0,2.0,0.0,"Laurel Creek township, Watauga County, North Carolina",189,91744,37
0.0,0.0,0.0,"Bald Mountain township, Watauga County, North Carolina",189,90132,37
0.0,0.0,0.0,"Elk township, Watauga County, North Carolina",189,91008,37
43.0,0.0,43.0,"New River township, Watauga County, North Carolina",189,92276,37
0.0,0.0,0.0,"Blue Ridge township, Watauga County, North Carolina",189,90308,37
0.0,0.0,0.0,"Meat Camp township, Watauga County, North Carolina",189,92032,37
21.0,21.0,0.0,"Brushy Fork township, Watauga County, North Carolina",189,90404,37
0.0,0.0,0.0,"Shawneehaw township, Watauga County, North Carolina",189,92916,37
0.0,0.0,0.0,"Stony Fork township, Watauga County, North Carolina",189,93152,37
39.0,0.0,39.0,"Watauga township, Watauga County, North Carolina",189,93912,37
0.0,0.0,0.0,"Blowing Rock township, Watauga County, North Carolina",189,90300,37
17.0,0.0,17.0,"Boone township, Watauga County, North Carolina",189,90332,37
0.0,0.0,0.0,"Halifax township, Halifax County, North Carolina",083,91372,37
0.0,0.0,0.0,"Palmyra township, Halifax County, North Carolina",083,92432,37
0.0,0.0,0.0,"Conoconnara township, Halifax County, North Carolina",083,90752,37
0.0,0.0,0.0,"Faucett township, Halifax County, North Carolina",083,91088,37
59.0,59.0,0.0,"Brinkleyville township, Halifax County, North Carolina",083,90368,37
0.0,0.0,0.0,"Butterwood township, Halifax County, North Carolina",083,90468,37
38.0,38.0,0.0,"Enfield township, Halifax County, North Carolina",083,91036,37
0.0,0.0,0.0,"Littleton township, Halifax County, North Carolina",083,91876,37
66.0,52.0,14.0,"Roanoke Rapids township, Halifax County, North Carolina",083,92704,37
0.0,0.0,0.0,"Roseneath township, Halifax County, North Carolina",083,92756,37
0.0,0.0,0.0,"Scotland Neck township, Halifax County, North Carolina",083,92864,37
0.0,0.0,0.0,"Weldon township, Halifax County, North Carolina",083,93932,37
46.0,46.0,0.0,"Township 6, Graham; Alamance County; North Carolina",001,93520,37
9.0,9.0,0.0,"Township 11, Pleasant Grove; Alamance County; North Carolina",001,93704,37
0.0,0.0,0.0,"Township 1, Patterson; Alamance County; North Carolina",001,93292,37
24.0,24.0,0.0,"Township 7, Albright; Alamance County; North Carolina",001,93556,37
23.0,23.0,0.0,"Township 9, Thompson; Alamance County; North Carolina",001,93656,37
0.0,0.0,0.0,"Township 8, Newlin; Alamance County; North Carolina",001,93608,37
0.0,0.0,0.0,"Township 2, Coble; Alamance County; North Carolina",001,93328,37
55.0,45.0,10.0,"Township 10, Melville; Alamance County; North Carolina",001,93684,37
0.0,0.0,0.0,"Township 4, Morton; Alamance County; North Carolina",001,93444,37
0.0,0.0,0.0,"Township 5, Faucette; Alamance County; North Carolina",001,93476,37
0.0,0.0,0.0,"Township 1, Carthage; Moore County; North Carolina",125,93264,37
37.0,37.0,0.0,"Township 10, Little River; Moore County; North Carolina",125,93672,37
0.0,0.0,0.0,"Township 2, Bensalem; Moore County; North Carolina",125,93316,37
82.0,49.0,33.0,"Township 7, McNeill; Moore County; North Carolina",125,93578,37
17.0,17.0,0.0,"Township 3, Sheffield; Moore County; North Carolina",125,93388,37
0.0,0.0,0.0,"Township 4, Ritter; Moore County; North Carolina",125,93448,37
0.0,0.0,0.0,"Township 5, Deep River; Moore County; North Carolina",125,93468,37
84.0,42.0,42.0,"Township 9, Mineral Springs; Moore County; North Carolina",125,93648,37
0.0,0.0,0.0,"Township 6, Greenwood; Moore County; North Carolina",125,93524,37
30.0,30.0,0.0,"Nixonton township, Pasquotank County, North Carolina",139,92292,37
55.0,12.0,43.0,"Mount Hermon township, Pasquotank County, North Carolina",139,92164,37
15.0,7.0,8.0,"Elizabeth City township, Pasquotank County, North Carolina",139,90996,37
0.0,0.0,0.0,"Newland township, Pasquotank County, North Carolina",139,92260,37
0.0,0.0,0.0,"Salem township, Pasquotank County, North Carolina",139,92804,37
104.0,30.0,74.0,"Providence township, Pasquotank County, North Carolina",139,92576,37
6.0,0.0,6.0,"Red Springs township, Robeson County, North Carolina",155,92640,37
0.0,0.0,0.0,"Lumber Bridge township, Robeson County, North Carolina",155,91936,37
27.0,14.0,13.0,"Pembroke township, Robeson County, North Carolina",155,92472,37
5.0,5.0,0.0,"Smiths township, Robeson County, North Carolina",155,92984,37
3.0,3.0,0.0,"Back Swamp township, Robeson County, North Carolina",155,90120,37
0.0,0.0,0.0,"Fairmont township, Robeson County, North Carolina",155,91052,37
113.0,81.0,32.0,"Lumberton township, Robeson County, North Carolina",155,91940,37
13.0,13.0,0.0,"Maxton township, Robeson County, North Carolina",155,92016,37
0.0,0.0,0.0,"West Howellsville township, Robeson County, North Carolina",155,93952,37
8.0,8.0,0.0,"Philadelphus township, Robeson County, North Carolina",155,92484,37
0.0,0.0,0.0,"Sterlings township, Robeson County, North Carolina",155,93120,37
0.0,0.0,0.0,"Thompson township, Robeson County, North Carolina",155,93236,37
0.0,0.0,0.0,"Union township, Robeson County, North Carolina",155,93812,37
0.0,0.0,0.0,"Raft Swamp township, Robeson County, North Carolina",155,92608,37
6.0,0.0,6.0,"Rennert township, Robeson County, North Carolina",155,92656,37
6.0,0.0,6.0,"Saddletree township, Robeson County, North Carolina",155,92780,37
3.0,3.0,0.0,"Smyrna township, Robeson County, North Carolina",155,93004,37
0.0,0.0,0.0,"Whitehouse township, Robeson County, North Carolina",155,93962,37
8.0,8.0,0.0,"Orrum township, Robeson County, North Carolina",155,92420,37
119.0,36.0,83.0,"Township 12, Burlington; Alamance County; North Carolina",001,93712,37
290.0,155.0,135.0,"Township 3, Boone Station; Alamance County; North Carolina",001,93368,37
0.0,0.0,0.0,"Township 13, Haw River; Alamance County; North Carolina",001,93732,37
0.0,0.0,0.0,"Columbia township, Tyrrell County, North Carolina",177,90736,37
0.0,0.0,0.0,"South Fork township, Tyrrell County, North Carolina",177,93040,37
43.0,35.0,8.0,"Asheville township, Buncombe County, North Carolina",021,90088,37
686.0,336.0,350.0,"Asheville city, Buncombe County, North Carolina",021,90086,37
53.0,4.0,49.0,"Black Mountain township, Buncombe County, North Carolina",021,90284,37
15.0,15.0,0.0,"Flat Creek township, Buncombe County, North Carolina",021,91116,37
18.0,18.0,0.0,"Swannanoa township, Buncombe County, North Carolina",021,93180,37
0.0,0.0,0.0,"Lower Fork township, Burke County, North Carolina",023,91928,37
63.0,56.0,7.0,"Drexel township, Burke County, North Carolina",023,90912,37
0.0,0.0,0.0,"Quaker Meadows township, Burke County, North Carolina",023,92592,37
208.0,187.0,21.0,"Icard township, Burke County, North Carolina",023,91572,37
0.0,0.0,0.0,"Jonas Ridge township, Burke County, North Carolina",023,91676,37
0.0,0.0,0.0,"Upper Fork township, Burke County, North Carolina",023,93836,37
0.0,0.0,0.0,"Conrad Hill township, Davidson County, North Carolina",057,90756,37
31.0,31.0,0.0,"Cotton Grove township, Davidson County, North Carolina",057,90780,37
99.0,99.0,0.0,"Thomasville township, Davidson County, North Carolina",057,93232,37
12.0,12.0,0.0,"Reedy Creek township, Davidson County, North Carolina",057,92644,37
0.0,0.0,0.0,"Emmons township, Davidson County, North Carolina",057,91028,37
0.0,0.0,0.0,"Silver Hill township, Davidson County, North Carolina",057,92956,37
0.0,0.0,0.0,"Yadkin College township, Davidson County, North Carolina",057,94112,37
256.0,210.0,46.0,"Lexington township, Davidson County, North Carolina",057,91796,37
0.0,0.0,0.0,"Jackson Hill township, Davidson County, North Carolina",057,91628,37
10.0,10.0,0.0,"Hampton township, Davidson County, North Carolina",057,91392,37
0.0,0.0,0.0,"Healing Spring township, Davidson County, North Carolina",057,91440,37
0.0,0.0,0.0,"Midway township, Davidson County, North Carolina",057,92064,37
167.0,78.0,89.0,"Abbotts Creek township, Davidson County, North Carolina",057,90008,37
0.0,0.0,0.0,"Faison township, Duplin County, North Carolina",061,91060,37
0.0,0.0,0.0,"Alleghany township, Davidson County, North Carolina",057,90032,37
0.0,0.0,0.0,"Boone township, Davidson County, North Carolina",057,90328,37
15.0,15.0,0.0,"Arcadia township, Davidson County, North Carolina",057,90076,37
14.0,14.0,0.0,"Island Creek township, Duplin County, North Carolina",061,91600,37
0.0,0.0,0.0,"Rockfish township, Duplin County, North Carolina",061,92728,37
14.0,11.0,3.0,"Rose Hill township, Duplin County, North Carolina",061,92752,37
14.0,0.0,14.0,"Wolfscrape township, Duplin County, North Carolina",061,94092,37
0.0,0.0,0.0,"Glisson township, Duplin County, North Carolina",061,91240,37
0.0,0.0,0.0,"Limestone township, Duplin County, North Carolina",061,91820,37
0.0,0.0,0.0,"Smith township, Duplin County, North Carolina",061,92972,37
0.0,0.0,0.0,"Magnolia township, Duplin County, North Carolina",061,91960,37
0.0,0.0,0.0,"Cypress Creek township, Duplin County, North Carolina",061,90864,37
0.0,0.0,0.0,"Warsaw township, Duplin County, North Carolina",061,93900,37
4.0,4.0,0.0,"Kenansville township, Duplin County, North Carolina",061,91688,37
0.0,0.0,0.0,"Albertson township, Duplin County, North Carolina",061,90020,37
0.0,0.0,0.0,"Mangum township, Durham County, North Carolina",063,91972,37
277.0,245.0,32.0,"Oak Grove township, Durham County, North Carolina",063,92344,37
174.0,174.0,0.0,"Lebanon township, Durham County, North Carolina",063,91760,37
1709.0,370.0,1339.0,"Durham township, Durham County, North Carolina",063,90932,37
3262.0,1720.0,1542.0,"Triangle township, Durham County, North Carolina",063,93764,37
56.0,56.0,0.0,"Carr township, Durham County, North Carolina",063,90516,37
0.0,0.0,0.0,"Maneys Neck township, Hertford County, North Carolina",091,91968,37
4.0,4.0,0.0,"Winton township, Hertford County, North Carolina",091,94076,37
17.0,10.0,7.0,"Ahoskie township, Hertford County, North Carolina",091,90016,37
16.0,16.0,0.0,"Township 7, Pocket; Lee County; North Carolina",105,93580,37
0.0,0.0,0.0,"Harrellsville township, Hertford County, North Carolina",091,91412,37
24.0,19.0,5.0,"Murfreesboro township, Hertford County, North Carolina",091,92188,37
0.0,0.0,0.0,"St. Johns township, Hertford County, North Carolina",091,92784,37
22.0,22.0,0.0,"Township 3, Cape Fear; Lee County; North Carolina",105,93372,37
70.0,42.0,28.0,"Township 6, West Sanford; Lee County; North Carolina",105,93548,37
0.0,0.0,0.0,"Township 4, Deep River; Lee County; North Carolina",105,93428,37
0.0,0.0,0.0,"Township 5, East Sanford; Lee County; North Carolina",105,93472,37
0.0,0.0,0.0,"Township 1, Greenwood; Lee County; North Carolina",105,93280,37
550.0,219.0,331.0,"Wilmington township, New Hanover County, North Carolina",129,94044,37
26.0,9.0,17.0,"Township 2, Jonesboro; Lee County; North Carolina",105,93336,37
166.0,150.0,16.0,"Harnett township, New Hanover County, North Carolina",129,91404,37
41.0,17.0,24.0,"Cape Fear township, New Hanover County, North Carolina",129,90508,37
126.0,111.0,15.0,"Federal Point township, New Hanover County, North Carolina",129,91092,37
22.0,22.0,0.0,"Masonboro township, New Hanover County, North Carolina",129,92008,37
0.0,0.0,0.0,"Union township, Pender County, North Carolina",141,93804,37
0.0,0.0,0.0,"Columbia township, Pender County, North Carolina",141,90728,37
0.0,0.0,0.0,"Canetuck township, Pender County, North Carolina",141,90496,37
0.0,0.0,0.0,"Long Creek township, Pender County, North Carolina",141,91900,37
0.0,0.0,0.0,"Rocky Point township, Pender County, North Carolina",141,92744,37
50.0,34.0,16.0,"Topsail township, Pender County, North Carolina",141,93248,37
14.0,14.0,0.0,"Grady township, Pender County, North Carolina",141,91272,37
0.0,0.0,0.0,"Holly township, Pender County, North Carolina",141,91516,37
0.0,0.0,0.0,"Burgaw township, Pender County, North Carolina",141,90444,37
0.0,0.0,0.0,"Caswell township, Pender County, North Carolina",141,90548,37
0.0,0.0,0.0,"Grantham township, Wayne County, North Carolina",191,91280,37
4.0,4.0,0.0,"Buck Swamp township, Wayne County, North Carolina",191,90428,37
12.0,12.0,0.0,"Indian Springs township, Wayne County, North Carolina",191,91576,37
18.0,18.0,0.0,"Saulston township, Wayne County, North Carolina",191,92848,37
114.0,59.0,55.0,"Stoney Creek township, Wayne County, North Carolina",191,93138,37
26.0,0.0,26.0,"Brogden township, Wayne County, North Carolina",191,90384,37
8.0,8.0,0.0,"Nahunta township, Wayne County, North Carolina",191,92200,37
158.0,90.0,68.0,"New Hope township, Wayne County, North Carolina",191,92256,37
155.0,34.0,121.0,"Goldsboro township, Wayne County, North Carolina",191,91260,37
0.0,0.0,0.0,"Middle Fork II township, Forsyth County, North Carolina",067,92062,37
0.0,0.0,0.0,"Hiawassee township, Clay County, North Carolina",043,91466,37
0.0,0.0,0.0,"Middle Fork I township, Forsyth County, North Carolina",067,92061,37
0.0,0.0,0.0,"Great Swamp township, Wayne County, North Carolina",191,91300,37
20.0,20.0,0.0,"Fork township, Wayne County, North Carolina",191,91136,37
0.0,0.0,0.0,"Pikeville township, Wayne County, North Carolina",191,92492,37
0.0,0.0,0.0,"Stoney Creek township, Caswell County, North Carolina",033,93137,37
0.0,0.0,0.0,"Welches Creek township, Columbus County, North Carolina",047,93928,37
0.0,0.0,0.0,"Gaddys township, Robeson County, North Carolina",155,91200,37
7.0,0.0,7.0,"Wisharts township, Robeson County, North Carolina",155,94080,37
106.0,66.0,40.0,"Township 8, Sandhills; Moore County; North Carolina",125,93616,37
263.0,179.0,84.0,"Cleveland, Cleveland County, North Carolina",045,90686,37
0.0,0.0,0.0,"Green Creek township, Polk County, North Carolina",149,91302,37
0.0,0.0,0.0,"Mitchell township, Bertie County, North Carolina",015,92096,37
0.0,0.0,0.0,"Snakebite township, Bertie County, North Carolina",015,93008,37
0.0,0.0,0.0,"Township 11, Revere-Rice Cove; Madison County; North Carolina",115,93706,37
150.0,150.0,0.0,"Township 3, Steele Creek; Mecklenburg County; North Carolina",119,93392,37
0.0,0.0,0.0,"Gum Neck township, Tyrrell County, North Carolina",177,91360,37
0.0,0.0,0.0,"Alligator township, Tyrrell County, North Carolina",177,90044,37
0.0,0.0,0.0,"Scuppernong township, Tyrrell County, North Carolina",177,92872,37
0.0,0.0,0.0,"Carrs township, Greene County, North Carolina",079,90520,37
0.0,0.0,0.0,"Ormonds township, Greene County, North Carolina",079,92416,37
0.0,0.0,0.0,"Snow Hill township, Greene County, North Carolina",079,93020,37
0.0,0.0,0.0,"Olds township, Greene County, North Carolina",079,92392,37
0.0,0.0,0.0,"Speights Bridge township, Greene County, North Carolina",079,93076,37
0.0,0.0,0.0,"Jason township, Greene County, North Carolina",079,91648,37
0.0,0.0,0.0,"Hookerton township, Greene County, North Carolina",079,91532,37
0.0,0.0,0.0,"Shine township, Greene County, North Carolina",079,92928,37
0.0,0.0,0.0,"Bull Head township, Greene County, North Carolina",079,90440,37
0.0,0.0,0.0,"White Oak township, Haywood County, North Carolina",087,93972,37
0.0,0.0,0.0,"Cataloochee township, Haywood County, North Carolina",087,90552,37
0.0,0.0,0.0,"Cecil township, Haywood County, North Carolina",087,90568,37
0.0,0.0,0.0,"Clyde township, Haywood County, North Carolina",087,90704,37
0.0,0.0,0.0,"Fines Creek township, Haywood County, North Carolina",087,91104,37
26.0,26.0,0.0,"Ivy Hill township, Haywood County, North Carolina",087,91608,37
0.0,0.0,0.0,"Pigeon township, Haywood County, North Carolina",087,92488,37
0.0,0.0,0.0,"East Fork township, Haywood County, North Carolina",087,90956,37
199.0,97.0,102.0,"Waynesville township, Haywood County, North Carolina",087,93920,37
18.0,0.0,18.0,"Beaverdam township, Haywood County, North Carolina",087,90196,37
0.0,0.0,0.0,"Crabtree township, Haywood County, North Carolina",087,90800,37
0.0,0.0,0.0,"Jonathan Creek township, Haywood County, North Carolina",087,91680,37
0.0,0.0,0.0,"Iron Duff township, Haywood County, North Carolina",087,91592,37
0.0,0.0,0.0,"Cane Creek township, Mitchell County, North Carolina",121,90488,37
0.0,0.0,0.0,"Fork Mountain-Little Rock Creek township, Mitchell County, North Carolina",121,91140,37
0.0,0.0,0.0,"Poplar township, Mitchell County, North Carolina",121,92548,37
0.0,0.0,0.0,"Grassy Creek township, Mitchell County, North Carolina",121,91285,37
0.0,0.0,0.0,"Britts township, Robeson County, North Carolina",155,90372,37
16.0,16.0,0.0,"Burnt Swamp township, Robeson County, North Carolina",155,90460,37
0.0,0.0,0.0,"Parkton township, Robeson County, North Carolina",155,92444,37
0.0,0.0,0.0,"Rowland township, Robeson County, North Carolina",155,92760,37
24.0,20.0,4.0,"St. Pauls township, Robeson County, North Carolina",155,92796,37
