B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
13806.0,12167.0,797.0,570.0,149.0,123.0,"Rocky Hill town, Hartford County, Connecticut",003,65370,09
2177.0,1942.0,171.0,45.0,19.0,0.0,"Chaplin town, Windham County, Connecticut",015,13810,09
4913.0,4467.0,63.0,348.0,35.0,0.0,"Canterbury town, Windham County, Connecticut",015,12130,09
13142.0,11579.0,863.0,445.0,249.0,6.0,"Plainfield town, Windham County, Connecticut",015,59980,09
8846.0,7889.0,676.0,57.0,224.0,0.0,"Thompson town, Windham County, Connecticut",015,75870,09
7453.0,6671.0,405.0,88.0,289.0,0.0,"Woodstock town, Windham County, Connecticut",015,88190,09
1598.0,1533.0,47.0,18.0,0.0,0.0,"Scotland town, Windham County, Connecticut",015,67400,09
3959.0,3530.0,349.0,42.0,38.0,0.0,"Pomfret town, Windham County, Connecticut",015,61030,09
12792.0,10379.0,615.0,1579.0,186.0,33.0,"Windham town, Windham County, Connecticut",015,86790,09
3943.0,3705.0,85.0,130.0,23.0,0.0,"Ashford town, Windham County, Connecticut",015,01430,09
7424.0,6653.0,430.0,166.0,155.0,20.0,"Brooklyn town, Windham County, Connecticut",015,09190,09
15092.0,12965.0,1338.0,258.0,472.0,59.0,"Killingly town, Windham County, Connecticut",015,40500,09
8713.0,7298.0,1173.0,50.0,191.0,1.0,"Putnam town, Windham County, Connecticut",015,62710,09
3483.0,3105.0,150.0,53.0,175.0,0.0,"Sterling town, Windham County, Connecticut",015,73420,09
1554.0,1491.0,32.0,17.0,12.0,2.0,"Eastford town, Windham County, Connecticut",015,21860,09
1704.0,1526.0,70.0,100.0,8.0,0.0,"Hampton town, Windham County, Connecticut",015,36000,09
14563.0,13000.0,904.0,496.0,122.0,41.0,"Colchester town, New London County, Connecticut",011,15910,09
11945.0,10762.0,904.0,0.0,255.0,24.0,"Ledyard town, New London County, Connecticut",011,42600,09
12240.0,9109.0,1503.0,357.0,1207.0,64.0,"New London town, New London County, Connecticut",011,52350,09
2348.0,2183.0,104.0,41.0,20.0,0.0,"Bozrah town, New London County, Connecticut",011,06820,09
4029.0,3717.0,186.0,25.0,101.0,0.0,"Preston town, New London County, Connecticut",011,62150,09
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, New London County, Connecticut",011,00000,09
1793.0,1716.0,53.0,7.0,17.0,0.0,"Franklin town, New London County, Connecticut",011,29910,09
6835.0,6492.0,125.0,122.0,87.0,9.0,"Lebanon town, New London County, Connecticut",011,42390,09
3593.0,3306.0,193.0,67.0,16.0,11.0,"Salem town, New London County, Connecticut",011,66210,09
15986.0,14733.0,972.0,88.0,193.0,0.0,"Waterford town, New London County, Connecticut",011,80280,09
4397.0,4205.0,156.0,0.0,36.0,0.0,"North Stonington town, New London County, Connecticut",011,55500,09
2576.0,2354.0,108.0,24.0,90.0,0.0,"Sprague town, New London County, Connecticut",011,71670,09
16724.0,15048.0,1021.0,154.0,470.0,31.0,"Stonington town, New London County, Connecticut",011,73770,09
24471.0,21186.0,2447.0,623.0,215.0,0.0,"Norwich town, New London County, Connecticut",011,56270,09
15369.0,13478.0,970.0,669.0,252.0,0.0,"East Lyme town, New London County, Connecticut",011,23400,09
