B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
74.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,6.0,11.0,0.0,10.0,24.0,0.0,"Tomlinson township, Scott County, Arkansas",127,93620,05
101.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,30.0,0.0,0.0,"Tubal township, Union County, Arkansas",139,93650,05
569.0,92.0,28.0,54.0,46.0,16.0,14.0,26.0,16.0,75.0,78.0,33.0,55.0,21.0,15.0,0.0,0.0,"East Griggs township, Van Buren County, Arkansas",141,91200,05
242.0,6.0,29.0,15.0,52.0,29.0,10.0,18.0,0.0,52.0,8.0,10.0,10.0,0.0,0.0,0.0,3.0,"Formosa township, Van Buren County, Arkansas",141,91318,05
172.0,15.0,10.0,11.0,22.0,8.0,9.0,8.0,0.0,12.0,14.0,48.0,8.0,7.0,0.0,0.0,0.0,"Holly Mountain township, Van Buren County, Arkansas",141,91750,05
721.0,103.0,99.0,38.0,57.0,30.0,62.0,50.0,45.0,25.0,25.0,62.0,62.0,47.0,9.0,0.0,7.0,"West Griggs township, Van Buren County, Arkansas",141,93970,05
124.0,20.0,8.0,0.0,8.0,0.0,0.0,13.0,0.0,10.0,18.0,41.0,0.0,0.0,0.0,0.0,6.0,"Turkey Creek township, Stone County, Arkansas",137,93651,05
33.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,3.0,"Marais Saline township, Ashley County, Arkansas",003,92365,05
5072.0,264.0,250.0,261.0,264.0,171.0,241.0,215.0,317.0,180.0,386.0,535.0,748.0,390.0,312.0,192.0,346.0,"Township 1, Benton County, Arkansas",007,93626,05
3823.0,249.0,172.0,194.0,161.0,183.0,188.0,213.0,227.0,157.0,240.0,413.0,565.0,369.0,161.0,121.0,210.0,"Township 2, Benton County, Arkansas",007,93628,05
4252.0,256.0,160.0,175.0,350.0,307.0,153.0,143.0,282.0,322.0,344.0,442.0,471.0,374.0,181.0,164.0,128.0,"Township 3, Benton County, Arkansas",007,93630,05
9737.0,189.0,215.0,249.0,233.0,237.0,272.0,191.0,381.0,372.0,542.0,1064.0,1133.0,1112.0,843.0,1150.0,1554.0,"Township 4, Benton County, Arkansas",007,93632,05
3491.0,304.0,208.0,284.0,312.0,211.0,189.0,202.0,158.0,116.0,248.0,242.0,428.0,309.0,163.0,65.0,52.0,"Township 5, Benton County, Arkansas",007,93634,05
4116.0,156.0,151.0,264.0,104.0,145.0,273.0,309.0,299.0,104.0,318.0,351.0,461.0,355.0,236.0,302.0,288.0,"Township 6, Benton County, Arkansas",007,93636,05
7584.0,186.0,254.0,285.0,253.0,242.0,234.0,417.0,207.0,286.0,863.0,1051.0,1125.0,842.0,565.0,424.0,350.0,"Township 7, Benton County, Arkansas",007,93638,05
4234.0,178.0,369.0,137.0,158.0,213.0,183.0,231.0,144.0,161.0,252.0,359.0,421.0,443.0,215.0,330.0,440.0,"Township 8, Benton County, Arkansas",007,93640,05
11115.0,359.0,224.0,351.0,464.0,402.0,426.0,261.0,481.0,597.0,681.0,1150.0,1578.0,1164.0,1026.0,1080.0,871.0,"Township 9, Benton County, Arkansas",007,93642,05
