B19013I_001E,name,county,county subdivision,state
-666666666.0,"Callands-Gretna district, Pittsylvania County, Virginia",143,90592,51
28370.0,"Tunstall district, Pittsylvania County, Virginia",143,96127,51
-666666666.0,"Norton city, Norton city, Virginia",720,94931,51
70224.0,"Staunton city, Staunton city, Virginia",790,95875,51
-666666666.0,"Palmyra district, Fluvanna County, Virginia",065,94983,51
42866.0,"Fork Union district, Fluvanna County, Virginia",065,93607,51
-666666666.0,"Columbia district, Fluvanna County, Virginia",065,90952,51
-666666666.0,"Rivanna district, Fluvanna County, Virginia",065,95327,51
-666666666.0,"Cunningham district, Fluvanna County, Virginia",065,91056,51
-666666666.0,"District 2, Amelia County, Virginia",007,91349,51
-666666666.0,"District 4, Amelia County, Virginia",007,91649,51
-666666666.0,"District 1, Amelia County, Virginia",007,91199,51
-666666666.0,"District 3, Amelia County, Virginia",007,91499,51
-666666666.0,"District 5, Amelia County, Virginia",007,91799,51
38750.0,"Radford city, Radford city, Virginia",750,95211,51
37344.0,"Winchester city, Winchester city, Virginia",840,96427,51
18500.0,"District 4, Accomack County, Virginia",001,91646,51
63388.0,"District 7, Accomack County, Virginia",001,92096,51
40987.0,"District 9, Accomack County, Virginia",001,92396,51
-666666666.0,"District 3, Accomack County, Virginia",001,91496,51
-666666666.0,"District 1, Accomack County, Virginia",001,91196,51
26128.0,"District 6, Accomack County, Virginia",001,91946,51
66714.0,"District 5, Accomack County, Virginia",001,91796,51
120956.0,"District 8, Accomack County, Virginia",001,92246,51
-666666666.0,"District 2, Accomack County, Virginia",001,91346,51
-666666666.0,"Craig Creek district, Craig County, Virginia",045,91032,51
-666666666.0,"Simmonsville district, Craig County, Virginia",045,95703,51
-666666666.0,"Potts Mountain district, Craig County, Virginia",045,95135,51
-666666666.0,"New Castle district, Craig County, Virginia",045,94823,51
-666666666.0,"Craig City district, Craig County, Virginia",045,91024,51
26250.0,"Court House district, Floyd County, Virginia",063,90992,51
-666666666.0,"Burks Fork district, Floyd County, Virginia",063,90576,51
-666666666.0,"Indian Valley district, Floyd County, Virginia",063,93959,51
-666666666.0,"Locust Grove district, Floyd County, Virginia",063,94343,51
-666666666.0,"Little River district, Floyd County, Virginia",063,94303,51
-666666666.0,"Central district, Giles County, Virginia",071,90728,51
-666666666.0,"Western district, Giles County, Virginia",071,96287,51
23882.0,"Eastern district, Giles County, Virginia",071,93431,51
-666666666.0,"Elk Creek district, Grayson County, Virginia",077,93479,51
-666666666.0,"Wilson Creek district, Grayson County, Virginia",077,96423,51
-666666666.0,"Old Town district, Grayson County, Virginia",077,94959,51
36369.0,"Providence district, Grayson County, Virginia",077,95199,51
-666666666.0,"District 1, Nottoway County, Virginia",135,91260,51
87045.0,"District 2, Nottoway County, Virginia",135,91410,51
-666666666.0,"District 3, Nottoway County, Virginia",135,91560,51
36165.0,"District 5, Nottoway County, Virginia",135,91860,51
-666666666.0,"District 4, Nottoway County, Virginia",135,91710,51
-666666666.0,"Piedmont district, Rappahannock County, Virginia",157,95063,51
-666666666.0,"Hampton district, Rappahannock County, Virginia",157,93823,51
-666666666.0,"Jackson district, Rappahannock County, Virginia",157,94007,51
-666666666.0,"Wakefield district, Rappahannock County, Virginia",157,96199,51
-666666666.0,"Stonewall-Hawthorne district, Rappahannock County, Virginia",157,95967,51
56625.0,"Courthouse district, Appomattox County, Virginia",011,90985,51
78787.0,"Potomac district, Prince William County, Virginia",153,95133,51
