B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
2006.0,1427.0,579.0,"Manchester town, Bennington County, Vermont",003,42850,50
406.0,339.0,67.0,"Sunderland town, Bennington County, Vermont",003,71425,50
5914.0,3600.0,2314.0,"Bennington town, Bennington County, Vermont",003,04825,50
1305.0,1078.0,227.0,"Pownal town, Bennington County, Vermont",003,57025,50
1401.0,1267.0,134.0,"Shaftsbury town, Bennington County, Vermont",003,63550,50
359.0,333.0,26.0,"Stamford town, Bennington County, Vermont",003,69775,50
868.0,758.0,110.0,"Dorset town, Bennington County, Vermont",003,17725,50
451.0,353.0,98.0,"Cornwall town, Addison County, Vermont",001,16000,50
261.0,201.0,60.0,"Panton town, Addison County, Vermont",001,53950,50
500.0,422.0,78.0,"Shoreham town, Addison County, Vermont",001,65050,50
184.0,168.0,16.0,"Waltham town, Addison County, Vermont",001,76075,50
429.0,335.0,94.0,"Salisbury town, Addison County, Vermont",001,62575,50
516.0,428.0,88.0,"Lincoln town, Addison County, Vermont",001,40075,50
1131.0,681.0,450.0,"Vergennes city, Addison County, Vermont",001,74650,50
493.0,374.0,119.0,"Bridport town, Addison County, Vermont",001,08575,50
142.0,95.0,47.0,"Granville town, Addison County, Vermont",001,29575,50
673.0,586.0,87.0,"Starksboro town, Addison County, Vermont",001,70075,50
149.0,115.0,34.0,"Whiting town, Addison County, Vermont",001,83800,50
72.0,68.0,4.0,"Goshen town, Addison County, Vermont",001,28600,50
128.0,103.0,25.0,"Hancock town, Addison County, Vermont",001,31525,50
686.0,540.0,146.0,"New Haven town, Addison County, Vermont",001,48700,50
363.0,296.0,67.0,"Weybridge town, Addison County, Vermont",001,83275,50
535.0,459.0,76.0,"Orwell town, Addison County, Vermont",001,53725,50
263.0,205.0,58.0,"Ripton town, Addison County, Vermont",001,59650,50
460.0,407.0,53.0,"Leicester town, Addison County, Vermont",001,39325,50
2673.0,1396.0,1277.0,"Middlebury town, Addison County, Vermont",001,44350,50
538.0,471.0,67.0,"Addison town, Addison County, Vermont",001,00325,50
753.0,639.0,114.0,"Monkton town, Addison County, Vermont",001,45550,50
1585.0,1121.0,464.0,"Bristol town, Addison County, Vermont",001,09025,50
34.0,32.0,2.0,"Brunswick town, Essex County, Vermont",009,10075,50
10.0,10.0,0.0,"Averill town, Essex County, Vermont",009,02125,50
0.0,0.0,0.0,"Avery's gore, Essex County, Vermont",009,02162,50
89.0,81.0,8.0,"Guildhall town, Essex County, Vermont",009,30775,50
62.0,57.0,5.0,"Norton town, Essex County, Vermont",009,52750,50
42.0,40.0,2.0,"Victory town, Essex County, Vermont",009,75175,50
419.0,320.0,99.0,"Canaan town, Essex County, Vermont",009,11800,50
122.0,115.0,7.0,"East Haven town, Essex County, Vermont",009,21250,50
0.0,0.0,0.0,"Lewis town, Essex County, Vermont",009,39775,50
0.0,0.0,0.0,"Warren's gore, Essex County, Vermont",009,76562,50
100.0,77.0,23.0,"Bloomfield town, Essex County, Vermont",009,06325,50
60.0,57.0,3.0,"Lemington town, Essex County, Vermont",009,39700,50
97.0,87.0,10.0,"Maidstone town, Essex County, Vermont",009,42475,50
461.0,310.0,151.0,"Brighton town, Essex County, Vermont",009,08725,50
0.0,0.0,0.0,"Warner's grant, Essex County, Vermont",009,76337,50
44.0,40.0,4.0,"Granby town, Essex County, Vermont",009,29125,50
539.0,460.0,79.0,"Concord town, Essex County, Vermont",009,15250,50
537.0,418.0,119.0,"Lunenburg town, Essex County, Vermont",009,41425,50
1.0,1.0,0.0,"Ferdinand town, Essex County, Vermont",009,25975,50
1076.0,874.0,202.0,"Berlin town, Washington County, Vermont",023,05650,50
1078.0,858.0,220.0,"East Montpelier town, Washington County, Vermont",023,21925,50
364.0,320.0,44.0,"Woodbury town, Washington County, Vermont",023,85525,50
390.0,324.0,66.0,"Worcester town, Washington County, Vermont",023,86125,50
729.0,581.0,148.0,"Waitsfield town, Washington County, Vermont",023,75325,50
507.0,467.0,40.0,"Duxbury town, Washington County, Vermont",023,18550,50
291.0,252.0,39.0,"Roxbury town, Washington County, Vermont",023,60625,50
2001.0,1372.0,629.0,"Waterbury town, Washington County, Vermont",023,76975,50
608.0,534.0,74.0,"Calais town, Washington County, Vermont",023,11350,50
688.0,640.0,48.0,"Middlesex town, Washington County, Vermont",023,44500,50
694.0,565.0,129.0,"Moretown town, Washington County, Vermont",023,46225,50
514.0,406.0,108.0,"Plainfield town, Washington County, Vermont",023,55825,50
