B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Franklin township, Monona County, Iowa",133,91416,19
0.0,0.0,0.0,"Maple township, Monona County, Iowa",133,92817,19
0.0,0.0,0.0,"Onawa city, Monona County, Iowa",133,93175,19
0.0,0.0,0.0,"Cooper township, Monona County, Iowa",133,90828,19
0.0,0.0,0.0,"St. Clair township, Monona County, Iowa",133,93735,19
0.0,0.0,0.0,"Spring Valley township, Monona County, Iowa",133,93996,19
0.0,0.0,0.0,"Fairview township, Monona County, Iowa",133,91299,19
0.0,0.0,0.0,"Lincoln township, Monona County, Iowa",133,92577,19
0.0,0.0,0.0,"Jordan township, Monona County, Iowa",133,92283,19
0.0,0.0,0.0,"Sioux township, Monona County, Iowa",133,93918,19
0.0,0.0,0.0,"Kennebec township, Monona County, Iowa",133,92307,19
0.0,0.0,0.0,"Center township, Monona County, Iowa",133,90615,19
0.0,0.0,0.0,"Grant township, Monona County, Iowa",133,91677,19
0.0,0.0,0.0,"Willow township, Monona County, Iowa",133,94749,19
0.0,0.0,0.0,"Fruitland township, Muscatine County, Iowa",139,91491,19
0.0,0.0,0.0,"Moscow township, Muscatine County, Iowa",139,93027,19
0.0,0.0,0.0,"Orono township, Muscatine County, Iowa",139,93204,19
0.0,0.0,0.0,"Wheeler township, Lyon County, Iowa",119,94707,19
0.0,0.0,0.0,"Cleveland township, Lyon County, Iowa",119,90735,19
0.0,0.0,0.0,"Centennial township, Lyon County, Iowa",119,90579,19
0.0,0.0,0.0,"Larchwood township, Lyon County, Iowa",119,92385,19
0.0,0.0,0.0,"Rock township, Lyon County, Iowa",119,93660,19
0.0,0.0,0.0,"Garfield township, Lyon County, Iowa",119,91524,19
0.0,0.0,0.0,"Lyon township, Lyon County, Iowa",119,92742,19
0.0,0.0,0.0,"Midland township, Lyon County, Iowa",119,92925,19
0.0,0.0,0.0,"Elgin township, Lyon County, Iowa",119,91164,19
0.0,0.0,0.0,"Liberal township, Lyon County, Iowa",119,92436,19
0.0,0.0,0.0,"Allison township, Lyon County, Iowa",119,90051,19
0.0,0.0,0.0,"Logan township, Winnebago County, Iowa",189,92706,19
23.0,23.0,0.0,"Center township, Winnebago County, Iowa",189,90636,19
26.0,0.0,26.0,"Forest township, Winnebago County, Iowa",189,91365,19
0.0,0.0,0.0,"Norway township, Winnebago County, Iowa",189,93141,19
0.0,0.0,0.0,"Grant township, Winnebago County, Iowa",189,91716,19
0.0,0.0,0.0,"Newton township, Winnebago County, Iowa",189,93105,19
0.0,0.0,0.0,"Lincoln township, Winnebago County, Iowa",189,92628,19
0.0,0.0,0.0,"Linden township, Winnebago County, Iowa",189,92640,19
0.0,0.0,0.0,"Mount Valley township, Winnebago County, Iowa",189,93038,19
0.0,0.0,0.0,"Eden township, Winnebago County, Iowa",189,91152,19
0.0,0.0,0.0,"Buffalo township, Winnebago County, Iowa",189,90396,19
0.0,0.0,0.0,"King township, Winnebago County, Iowa",189,92316,19
0.0,0.0,0.0,"Walnut township, Palo Alto County, Iowa",147,94407,19
0.0,0.0,0.0,"Highland township, Palo Alto County, Iowa",147,91941,19
5.0,0.0,5.0,"Rush Lake township, Palo Alto County, Iowa",147,93714,19
0.0,0.0,0.0,"West Bend township, Palo Alto County, Iowa",147,94650,19
0.0,0.0,0.0,"Vernon township, Palo Alto County, Iowa",147,94338,19
0.0,0.0,0.0,"Booth township, Palo Alto County, Iowa",147,90309,19
0.0,0.0,0.0,"Nevada township, Palo Alto County, Iowa",147,93060,19
0.0,0.0,0.0,"Ellington township, Palo Alto County, Iowa",147,91203,19
0.0,0.0,0.0,"Fern Valley township, Palo Alto County, Iowa",147,91335,19
0.0,0.0,0.0,"Independence township, Palo Alto County, Iowa",147,92025,19
0.0,0.0,0.0,"Deerfield township, Chickasaw County, Iowa",037,90942,19
0.0,0.0,0.0,"Fredericksburg township, Chickasaw County, Iowa",037,91437,19
0.0,0.0,0.0,"Dayton township, Chickasaw County, Iowa",037,90909,19
0.0,0.0,0.0,"Richland township, Chickasaw County, Iowa",037,93576,19
0.0,0.0,0.0,"Stapleton township, Chickasaw County, Iowa",037,94008,19
0.0,0.0,0.0,"Chickasaw township, Chickasaw County, Iowa",037,90663,19
0.0,0.0,0.0,"Jacksonville township, Chickasaw County, Iowa",037,92184,19
15.0,0.0,15.0,"Dresden township, Chickasaw County, Iowa",037,91083,19
6.0,6.0,0.0,"Washington township, Chickasaw County, Iowa",037,94473,19
0.0,0.0,0.0,"New Hampton township, Chickasaw County, Iowa",037,93081,19
0.0,0.0,0.0,"Utica township, Chickasaw County, Iowa",037,94299,19
0.0,0.0,0.0,"Bradford township, Chickasaw County, Iowa",037,90324,19
0.0,0.0,0.0,"Ward township, Clarke County, Iowa",039,94422,19
0.0,0.0,0.0,"Osceola township, Clarke County, Iowa",039,93213,19
0.0,0.0,0.0,"Knox township, Clarke County, Iowa",039,92322,19
0.0,0.0,0.0,"Liberty township, Clarke County, Iowa",039,92445,19
0.0,0.0,0.0,"Doyle township, Clarke County, Iowa",039,91077,19
0.0,0.0,0.0,"Franklin township, Clarke County, Iowa",039,91395,19
0.0,0.0,0.0,"Washington township, Clarke County, Iowa",039,94476,19
6.0,6.0,0.0,"Troy township, Clarke County, Iowa",039,94134,19
0.0,0.0,0.0,"Osceola city, Clarke County, Iowa",039,93212,19
0.0,0.0,0.0,"Fremont township, Clarke County, Iowa",039,91470,19
0.0,0.0,0.0,"Green Bay township, Clarke County, Iowa",039,91740,19
0.0,0.0,0.0,"Madison township, Clarke County, Iowa",039,92757,19
0.0,0.0,0.0,"Jackson township, Clarke County, Iowa",039,92106,19
0.0,0.0,0.0,"Cleveland township, Davis County, Iowa",051,90732,19
0.0,0.0,0.0,"Union township, Davis County, Iowa",051,94197,19
0.0,0.0,0.0,"Fabius township, Davis County, Iowa",051,91263,19
0.0,0.0,0.0,"Salt Creek township, Davis County, Iowa",051,93747,19
0.0,0.0,0.0,"Soap Creek township, Davis County, Iowa",051,93933,19
0.0,0.0,0.0,"West Grove township, Davis County, Iowa",051,94677,19
0.0,0.0,0.0,"Grove township, Davis County, Iowa",051,91782,19
0.0,0.0,0.0,"Wyacondah township, Davis County, Iowa",051,94791,19
0.0,0.0,0.0,"Fox River township, Davis County, Iowa",051,91377,19
0.0,0.0,0.0,"Roscoe township, Davis County, Iowa",051,93693,19
0.0,0.0,0.0,"Perry township, Davis County, Iowa",051,93297,19
0.0,0.0,0.0,"Prairie township, Davis County, Iowa",051,93480,19
0.0,0.0,0.0,"Bloomfield city, Davis County, Iowa",051,90268,19
0.0,0.0,0.0,"Lick Creek township, Davis County, Iowa",051,92502,19
0.0,0.0,0.0,"Diamond Lake township, Dickinson County, Iowa",059,90999,19
0.0,0.0,0.0,"Drakesville township, Davis County, Iowa",051,91080,19
0.0,0.0,0.0,"Marion township, Davis County, Iowa",051,92844,19
0.0,0.0,0.0,"Milford township, Dickinson County, Iowa",059,92931,19
0.0,0.0,0.0,"Okoboji township, Dickinson County, Iowa",059,93168,19
0.0,0.0,0.0,"Lakeville township, Dickinson County, Iowa",059,92379,19
50.0,5.0,45.0,"Center Grove township, Dickinson County, Iowa",059,90639,19
0.0,0.0,0.0,"Spirit Lake township, Dickinson County, Iowa",059,93960,19
0.0,0.0,0.0,"Superior township, Dickinson County, Iowa",059,94062,19
0.0,0.0,0.0,"Silver Lake township, Dickinson County, Iowa",059,93903,19
0.0,0.0,0.0,"Westport township, Dickinson County, Iowa",059,94698,19
0.0,0.0,0.0,"Lloyd township, Dickinson County, Iowa",059,92673,19
0.0,0.0,0.0,"Richland township, Dickinson County, Iowa",059,93585,19
0.0,0.0,0.0,"Excelsior township, Dickinson County, Iowa",059,91257,19
0.0,0.0,0.0,"Blaine township, Ida County, Iowa",093,90258,19
0.0,0.0,0.0,"Corwin township, Ida County, Iowa",093,90837,19
0.0,0.0,0.0,"Griggs township, Ida County, Iowa",093,91770,19
0.0,0.0,0.0,"Battle township, Ida County, Iowa",093,90138,19
0.0,0.0,0.0,"Douglas township, Ida County, Iowa",093,91041,19
0.0,0.0,0.0,"Logan township, Ida County, Iowa",093,92694,19
0.0,0.0,0.0,"Grant township, Ida County, Iowa",093,91665,19
0.0,0.0,0.0,"Maple township, Ida County, Iowa",093,92814,19
2.0,2.0,0.0,"Galva township, Ida County, Iowa",093,91500,19
0.0,0.0,0.0,"Garfield township, Ida County, Iowa",093,91518,19
0.0,0.0,0.0,"Hayes township, Ida County, Iowa",093,91893,19
0.0,0.0,0.0,"Silver Creek township, Ida County, Iowa",093,93894,19
0.0,0.0,0.0,"Jefferson township, Johnson County, Iowa",103,92229,19
0.0,0.0,0.0,"Cedar township, Johnson County, Iowa",103,90543,19
200.0,26.0,174.0,"Clear Creek township, Johnson County, Iowa",103,90714,19
0.0,0.0,0.0,"Crystal township, Tama County, Iowa",171,90864,19
0.0,0.0,0.0,"Clark township, Tama County, Iowa",171,90669,19
0.0,0.0,0.0,"York township, Tama County, Iowa",171,94812,19
0.0,0.0,0.0,"Carlton township, Tama County, Iowa",171,90474,19
0.0,0.0,0.0,"Howard township, Tama County, Iowa",171,91995,19
0.0,0.0,0.0,"Otter Creek township, Tama County, Iowa",171,93243,19
7.0,0.0,7.0,"Spring Creek township, Tama County, Iowa",171,93972,19
0.0,0.0,0.0,"Richland township, Tama County, Iowa",171,93618,19
0.0,0.0,0.0,"Geneseo township, Tama County, Iowa",171,91554,19
18.0,6.0,12.0,"Tama township, Tama County, Iowa",171,94083,19
0.0,0.0,0.0,"Washington township, Wapello County, Iowa",179,94575,19
0.0,0.0,0.0,"Pleasant township, Wapello County, Iowa",179,93381,19
0.0,0.0,0.0,"Agency township, Wapello County, Iowa",179,90027,19
0.0,0.0,0.0,"Garden township, Boone County, Iowa",015,91503,19
0.0,0.0,0.0,"Peoples township, Boone County, Iowa",015,93291,19
0.0,0.0,0.0,"Harrison township, Boone County, Iowa",015,91860,19
0.0,0.0,0.0,"Amaqua township, Boone County, Iowa",015,90057,19
0.0,0.0,0.0,"Douglas township, Boone County, Iowa",015,91029,19
0.0,0.0,0.0,"Grant township, Boone County, Iowa",015,91629,19
0.0,0.0,0.0,"Jackson township, Boone County, Iowa",015,92094,19
0.0,0.0,0.0,"Fairfield township, Palo Alto County, Iowa",147,91287,19
0.0,0.0,0.0,"Lost Island township, Palo Alto County, Iowa",147,92718,19
0.0,0.0,0.0,"Great Oak township, Palo Alto County, Iowa",147,91725,19
0.0,0.0,0.0,"Silver Lake township, Palo Alto County, Iowa",147,93906,19
31.0,0.0,31.0,"Emmetsburg township, Palo Alto County, Iowa",147,91224,19
0.0,0.0,0.0,"Goshen township, Muscatine County, Iowa",139,91590,19
0.0,0.0,0.0,"Wapsinonoc township, Muscatine County, Iowa",139,94419,19
301.0,27.0,274.0,"Bloomington township, Muscatine County, Iowa",139,90279,19
0.0,0.0,0.0,"Montpelier township, Muscatine County, Iowa",139,92997,19
0.0,0.0,0.0,"Seventy-Six township, Muscatine County, Iowa",139,93816,19
0.0,0.0,0.0,"Sweetland township, Muscatine County, Iowa",139,94074,19
0.0,0.0,0.0,"Pike township, Muscatine County, Iowa",139,93318,19
3.0,0.0,3.0,"Wilton township, Muscatine County, Iowa",139,94758,19
0.0,0.0,0.0,"Lake township, Muscatine County, Iowa",139,92358,19
0.0,0.0,0.0,"Fulton township, Muscatine County, Iowa",139,91494,19
0.0,0.0,0.0,"Cedar township, Muscatine County, Iowa",139,90561,19
0.0,0.0,0.0,"Baker township, Osceola County, Iowa",143,90111,19
0.0,0.0,0.0,"Fairview township, Osceola County, Iowa",143,91302,19
9.0,0.0,9.0,"Gilman township, Osceola County, Iowa",143,91572,19
0.0,0.0,0.0,"Harrison township, Osceola County, Iowa",143,91875,19
0.0,0.0,0.0,"Horton township, Osceola County, Iowa",143,91986,19
0.0,0.0,0.0,"Ocheyedan township, Osceola County, Iowa",143,93162,19
0.0,0.0,0.0,"Goewey township, Osceola County, Iowa",143,91584,19
0.0,0.0,0.0,"Allison township, Osceola County, Iowa",143,90054,19
0.0,0.0,0.0,"Wilson township, Osceola County, Iowa",143,94755,19
0.0,0.0,0.0,"Viola township, Osceola County, Iowa",143,94365,19
180.0,91.0,89.0,"Delaware township, Polk County, Iowa",153,90951,19
13.0,13.0,0.0,"Jefferson township, Polk County, Iowa",153,92247,19
0.0,0.0,0.0,"Douglas township, Polk County, Iowa",153,91056,19
2592.0,763.0,1829.0,"Lee township, Polk County, Iowa",153,92409,19
0.0,0.0,0.0,"Union township, Polk County, Iowa",153,94257,19
20.0,20.0,0.0,"Saylor township, Polk County, Iowa",153,93759,19
714.0,249.0,465.0,"Webster township, Polk County, Iowa",153,94629,19
4692.0,1514.0,3178.0,"Des Moines township, Polk County, Iowa",153,90987,19
575.0,223.0,352.0,"Bloomfield township, Polk County, Iowa",153,90270,19
0.0,0.0,0.0,"Camp township, Polk County, Iowa",153,90456,19
141.0,15.0,126.0,"Four Mile township, Polk County, Iowa",153,91371,19
8.0,8.0,0.0,"Beaver township, Polk County, Iowa",153,90168,19
101.0,101.0,0.0,"Allen township, Polk County, Iowa",153,90042,19
76.0,45.0,31.0,"Clay township, Polk County, Iowa",153,90690,19
214.0,16.0,198.0,"Crocker township, Polk County, Iowa",153,90858,19
3.0,0.0,3.0,"Elkhart township, Polk County, Iowa",153,91185,19
0.0,0.0,0.0,"Jackson township, Shelby County, Iowa",165,92160,19
0.0,0.0,0.0,"Jefferson township, Shelby County, Iowa",165,92256,19
18.0,0.0,18.0,"Freedom township, Palo Alto County, Iowa",147,91449,19
0.0,0.0,0.0,"Center township, Shelby County, Iowa",165,90627,19
0.0,0.0,0.0,"Polk township, Shelby County, Iowa",165,93447,19
0.0,0.0,0.0,"Shelby township, Shelby County, Iowa",165,93834,19
0.0,0.0,0.0,"Union township, Shelby County, Iowa",165,94266,19
0.0,0.0,0.0,"Yell township, Boone County, Iowa",015,94797,19
0.0,0.0,0.0,"Union township, Boone County, Iowa",015,94176,19
49.0,49.0,0.0,"Des Moines township, Boone County, Iowa",015,90969,19
0.0,0.0,0.0,"Lincoln township, Shelby County, Iowa",165,92610,19
0.0,0.0,0.0,"Monroe township, Shelby County, Iowa",165,92991,19
0.0,0.0,0.0,"Washington township, Shelby County, Iowa",165,94560,19
0.0,0.0,0.0,"Douglas township, Shelby County, Iowa",165,91062,19
0.0,0.0,0.0,"Fairview township, Shelby County, Iowa",165,91305,19
0.0,0.0,0.0,"Greeley township, Shelby County, Iowa",165,91731,19
30.0,15.0,15.0,"Harlan city, Shelby County, Iowa",165,91849,19
0.0,0.0,0.0,"Cass township, Shelby County, Iowa",165,90513,19
0.0,0.0,0.0,"Westphalia township, Shelby County, Iowa",165,94689,19
0.0,0.0,0.0,"Clay township, Shelby County, Iowa",165,90693,19
0.0,0.0,0.0,"Grove township, Shelby County, Iowa",165,91791,19
0.0,0.0,0.0,"Washington township, Appanoose County, Iowa",007,94449,19
0.0,0.0,0.0,"Caldwell township, Appanoose County, Iowa",007,90435,19
0.0,0.0,0.0,"Sharon township, Appanoose County, Iowa",007,93822,19
0.0,0.0,0.0,"Wells township, Appanoose County, Iowa",007,94638,19
0.0,0.0,0.0,"Chariton township, Appanoose County, Iowa",007,90642,19
0.0,0.0,0.0,"Taylor township, Appanoose County, Iowa",007,94092,19
0.0,0.0,0.0,"Bellair township, Appanoose County, Iowa",007,90177,19
0.0,0.0,0.0,"Johns township, Appanoose County, Iowa",007,92271,19
38.0,32.0,6.0,"Centerville city, Appanoose County, Iowa",007,90640,19
0.0,0.0,0.0,"Franklin township, Appanoose County, Iowa",007,91386,19
0.0,0.0,0.0,"Pleasant township, Appanoose County, Iowa",007,93357,19
0.0,0.0,0.0,"Union township, Appanoose County, Iowa",007,94167,19
0.0,0.0,0.0,"Vermillion township, Appanoose County, Iowa",007,94329,19
0.0,0.0,0.0,"Independence township, Appanoose County, Iowa",007,92016,19
0.0,0.0,0.0,"Udell township, Appanoose County, Iowa",007,94155,19
0.0,0.0,0.0,"Lincoln township, Appanoose County, Iowa",007,92520,19
0.0,0.0,0.0,"Walnut township, Appanoose County, Iowa",007,94392,19
0.0,0.0,0.0,"Douglas township, Appanoose County, Iowa",007,91023,19
0.0,0.0,0.0,"Baltimore township, Henry County, Iowa",087,90114,19
0.0,0.0,0.0,"Franklin township, Polk County, Iowa",153,91425,19
0.0,0.0,0.0,"Lincoln township, Polk County, Iowa",153,92595,19
0.0,0.0,0.0,"Madison township, Polk County, Iowa",153,92781,19
0.0,0.0,0.0,"Saylorville Reservoir UT, Polk County, Iowa",153,93762,19
0.0,0.0,0.0,"Washington township, Polk County, Iowa",153,94548,19
1118.0,150.0,968.0,"Walnut township, Polk County, Iowa",153,94410,19
16.0,0.0,16.0,"Deer Creek township, Webster County, Iowa",187,90936,19
0.0,0.0,0.0,"Colfax township, Webster County, Iowa",187,90771,19
0.0,0.0,0.0,"Cooper township, Webster County, Iowa",187,90831,19
5.0,0.0,5.0,"Gowrie township, Webster County, Iowa",187,91596,19
