B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
357.0,122.0,21.0,0.0,0.0,59.0,33.0,31.0,51.0,0.0,30.0,4.0,0.0,0.0,6.0,0.0,0.0,"Coeur d'Alene CCD, Kootenai County, Idaho",055,90621,16
127.0,0.0,0.0,13.0,0.0,0.0,73.0,7.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,0.0,0.0,"Post Falls-Rathdrum CCD, Kootenai County, Idaho",055,92875,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Worley CCD, Kootenai County, Idaho",055,93887,16
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"Harrison CCD, Kootenai County, Idaho",055,91426,16
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Spirit Lake-Athol CCD, Kootenai County, Idaho",055,93312,16
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Craigmont CCD, Lewis County, Idaho",061,90690,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Winchester CCD, Lewis County, Idaho",061,93864,16
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kamiah CCD, Lewis County, Idaho",061,91771,16
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Paul CCD, Minidoka County, Idaho",067,92760,16
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,"Rupert CCD, Minidoka County, Idaho",067,93105,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Minidoka CCD, Minidoka County, Idaho",067,92162,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Heyburn CCD, Minidoka County, Idaho",067,91449,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hollister CCD, Twin Falls County, Idaho",083,91495,16
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,"Buhl CCD, Twin Falls County, Idaho",083,90437,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Murtaugh CCD, Twin Falls County, Idaho",083,92415,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Salmon Falls CCD, Twin Falls County, Idaho",083,93818,16
4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kimberly CCD, Twin Falls County, Idaho",083,91840,16
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,"Filer CCD, Twin Falls County, Idaho",083,90989,16
347.0,35.0,24.0,13.0,24.0,0.0,32.0,59.0,6.0,0.0,16.0,40.0,0.0,93.0,0.0,5.0,0.0,"Twin Falls CCD, Twin Falls County, Idaho",083,93565,16
5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Murphy CCD, Owyhee County, Idaho",073,92369,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Carey CCD, Blaine County, Idaho",013,90529,16
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Grand View CCD, Owyhee County, Idaho",073,91311,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Marsing CCD, Owyhee County, Idaho",073,92070,16
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Homedale CCD, Owyhee County, Idaho",073,91518,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bruneau CCD, Owyhee County, Idaho",073,90414,16
62.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"Ketchum CCD, Blaine County, Idaho",013,91817,16
34.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,"Hailey-Bellevue CCD, Blaine County, Idaho",013,91380,16
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,"Idaho City CCD, Boise County, Idaho",015,91633,16
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,"Horseshoe Bend CCD, Boise County, Idaho",015,91541,16
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Garden Valley CCD, Boise County, Idaho",015,91173,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bonners Ferry CCD, Boundary County, Idaho",021,90391,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Moyie Springs CCD, Boundary County, Idaho",021,92323,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Howe CCD, Butte County, Idaho",023,91564,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Arco CCD, Butte County, Idaho",023,90138,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fort Hall CCD, Caribou County, Idaho",029,91104,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soda Springs CCD, Caribou County, Idaho",029,93266,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bancroft CCD, Caribou County, Idaho",029,90253,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Grace CCD, Caribou County, Idaho",029,91288,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wayan CCD, Caribou County, Idaho",029,93657,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bliss CCD, Gooding County, Idaho",047,90322,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wendell CCD, Gooding County, Idaho",047,93726,16
29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gooding CCD, Gooding County, Idaho",047,91265,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hagerman CCD, Gooding County, Idaho",047,91357,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kuna CCD, Ada County, Idaho",001,91863,16
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14.0,"Boise Hills CCD, Ada County, Idaho",001,90368,16
114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,57.0,0.0,13.0,0.0,24.0,"Eagle CCD, Ada County, Idaho",001,90805,16
3005.0,379.0,81.0,141.0,86.0,93.0,70.0,82.0,102.0,66.0,139.0,408.0,524.0,327.0,96.0,205.0,206.0,"Boise City CCD, Ada County, Idaho",001,90345,16
347.0,33.0,0.0,7.0,0.0,0.0,11.0,0.0,10.0,13.0,20.0,0.0,50.0,47.0,48.0,43.0,65.0,"Orchard CCD, Ada County, Idaho",001,92668,16
9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"South Bannock CCD, Bannock County, Idaho",005,93289,16
6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fort Hall CCD, Bannock County, Idaho",005,91058,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Inkom CCD, Bannock County, Idaho",005,91702,16
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,"Shelley CCD, Bingham County, Idaho",011,93220,16
6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Paris CCD, Bear Lake County, Idaho",007,92691,16
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,"Montpelier CCD, Bear Lake County, Idaho",007,92208,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Moreland CCD, Bingham County, Idaho",011,92254,16
391.0,56.0,34.0,74.0,20.0,0.0,0.0,14.0,12.0,0.0,78.0,13.0,33.0,46.0,11.0,0.0,0.0,"Pocatello CCD, Bannock County, Idaho",005,92852,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Georgetown CCD, Bear Lake County, Idaho",007,91219,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aberdeen CCD, Bingham County, Idaho",011,90023,16
76.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,36.0,"Blackfoot CCD, Bingham County, Idaho",011,90276,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Atomic City CCD, Bingham County, Idaho",011,90207,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Alridge CCD, Bingham County, Idaho",011,90069,16
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fort Hall CCD, Bingham County, Idaho",011,91081,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Firth CCD, Bingham County, Idaho",011,91012,16
369.0,9.0,6.0,0.0,20.0,12.0,4.0,10.0,6.0,26.0,112.0,19.0,56.0,35.0,25.0,17.0,12.0,"Idaho Falls CCD, Bonneville County, Idaho",019,91656,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Swan Valley CCD, Bonneville County, Idaho",019,93404,16
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ucon CCD, Bonneville County, Idaho",019,93588,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Idaho Falls West CCD, Bonneville County, Idaho",019,91679,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Camas CCD, Camas County, Idaho",025,93749,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"East Camas CCD, Camas County, Idaho",025,90828,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Huston CCD, Canyon County, Idaho",027,91610,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Melba CCD, Canyon County, Idaho",027,92093,16
118.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,"Middleton CCD, Canyon County, Idaho",027,92116,16
58.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,"Caldwell CCD, Canyon County, Idaho",027,90483,16
381.0,0.0,54.0,0.0,15.0,0.0,31.0,0.0,96.0,0.0,9.0,75.0,101.0,0.0,0.0,0.0,0.0,"Nampa CCD, Canyon County, Idaho",027,92438,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wilder CCD, Canyon County, Idaho",027,93841,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Notus CCD, Canyon County, Idaho",027,92622,16
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"Parma CCD, Canyon County, Idaho",027,92714,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pierce-Headquarters CCD, Clearwater County, Idaho",035,92806,16
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nez Perce CCD, Clearwater County, Idaho",035,92530,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Elk River CCD, Clearwater County, Idaho",035,90920,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Weippe CCD, Clearwater County, Idaho",035,93680,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rigby CCD, Jefferson County, Idaho",051,92990,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ririe CCD, Jefferson County, Idaho",051,93036,16
