B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
1884.0,1540.0,344.0,"Durango Southwest CCD, La Plata County, Colorado",067,91102,08
77.0,52.0,25.0,"Maybell-Powder Wash CCD, Moffat County, Colorado",081,92432,08
4186.0,2984.0,1202.0,"Craig CCD, Moffat County, Colorado",081,90855,08
3880.0,2596.0,1284.0,"Aspen CCD, Pitkin County, Colorado",097,90171,08
2827.0,1906.0,921.0,"Snowmass Village CCD, Pitkin County, Colorado",097,93344,08
1074.0,722.0,352.0,"Monte Vista CCD, Rio Grande County, Colorado",105,92527,08
457.0,350.0,107.0,"Cheyenne Wells CCD, Cheyenne County, Colorado",017,90646,08
336.0,273.0,63.0,"Sargent CCD, Rio Grande County, Colorado",105,93230,08
1250.0,952.0,298.0,"Del Norte CCD, Rio Grande County, Colorado",105,90969,08
197.0,149.0,48.0,"Kit Carson CCD, Cheyenne County, Colorado",017,92014,08
911.0,565.0,346.0,"Las Animas CCD, Bent County, Colorado",011,92185,08
308.0,205.0,103.0,"McClave CCD, Bent County, Colorado",011,92356,08
760.0,613.0,147.0,"Ordway CCD, Crowley County, Colorado",025,92755,08
123.0,104.0,19.0,"Sugar City CCD, Crowley County, Colorado",025,93553,08
109.0,62.0,47.0,"Rico CCD, Dolores County, Colorado",033,93078,08
561.0,487.0,74.0,"Dove Creek CCD, Dolores County, Colorado",033,91064,08
213.0,138.0,75.0,"Silverton CCD, San Juan County, Colorado",111,93306,08
506.0,376.0,130.0,"Walden CCD, Jackson County, Colorado",057,93724,08
1751.0,1498.0,253.0,"Livermore CCD, Larimer County, Colorado",069,92299,08
7292.0,6485.0,807.0,"Timnath-Wellington CCD, Larimer County, Colorado",069,93610,08
4730.0,3942.0,788.0,"Berthoud CCD, Larimer County, Colorado",069,90285,08
38565.0,27625.0,10940.0,"Loveland CCD, Larimer County, Colorado",069,92337,08
5197.0,3782.0,1415.0,"Estes Park CCD, Larimer County, Colorado",069,91235,08
57581.0,33333.0,24248.0,"Fort Collins CCD, Larimer County, Colorado",069,91330,08
208.0,159.0,49.0,"Crook CCD, Logan County, Colorado",075,90931,08
325.0,195.0,130.0,"Merino CCD, Logan County, Colorado",075,92470,08
619.0,496.0,123.0,"Fleming CCD, Logan County, Colorado",075,91292,08
161.0,138.0,23.0,"Peetz CCD, Logan County, Colorado",075,92869,08
5615.0,3497.0,2118.0,"Sterling CCD, Logan County, Colorado",075,93515,08
1333.0,969.0,364.0,"Mancos CCD, Montezuma County, Colorado",083,92394,08
47.0,33.0,14.0,"Ute Mountain CCD, Montezuma County, Colorado",083,93705,08
5612.0,4152.0,1460.0,"Cortez CCD, Montezuma County, Colorado",083,90817,08
1239.0,943.0,296.0,"Dolores CCD, Montezuma County, Colorado",083,91045,08
215.0,193.0,22.0,"Pleasant View CCD, Montezuma County, Colorado",083,92945,08
602.0,444.0,158.0,"Norwood CCD, San Miguel County, Colorado",113,92679,08
2253.0,1373.0,880.0,"Telluride CCD, San Miguel County, Colorado",113,93591,08
1195.0,921.0,274.0,"Cripple Creek CCD, Teller County, Colorado",119,90912,08
8135.0,6768.0,1367.0,"Divide CCD, Teller County, Colorado",119,91026,08
429.0,342.0,87.0,"Upper St. Vrain CCD, Boulder County, Colorado",013,93686,08
43648.0,24239.0,19409.0,"Boulder CCD, Boulder County, Colorado",013,90342,08
31588.0,22613.0,8975.0,"Longmont CCD, Boulder County, Colorado",013,92318,08
23856.0,17540.0,6316.0,"Lafayette-Louisville CCD, Boulder County, Colorado",013,92052,08
4886.0,3839.0,1047.0,"Bald Mountain CCD, Boulder County, Colorado",013,90228,08
4344.0,3253.0,1091.0,"Pagosa Springs CCD, Archuleta County, Colorado",007,92812,08
251.0,225.0,26.0,"Arboles CCD, Archuleta County, Colorado",007,90114,08
879.0,593.0,286.0,"Holyoke CCD, Phillips County, Colorado",095,91767,08
519.0,399.0,120.0,"Haxtun CCD, Phillips County, Colorado",095,91710,08
185617.0,102921.0,82696.0,"Denver CCD, Denver County, Colorado",031,91007,08
43.0,33.0,10.0,"Haswell CCD, Kiowa County, Colorado",061,91691,08
131.0,89.0,42.0,"Sheridan Lake CCD, Kiowa County, Colorado",061,93268,08
392.0,316.0,76.0,"Eads CCD, Kiowa County, Colorado",061,91121,08
707.0,516.0,191.0,"La Veta CCD, Huerfano County, Colorado",055,92204,08
173.0,165.0,8.0,"Gardner CCD, Huerfano County, Colorado",055,91444,08
1338.0,980.0,358.0,"Walsenburg CCD, Huerfano County, Colorado",055,93743,08
105.0,65.0,40.0,"Campo CCD, Baca County, Colorado",009,90475,08
780.0,593.0,187.0,"Springfield CCD, Baca County, Colorado",009,93477,08
420.0,265.0,155.0,"Walsh CCD, Baca County, Colorado",009,93762,08
109.0,90.0,19.0,"Pritchett CCD, Baca County, Colorado",009,92964,08
4028.0,3189.0,839.0,"Salida CCD, Chaffee County, Colorado",015,93173,08
3117.0,2415.0,702.0,"Buena Vista CCD, Chaffee County, Colorado",015,90437,08
2367.0,1979.0,388.0,"Central City CCD, Gilpin County, Colorado",047,90570,08
465.0,368.0,97.0,"Flagler CCD, Kit Carson County, Colorado",063,91273,08
524.0,388.0,136.0,"Stratton CCD, Kit Carson County, Colorado",063,93534,08
1631.0,1128.0,503.0,"Burlington CCD, Kit Carson County, Colorado",063,90456,08
7358.0,5175.0,2183.0,"Glenwood Springs CCD, Garfield County, Colorado",045,91520,08
3533.0,2531.0,1002.0,"Rifle CCD, Garfield County, Colorado",045,93097,08
3214.0,2515.0,699.0,"New Castle CCD, Garfield County, Colorado",045,92603,08
118.0,110.0,8.0,"Sapinero CCD, Gunnison County, Colorado",051,93211,08
203.0,160.0,43.0,"Somerset CCD, Gunnison County, Colorado",051,93363,08
3783.0,2204.0,1579.0,"Gunnison CCD, Gunnison County, Colorado",051,91672,08
1825.0,1201.0,624.0,"Crested Butte CCD, Gunnison County, Colorado",051,90893,08
13234.0,9813.0,3421.0,"Golden CCD, Jefferson County, Colorado",059,91539,08
158684.0,115705.0,42979.0,"Northeast Jefferson CCD, Jefferson County, Colorado",059,92641,08
9206.0,8640.0,566.0,"South Jefferson CCD, Jefferson County, Colorado",059,93439,08
9351.0,7920.0,1431.0,"Central Jefferson CCD, Jefferson County, Colorado",059,90589,08
361.0,337.0,24.0,"Creede CCD, Mineral County, Colorado",079,90874,08
