B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Samantha CCD, Tuscaloosa County, Alabama",125,92826,01
0.0,0.0,0.0,"Millry CCD, Washington County, Alabama",129,92160,01
20.0,0.0,20.0,"Chatom CCD, Washington County, Alabama",129,90549,01
0.0,0.0,0.0,"Fruitdale CCD, Washington County, Alabama",129,91242,01
0.0,0.0,0.0,"Wagarville CCD, Washington County, Alabama",129,93357,01
0.0,0.0,0.0,"McIntosh CCD, Washington County, Alabama",129,92043,01
69.0,37.0,32.0,"Ashland CCD, Clay County, Alabama",027,90126,01
0.0,0.0,0.0,"Millerville-Hollins CCD, Clay County, Alabama",027,92142,01
46.0,7.0,39.0,"Lineville CCD, Clay County, Alabama",027,91899,01
0.0,0.0,0.0,"Victoria CCD, Coffee County, Alabama",031,93303,01
26.0,0.0,26.0,"Elba CCD, Coffee County, Alabama",031,90954,01
0.0,0.0,0.0,"Kinston CCD, Coffee County, Alabama",031,91800,01
27.0,19.0,8.0,"Goodman CCD, Coffee County, Alabama",031,91341,01
4.0,0.0,4.0,"Jack CCD, Coffee County, Alabama",031,91719,01
879.0,378.0,501.0,"Enterprise CCD, Coffee County, Alabama",031,90999,01
73.0,59.0,14.0,"Somerville CCD, Morgan County, Alabama",103,92970,01
2030.0,873.0,1157.0,"Decatur CCD, Morgan County, Alabama",103,90864,01
39.0,0.0,39.0,"Eva CCD, Morgan County, Alabama",103,91035,01
108.0,46.0,62.0,"Laceys Spring CCD, Morgan County, Alabama",103,91809,01
15.0,1.0,14.0,"Henderson-Spring Hill CCD, Pike County, Alabama",109,91620,01
78.0,55.0,23.0,"Hartselle CCD, Morgan County, Alabama",103,91539,01
36.0,2.0,34.0,"Falkville CCD, Morgan County, Alabama",103,91071,01
55.0,15.0,40.0,"Danville CCD, Morgan County, Alabama",103,90837,01
10.0,0.0,10.0,"Brundidge CCD, Pike County, Alabama",109,90432,01
0.0,0.0,0.0,"Needmore CCD, Pike County, Alabama",109,92340,01
14.0,14.0,0.0,"Goshen-Shady Grove CCD, Pike County, Alabama",109,91377,01
47.0,8.0,39.0,"Troy CCD, Pike County, Alabama",109,93195,01
272.0,152.0,120.0,"Clanton CCD, Chilton County, Alabama",021,90603,01
64.0,44.0,20.0,"Mineral Springs CCD, Chilton County, Alabama",021,92178,01
67.0,14.0,53.0,"Isabella-Pletcher CCD, Chilton County, Alabama",021,91710,01
10.0,10.0,0.0,"Maplesville CCD, Chilton County, Alabama",021,92097,01
90.0,0.0,90.0,"Verbena CCD, Chilton County, Alabama",021,93285,01
570.0,282.0,288.0,"Jemison CCD, Chilton County, Alabama",021,91764,01
14.0,14.0,0.0,"Leighton CCD, Colbert County, Alabama",033,91863,01
181.0,70.0,111.0,"Tri-Cities CCD, Colbert County, Alabama",033,93186,01
27.0,8.0,19.0,"Cherokee CCD, Colbert County, Alabama",033,90567,01
34.0,3.0,31.0,"Littleville CCD, Colbert County, Alabama",033,91926,01
