B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
1093.0,81.0,30.0,113.0,91.0,39.0,72.0,91.0,10.0,49.0,17.0,81.0,165.0,152.0,50.0,45.0,7.0,"Lake George CCD, Park County, Colorado",093,92128,08
350.0,28.0,20.0,7.0,19.0,16.0,33.0,13.0,26.0,0.0,24.0,11.0,31.0,67.0,10.0,0.0,45.0,"Center CCD, Saguache County, Colorado",109,90551,08
78.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cochetopa CCD, Saguache County, Colorado",109,90684,08
1353.0,170.0,125.0,121.0,110.0,99.0,81.0,35.0,118.0,46.0,111.0,82.0,110.0,60.0,44.0,18.0,23.0,"Saguache CCD, Saguache County, Colorado",109,93135,08
8329.0,376.0,285.0,589.0,287.0,388.0,406.0,392.0,296.0,366.0,626.0,1126.0,981.0,714.0,642.0,467.0,388.0,"Fruita CCD, Mesa County, Colorado",077,91425,08
9604.0,873.0,600.0,551.0,843.0,279.0,575.0,597.0,428.0,330.0,863.0,924.0,1170.0,572.0,341.0,437.0,221.0,"Clifton CCD, Mesa County, Colorado",077,90665,08
30392.0,2338.0,1465.0,1743.0,1825.0,1382.0,1584.0,1313.0,1456.0,1451.0,2837.0,3187.0,3976.0,2766.0,1087.0,1078.0,904.0,"Grand Junction CCD, Mesa County, Colorado",077,91596,08
301.0,16.0,12.0,19.0,18.0,5.0,12.0,36.0,9.0,17.0,13.0,33.0,31.0,51.0,10.0,11.0,8.0,"De Beque CCD, Mesa County, Colorado",077,90950,08
776.0,20.0,14.0,88.0,25.0,24.0,27.0,15.0,28.0,42.0,43.0,124.0,104.0,102.0,41.0,43.0,36.0,"Collbran CCD, Mesa County, Colorado",077,90703,08
1008.0,0.0,11.0,11.0,37.0,0.0,42.0,51.0,32.0,29.0,44.0,213.0,201.0,136.0,41.0,87.0,73.0,"Glade Park-Gateway CCD, Mesa County, Colorado",077,91501,08
135.0,13.0,0.0,12.0,11.0,4.0,8.0,7.0,8.0,0.0,10.0,13.0,33.0,13.0,2.0,1.0,0.0,"Granada CCD, Prowers County, Colorado",099,91558,08
2814.0,291.0,134.0,69.0,222.0,97.0,173.0,223.0,98.0,151.0,294.0,195.0,336.0,255.0,173.0,79.0,24.0,"Lamar CCD, Prowers County, Colorado",099,92147,08
87.0,3.0,5.0,8.0,8.0,0.0,19.0,2.0,0.0,0.0,9.0,0.0,9.0,0.0,12.0,0.0,12.0,"Two Butte Creek CCD, Prowers County, Colorado",099,93667,08
17740.0,622.0,453.0,449.0,838.0,563.0,1002.0,1061.0,563.0,1082.0,2071.0,2746.0,2822.0,1630.0,1012.0,516.0,310.0,"Fountain CCD, El Paso County, Colorado",041,91387,08
331.0,19.0,30.0,41.0,13.0,13.0,12.0,16.0,30.0,18.0,18.0,47.0,46.0,12.0,10.0,0.0,6.0,"Holly CCD, Prowers County, Colorado",099,91748,08
351.0,21.0,7.0,13.0,31.0,24.0,15.0,20.0,20.0,20.0,41.0,40.0,32.0,32.0,16.0,8.0,11.0,"Lake City CCD, Hinsdale County, Colorado",053,92109,08
17723.0,435.0,337.0,339.0,159.0,513.0,575.0,609.0,716.0,735.0,1747.0,2220.0,3011.0,2440.0,1642.0,1704.0,541.0,"Elsmere CCD, El Paso County, Colorado",041,91197,08
1503.0,79.0,34.0,49.0,54.0,77.0,50.0,113.0,71.0,32.0,76.0,145.0,111.0,170.0,115.0,177.0,150.0,"Pikes Peak CCD, El Paso County, Colorado",041,92907,08
3506.0,47.0,84.0,33.0,92.0,18.0,174.0,61.0,85.0,155.0,220.0,434.0,403.0,449.0,200.0,442.0,609.0,"Cheyenne Mountain CCD, El Paso County, Colorado",041,90627,08
215.0,11.0,9.0,17.0,13.0,0.0,13.0,10.0,27.0,11.0,7.0,27.0,29.0,13.0,12.0,4.0,12.0,"Cope CCD, Washington County, Colorado",121,90798,08
4388.0,164.0,123.0,130.0,211.0,129.0,263.0,111.0,197.0,205.0,384.0,689.0,743.0,505.0,197.0,219.0,118.0,"Southeastern El Paso CCD, El Paso County, Colorado",041,93420,08
23035.0,654.0,270.0,445.0,403.0,479.0,326.0,576.0,366.0,511.0,968.0,1539.0,2973.0,3210.0,2782.0,3732.0,3801.0,"Black Forest-Peyton CCD, El Paso County, Colorado",041,90304,08
116913.0,6059.0,4837.0,4929.0,5525.0,5221.0,5986.0,5920.0,5465.0,4873.0,10067.0,12545.0,15724.0,10609.0,6674.0,6733.0,5746.0,"Colorado Springs CCD, El Paso County, Colorado",041,90741,08
5588.0,178.0,218.0,164.0,235.0,399.0,225.0,264.0,251.0,138.0,275.0,531.0,753.0,570.0,501.0,539.0,347.0,"Monument CCD, El Paso County, Colorado",041,92565,08
1078.0,42.0,47.0,101.0,43.0,66.0,72.0,55.0,30.0,58.0,101.0,179.0,115.0,93.0,40.0,26.0,10.0,"Akron CCD, Washington County, Colorado",121,90057,08
420.0,11.0,27.0,30.0,25.0,17.0,33.0,24.0,28.0,14.0,34.0,51.0,48.0,31.0,20.0,13.0,14.0,"Otis CCD, Washington County, Colorado",121,92774,08
4214.0,216.0,77.0,159.0,189.0,186.0,154.0,133.0,314.0,76.0,306.0,539.0,733.0,431.0,197.0,252.0,252.0,"Granby CCD, Grand County, Colorado",049,91577,08
1050.0,65.0,101.0,24.0,78.0,57.0,59.0,29.0,27.0,46.0,75.0,99.0,170.0,83.0,43.0,73.0,21.0,"Kremmling CCD, Grand County, Colorado",049,92033,08
7630.0,172.0,137.0,114.0,67.0,234.0,178.0,246.0,168.0,193.0,375.0,705.0,1001.0,1014.0,1010.0,1146.0,870.0,"East Arapahoe CCD, Arapahoe County, Colorado",005,91178,08
70825.0,2848.0,1786.0,1744.0,2000.0,2274.0,2316.0,2440.0,2545.0,2530.0,4858.0,7213.0,9176.0,7516.0,5218.0,6495.0,9866.0,"Southwest Arapahoe CCD, Arapahoe County, Colorado",005,93458,08
85812.0,2933.0,2464.0,2146.0,2490.0,3055.0,3459.0,3385.0,3844.0,3236.0,6958.0,10340.0,12734.0,10245.0,6421.0,6569.0,5533.0,"South Aurora CCD, Arapahoe County, Colorado",005,93382,08
524.0,55.0,42.0,38.0,37.0,21.0,47.0,25.0,27.0,17.0,51.0,42.0,45.0,32.0,29.0,6.0,10.0,"Fowler CCD, Otero County, Colorado",089,91406,08
995.0,100.0,16.0,6.0,117.0,28.0,73.0,100.0,60.0,40.0,84.0,137.0,72.0,58.0,86.0,18.0,0.0,"Rocky Ford CCD, Otero County, Colorado",089,93116,08
253.0,23.0,47.0,10.0,6.0,18.0,19.0,32.0,10.0,24.0,5.0,29.0,22.0,4.0,4.0,0.0,0.0,"Manzanola CCD, Otero County, Colorado",089,92413,08
611.0,61.0,26.0,39.0,44.0,4.0,47.0,41.0,24.0,34.0,52.0,39.0,78.0,57.0,26.0,11.0,28.0,"Cheraw CCD, Otero County, Colorado",089,90608,08
129.0,0.0,6.0,0.0,30.0,23.0,4.0,3.0,2.0,8.0,25.0,7.0,0.0,11.0,10.0,0.0,0.0,"West Conejos CCD, Conejos County, Colorado",021,93825,08
99.0,4.0,5.0,0.0,13.0,6.0,12.0,9.0,0.0,0.0,4.0,17.0,29.0,0.0,0.0,0.0,0.0,"West San Miguel CCD, San Miguel County, Colorado",113,93844,08
2087.0,282.0,159.0,98.0,161.0,170.0,138.0,113.0,129.0,68.0,176.0,269.0,93.0,122.0,25.0,52.0,32.0,"La Junta CCD, Otero County, Colorado",089,92090,08
47.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,11.0,3.0,0.0,0.0,3.0,"Timpas CCD, Otero County, Colorado",089,93629,08
10014.0,702.0,603.0,733.0,500.0,684.0,625.0,604.0,645.0,665.0,638.0,972.0,1043.0,854.0,354.0,180.0,212.0,"Cañon City CCD, Fremont County, Colorado",043,90494,08
2069.0,84.0,40.0,41.0,127.0,102.0,94.0,99.0,20.0,102.0,197.0,295.0,392.0,220.0,45.0,39.0,172.0,"West Garfield CCD, Garfield County, Colorado",045,93832,08
151.0,8.0,15.0,4.0,9.0,11.0,0.0,4.0,0.0,9.0,10.0,16.0,23.0,17.0,6.0,11.0,8.0,"South Sedgwick CCD, Sedgwick County, Colorado",115,93450,08
202.0,10.0,6.0,5.0,5.0,11.0,20.0,20.0,11.0,16.0,13.0,27.0,17.0,15.0,5.0,11.0,10.0,"Woodlin CCD, Washington County, Colorado",121,93905,08
85.0,1.0,5.0,6.0,0.0,9.0,0.0,1.0,34.0,0.0,0.0,10.0,7.0,3.0,9.0,0.0,0.0,"South Bent CCD, Bent County, Colorado",011,93388,08
284.0,12.0,21.0,4.0,17.0,16.0,5.0,30.0,2.0,7.0,18.0,34.0,33.0,28.0,23.0,27.0,7.0,"Idalia-Joes CCD, Yuma County, Colorado",125,91850,08
1107.0,40.0,17.0,20.0,52.0,173.0,30.0,31.0,0.0,32.0,119.0,89.0,183.0,186.0,57.0,55.0,23.0,"Whitewater-Kannah Creek CCD, Mesa County, Colorado",077,93857,08
21346.0,738.0,358.0,364.0,688.0,650.0,615.0,612.0,752.0,698.0,1509.0,2147.0,3208.0,2511.0,2025.0,1905.0,2566.0,"Broomfield CCD, Broomfield County, Colorado",014,90408,08
824.0,35.0,42.0,26.0,21.0,23.0,29.0,52.0,27.0,23.0,92.0,69.0,156.0,132.0,33.0,30.0,34.0,"Rangely CCD, Rio Blanco County, Colorado",103,93040,08
673.0,55.0,61.0,63.0,38.0,27.0,32.0,14.0,26.0,26.0,96.0,69.0,93.0,37.0,17.0,1.0,18.0,"Julesburg CCD, Sedgwick County, Colorado",115,91900,08
2069.0,80.0,92.0,125.0,63.0,74.0,105.0,93.0,115.0,67.0,184.0,275.0,288.0,234.0,71.0,118.0,85.0,"Ouray CCD, Ouray County, Colorado",091,92793,08
1350.0,61.0,156.0,46.0,79.0,32.0,76.0,50.0,72.0,22.0,120.0,134.0,184.0,143.0,91.0,57.0,27.0,"Meeker CCD, Rio Blanco County, Colorado",103,92451,08
2464.0,155.0,168.0,31.0,107.0,65.0,118.0,103.0,124.0,105.0,172.0,203.0,365.0,194.0,260.0,157.0,137.0,"Fort Lupton CCD, Weld County, Colorado",123,91349,08
9415.0,270.0,20.0,54.0,210.0,238.0,232.0,301.0,247.0,287.0,721.0,839.0,2359.0,1345.0,859.0,853.0,580.0,"Johnstown-Milliken CCD, Weld County, Colorado",123,91881,08
30048.0,1952.0,1279.0,1677.0,1362.0,1281.0,1193.0,1431.0,1220.0,1271.0,2359.0,3433.0,4699.0,2717.0,1692.0,1348.0,1134.0,"Greeley CCD, Weld County, Colorado",123,91634,08
2370.0,125.0,104.0,88.0,101.0,125.0,84.0,70.0,107.0,81.0,196.0,292.0,438.0,221.0,79.0,147.0,112.0,"Ault CCD, Weld County, Colorado",123,90190,08
13342.0,286.0,210.0,240.0,356.0,280.0,389.0,302.0,338.0,448.0,830.0,1315.0,2278.0,2005.0,1526.0,1476.0,1063.0,"Erie-Frederick CCD, Weld County, Colorado",123,91216,08
254.0,23.0,23.0,19.0,16.0,23.0,4.0,7.0,20.0,7.0,6.0,12.0,49.0,35.0,0.0,10.0,0.0,"Grover CCD, Weld County, Colorado",123,91653,08
264.0,25.0,11.0,11.0,10.0,8.0,10.0,15.0,12.0,2.0,24.0,24.0,36.0,25.0,21.0,21.0,9.0,"Raymer CCD, Weld County, Colorado",123,93059,08
3738.0,250.0,91.0,180.0,132.0,77.0,176.0,166.0,115.0,140.0,243.0,459.0,762.0,418.0,127.0,184.0,218.0,"Keenesburg-Hudson CCD, Weld County, Colorado",123,91938,08
1948.0,98.0,11.0,62.0,94.0,63.0,81.0,50.0,53.0,37.0,185.0,233.0,362.0,276.0,146.0,66.0,131.0,"Kersey-Gill CCD, Weld County, Colorado",123,91957,08
1307.0,45.0,79.0,46.0,52.0,55.0,19.0,79.0,26.0,82.0,129.0,145.0,233.0,98.0,58.0,40.0,121.0,"La Salle-Gilcrest CCD, Weld County, Colorado",123,92166,08
1095.0,42.0,9.0,30.0,77.0,65.0,16.0,65.0,14.0,76.0,68.0,138.0,186.0,94.0,58.0,80.0,77.0,"Platteville CCD, Weld County, Colorado",123,92926,08
741.0,17.0,64.0,56.0,44.0,17.0,73.0,15.0,40.0,28.0,75.0,132.0,73.0,34.0,62.0,0.0,11.0,"La Jara CCD, Conejos County, Colorado",021,92071,08
7803.0,177.0,116.0,163.0,193.0,338.0,247.0,188.0,225.0,288.0,577.0,866.0,1435.0,1009.0,745.0,771.0,465.0,"Windsor CCD, Weld County, Colorado",123,93895,08
324.0,18.0,15.0,11.0,4.0,27.0,19.0,25.0,5.0,2.0,51.0,62.0,34.0,22.0,19.0,5.0,5.0,"Manassa CCD, Conejos County, Colorado",021,92375,08
71.0,5.0,2.0,5.0,4.0,22.0,6.0,4.0,0.0,0.0,3.0,2.0,10.0,3.0,0.0,5.0,0.0,"Antonito CCD, Conejos County, Colorado",021,90095,08
1976.0,246.0,103.0,60.0,113.0,160.0,123.0,124.0,134.0,28.0,141.0,297.0,204.0,65.0,78.0,70.0,30.0,"Westcliffe CCD, Custer County, Colorado",027,93819,08
190.0,33.0,6.0,8.0,18.0,20.0,11.0,9.0,11.0,13.0,0.0,2.0,17.0,23.0,0.0,7.0,12.0,"San Luis CCD, Costilla County, Colorado",023,93192,08
356.0,32.0,37.0,6.0,45.0,26.0,12.0,17.0,18.0,8.0,16.0,27.0,29.0,48.0,20.0,2.0,13.0,"Blanca CCD, Costilla County, Colorado",023,90323,08
5103.0,400.0,198.0,207.0,303.0,254.0,185.0,470.0,250.0,316.0,546.0,517.0,697.0,339.0,158.0,153.0,110.0,"North Aurora CCD, Adams County, Colorado",001,92622,08
20568.0,372.0,332.0,421.0,367.0,410.0,404.0,532.0,598.0,650.0,1014.0,2206.0,3371.0,3303.0,2145.0,2459.0,1984.0,"Brighton CCD, Adams County, Colorado",001,90399,08
2941.0,78.0,29.0,74.0,170.0,81.0,66.0,124.0,93.0,140.0,254.0,288.0,593.0,407.0,145.0,264.0,135.0,"East Adams CCD, Adams County, Colorado",001,91159,08
3492.0,381.0,192.0,177.0,202.0,250.0,205.0,230.0,174.0,170.0,364.0,373.0,390.0,161.0,142.0,60.0,21.0,"Commerce City CCD, Adams County, Colorado",001,90760,08
