B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
189.0,140.0,1.0,48.0,0.0,0.0,"Lewistown CCD, Fergus County, Montana",027,92037,30
0.0,0.0,0.0,0.0,0.0,0.0,"Roy CCD, Fergus County, Montana",027,92898,30
21.0,21.0,0.0,0.0,0.0,0.0,"Grass Range CCD, Fergus County, Montana",027,91512,30
7.0,7.0,0.0,0.0,0.0,0.0,"Winifred CCD, Fergus County, Montana",027,93927,30
0.0,0.0,0.0,0.0,0.0,0.0,"North Garfield CCD, Garfield County, Montana",033,92478,30
0.0,0.0,0.0,0.0,0.0,0.0,"Alberton CCD, Mineral County, Montana",061,90042,30
119.0,90.0,18.0,11.0,0.0,0.0,"Frenchtown-Wye CCD, Missoula County, Montana",063,91304,30
1.0,0.0,0.0,0.0,1.0,0.0,"East Carbon CCD, Carbon County, Montana",009,90976,30
2.0,1.0,0.0,0.0,1.0,0.0,"South Garfield CCD, Garfield County, Montana",033,93192,30
20.0,4.0,2.0,0.0,14.0,0.0,"Superior CCD, Mineral County, Montana",061,93444,30
26.0,19.0,0.0,0.0,7.0,0.0,"West End CCD, Mineral County, Montana",061,93759,30
0.0,0.0,0.0,0.0,0.0,0.0,"Winnett North CCD, Petroleum County, Montana",069,93948,30
0.0,0.0,0.0,0.0,0.0,0.0,"Winnett South CCD, Petroleum County, Montana",069,93969,30
9.0,9.0,0.0,0.0,0.0,0.0,"Avon-Elliston CCD, Powell County, Montana",077,90126,30
115.0,89.0,0.0,26.0,0.0,0.0,"Deer Lodge CCD, Powell County, Montana",077,90861,30
18.0,18.0,0.0,0.0,0.0,0.0,"Helmville CCD, Powell County, Montana",077,91743,30
144.0,98.0,46.0,0.0,0.0,0.0,"Thompson Falls-West End CCD, Sanders County, Montana",089,93507,30
96.0,59.0,10.0,27.0,0.0,0.0,"Three Forks CCD, Gallatin County, Montana",031,93528,30
78.0,78.0,0.0,0.0,0.0,0.0,"Plains CCD, Sanders County, Montana",089,92688,30
39.0,39.0,0.0,0.0,0.0,0.0,"Wibaux CCD, Wibaux County, Montana",109,93885,30
100.0,62.0,37.0,0.0,1.0,0.0,"Gallatin Gateway CCD, Gallatin County, Montana",031,91344,30
1773.0,1261.0,146.0,23.0,312.0,31.0,"Bozeman CCD, Gallatin County, Montana",031,90420,30
208.0,93.0,17.0,0.0,95.0,3.0,"Manhattan CCD, Gallatin County, Montana",031,92226,30
