B19013B_001E,name,county,county subdivision,state
-666666666.0,"Precinct 31, Monroe County, Illinois",133,92700,17
-666666666.0,"Precinct 32, Monroe County, Illinois",133,92705,17
-666666666.0,"Precinct 33, Monroe County, Illinois",133,92710,17
-666666666.0,"Precinct 34, Monroe County, Illinois",133,92715,17
-666666666.0,"Precinct 35, Monroe County, Illinois",133,92720,17
-666666666.0,"Precinct 36, Monroe County, Illinois",133,92725,17
-666666666.0,"Precinct 37, Monroe County, Illinois",133,92730,17
-666666666.0,"Precinct 26, Monroe County, Illinois",133,92675,17
-666666666.0,"Fall River township, LaSalle County, Illinois",099,25284,17
-666666666.0,"Hope township, LaSalle County, Illinois",099,36100,17
-666666666.0,"Adams township, LaSalle County, Illinois",099,00204,17
-666666666.0,"Dimmick township, LaSalle County, Illinois",099,19980,17
-666666666.0,"Freedom township, LaSalle County, Illinois",099,27845,17
-666666666.0,"Grand Rapids township, LaSalle County, Illinois",099,30744,17
-666666666.0,"Groveland township, LaSalle County, Illinois",099,31914,17
11058.0,"LaSalle township, LaSalle County, Illinois",099,42197,17
-666666666.0,"Manlius township, LaSalle County, Illinois",099,46448,17
-666666666.0,"Mendota township, LaSalle County, Illinois",099,48346,17
-666666666.0,"Meriden township, LaSalle County, Illinois",099,48463,17
-666666666.0,"Miller township, LaSalle County, Illinois",099,49204,17
-666666666.0,"Mission township, LaSalle County, Illinois",099,49646,17
-666666666.0,"Northville township, LaSalle County, Illinois",099,54248,17
-666666666.0,"Allen township, LaSalle County, Illinois",099,00763,17
-666666666.0,"Brookfield township, LaSalle County, Illinois",099,08583,17
9058.0,"Bruce township, LaSalle County, Illinois",099,09057,17
-666666666.0,"Rutland township, LaSalle County, Illinois",099,66456,17
-666666666.0,"Otter Creek township, LaSalle County, Illinois",099,56965,17
-666666666.0,"Peru township, LaSalle County, Illinois",099,59247,17
-666666666.0,"Richland township, LaSalle County, Illinois",099,63576,17
-666666666.0,"Serena township, LaSalle County, Illinois",099,68692,17
-666666666.0,"South Ottawa township, LaSalle County, Illinois",099,71110,17
-666666666.0,"Troy Grove township, LaSalle County, Illinois",099,76238,17
-666666666.0,"Utica township, LaSalle County, Illinois",099,77096,17
-666666666.0,"Vermillion township, LaSalle County, Illinois",099,77623,17
-666666666.0,"Wallace township, LaSalle County, Illinois",099,78487,17
