B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
3496.0,3317.0,158.0,0.0,0.0,0.0,0.0,21.0,0.0,"District 4, Dickson County, Tennessee",043,90614,47
4672.0,4537.0,0.0,0.0,42.0,0.0,0.0,30.0,63.0,"District 5, Dickson County, Tennessee",043,90804,47
4495.0,3600.0,420.0,1.0,0.0,0.0,0.0,153.0,321.0,"District 10, Dickson County, Tennessee",043,91754,47
3909.0,3360.0,123.0,0.0,22.0,0.0,0.0,182.0,222.0,"District 7, Dickson County, Tennessee",043,91184,47
4380.0,3631.0,148.0,0.0,29.0,0.0,9.0,199.0,364.0,"District 8, Dickson County, Tennessee",043,91374,47
4676.0,4262.0,78.0,24.0,58.0,0.0,42.0,121.0,91.0,"District 9, Dickson County, Tennessee",043,91564,47
3915.0,3327.0,302.0,0.0,3.0,0.0,0.0,55.0,228.0,"District 11, Dickson County, Tennessee",043,91944,47
4592.0,4419.0,55.0,0.0,0.0,0.0,0.0,49.0,69.0,"District 12, Dickson County, Tennessee",043,92134,47
4211.0,3638.0,369.0,12.0,54.0,0.0,0.0,41.0,97.0,"District 1, Dyer County, Tennessee",045,90046,47
1231.0,1199.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,"District 6, Lewis County, Tennessee",101,91052,47
1155.0,1143.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,"District 7, Lewis County, Tennessee",101,91242,47
1184.0,1113.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Lewis County, Tennessee",101,91432,47
1467.0,1142.0,8.0,0.0,288.0,0.0,0.0,25.0,4.0,"District 9, Lewis County, Tennessee",101,91622,47
3979.0,3730.0,73.0,14.0,48.0,0.0,0.0,29.0,85.0,"District 1, Lincoln County, Tennessee",103,90104,47
3949.0,3693.0,79.0,0.0,0.0,0.0,0.0,37.0,140.0,"District 2, Lincoln County, Tennessee",103,90294,47
5227.0,5134.0,26.0,0.0,0.0,0.0,0.0,0.0,67.0,"District 9, Jefferson County, Tennessee",089,91610,47
3550.0,3367.0,127.0,0.0,1.0,0.0,0.0,28.0,27.0,"District 1, Johnson County, Tennessee",091,90092,47
1556.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,"District 2, Johnson County, Tennessee",091,90282,47
3440.0,3393.0,11.0,8.0,0.0,0.0,0.0,13.0,15.0,"District 3, Johnson County, Tennessee",091,90472,47
2413.0,2370.0,0.0,7.0,30.0,0.0,0.0,0.0,6.0,"District 4, Johnson County, Tennessee",091,90662,47
3379.0,2656.0,467.0,70.0,8.0,0.0,0.0,125.0,53.0,"District 5, Johnson County, Tennessee",091,90852,47
1114.0,1090.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,"District 6, Johnson County, Tennessee",091,91042,47
