B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
113.0,113.0,0.0,0.0,0.0,0.0,"East Colusa CCD, Colusa County, California",011,90770,06
429.0,406.0,23.0,0.0,0.0,0.0,"Orland CCD, Glenn County, California",021,92280,06
300.0,299.0,0.0,1.0,0.0,0.0,"Willows CCD, Glenn County, California",021,93750,06
277.0,210.0,0.0,67.0,0.0,0.0,"Gridley CCD, Butte County, California",007,91180,06
61.0,39.0,8.0,4.0,10.0,0.0,"Feather Falls CCD, Butte County, California",007,90970,06
30.0,20.0,0.0,10.0,0.0,0.0,"Biggs CCD, Butte County, California",007,90230,06
4644.0,3601.0,511.0,432.0,64.0,36.0,"Chico CCD, Butte County, California",007,90470,06
348.0,339.0,0.0,9.0,0.0,0.0,"Palermo CCD, Butte County, California",007,92330,06
377.0,364.0,13.0,0.0,0.0,0.0,"Paradise CCD, Butte County, California",007,92380,06
25.0,17.0,0.0,8.0,0.0,0.0,"Durham CCD, Butte County, California",007,90750,06
4343.0,3561.0,556.0,197.0,10.0,19.0,"Oroville CCD, Butte County, California",007,92300,06
2.0,1.0,0.0,1.0,0.0,0.0,"Corcoran CCD, Kings County, California",031,90570,06
137.0,137.0,0.0,0.0,0.0,0.0,"Hanford Northeast CCD, Kings County, California",031,91230,06
2231.0,1707.0,460.0,31.0,10.0,23.0,"Lemoore CCD, Kings County, California",031,91590,06
197.0,119.0,36.0,38.0,4.0,0.0,"Stratford CCD, Kings County, California",031,93250,06
65.0,24.0,0.0,41.0,0.0,0.0,"Avenal CCD, Kings County, California",031,90170,06
3047.0,2451.0,250.0,138.0,26.0,182.0,"Hanford CCD, Kings County, California",031,91220,06
36.0,36.0,0.0,0.0,0.0,0.0,"Graeagle CCD, Plumas County, California",063,91135,06
48.0,10.0,31.0,7.0,0.0,0.0,"Quincy CCD, Plumas County, California",063,92540,06
0.0,0.0,0.0,0.0,0.0,0.0,"Greenville CCD, Plumas County, California",063,91170,06
18.0,7.0,6.0,0.0,5.0,0.0,"Chester CCD, Plumas County, California",063,90460,06
46.0,46.0,0.0,0.0,0.0,0.0,"Portola CCD, Plumas County, California",063,92530,06
477.0,452.0,0.0,25.0,0.0,0.0,"Paso Robles CCD, San Luis Obispo County, California",079,92410,06
4689.0,2121.0,1393.0,1047.0,109.0,19.0,"San Luis Obispo CCD, San Luis Obispo County, California",079,92860,06
3086.0,2818.0,70.0,133.0,29.0,36.0,"Arroyo Grande CCD, San Luis Obispo County, California",079,90120,06
1116.0,969.0,45.0,32.0,8.0,62.0,"North Coast CCD, San Luis Obispo County, California",079,92160,06
879.0,776.0,12.0,33.0,39.0,19.0,"Atascadero CCD, San Luis Obispo County, California",079,90140,06
166.0,163.0,0.0,0.0,0.0,3.0,"Caruthers-Raisin City CCD, Fresno County, California",019,90390,06
0.0,0.0,0.0,0.0,0.0,0.0,"Laton CCD, Fresno County, California",019,91570,06
1700.0,1588.0,112.0,0.0,0.0,0.0,"Sanger CCD, Fresno County, California",019,92800,06
3.0,3.0,0.0,0.0,0.0,0.0,"Firebaugh CCD, Fresno County, California",019,91000,06
340.0,340.0,0.0,0.0,0.0,0.0,"Sierra CCD, Fresno County, California",019,93010,06
1094.0,1083.0,0.0,1.0,10.0,0.0,"Kerman CCD, Fresno County, California",019,91460,06
350.0,337.0,13.0,0.0,0.0,0.0,"Kingsburg CCD, Fresno County, California",019,91480,06
0.0,0.0,0.0,0.0,0.0,0.0,"San Joaquin-Tranquillity CCD, Fresno County, California",019,92820,06
34.0,19.0,0.0,0.0,15.0,0.0,"Mendota CCD, Fresno County, California",019,91950,06
1152.0,1098.0,51.0,3.0,0.0,0.0,"Reedley CCD, Fresno County, California",019,92600,06
30.0,30.0,0.0,0.0,0.0,0.0,"Orange Cove CCD, Fresno County, California",019,92270,06
1460.0,1364.0,96.0,0.0,0.0,0.0,"Selma CCD, Fresno County, California",019,92990,06
395.0,304.0,27.0,45.0,6.0,13.0,"Coalinga CCD, Fresno County, California",019,90530,06
1125.0,977.0,58.0,90.0,0.0,0.0,"Fowler CCD, Fresno County, California",019,91060,06
88690.0,75294.0,9023.0,1807.0,1037.0,1529.0,"Fresno CCD, Fresno County, California",019,91080,06
