B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
17861.0,12223.0,3516.0,1948.0,77.0,97.0,"Chico CCD, Butte County, California",007,90470,06
2005.0,1896.0,66.0,5.0,38.0,0.0,"Palermo CCD, Butte County, California",007,92330,06
3252.0,2281.0,685.0,146.0,138.0,2.0,"Paradise CCD, Butte County, California",007,92380,06
619.0,564.0,47.0,8.0,0.0,0.0,"Durham CCD, Butte County, California",007,90750,06
4665.0,4011.0,548.0,99.0,7.0,0.0,"Oroville CCD, Butte County, California",007,92300,06
11618.0,9901.0,1292.0,381.0,0.0,44.0,"Corcoran CCD, Kings County, California",031,90570,06
946.0,885.0,53.0,3.0,5.0,0.0,"Hanford Northeast CCD, Kings County, California",031,91230,06
13676.0,9322.0,2905.0,1087.0,288.0,74.0,"Lemoore CCD, Kings County, California",031,91590,06
8148.0,6098.0,328.0,1648.0,64.0,10.0,"Stratford CCD, Kings County, California",031,93250,06
10458.0,8338.0,686.0,1206.0,52.0,176.0,"Avenal CCD, Kings County, California",031,90170,06
34816.0,30274.0,3403.0,889.0,20.0,230.0,"Hanford CCD, Kings County, California",031,91220,06
66.0,65.0,0.0,0.0,0.0,1.0,"Graeagle CCD, Plumas County, California",063,91135,06
539.0,442.0,64.0,33.0,0.0,0.0,"Quincy CCD, Plumas County, California",063,92540,06
235.0,235.0,0.0,0.0,0.0,0.0,"Greenville CCD, Plumas County, California",063,91170,06
257.0,231.0,10.0,7.0,0.0,9.0,"Chester CCD, Plumas County, California",063,90460,06
502.0,348.0,127.0,27.0,0.0,0.0,"Portola CCD, Plumas County, California",063,92530,06
16891.0,14804.0,1337.0,531.0,146.0,73.0,"Paso Robles CCD, San Luis Obispo County, California",079,92410,06
10627.0,7047.0,1710.0,1617.0,148.0,105.0,"San Luis Obispo CCD, San Luis Obispo County, California",079,92860,06
20838.0,17924.0,1886.0,730.0,99.0,199.0,"Arroyo Grande CCD, San Luis Obispo County, California",079,90120,06
5816.0,4945.0,591.0,253.0,15.0,12.0,"North Coast CCD, San Luis Obispo County, California",079,92160,06
7157.0,6307.0,599.0,171.0,49.0,31.0,"Atascadero CCD, San Luis Obispo County, California",079,90140,06
7071.0,6006.0,992.0,49.0,0.0,24.0,"Caruthers-Raisin City CCD, Fresno County, California",019,90390,06
2385.0,2167.0,140.0,78.0,0.0,0.0,"Laton CCD, Fresno County, California",019,91570,06
23420.0,20339.0,2708.0,245.0,109.0,19.0,"Sanger CCD, Fresno County, California",019,92800,06
8821.0,8014.0,590.0,217.0,0.0,0.0,"Firebaugh CCD, Fresno County, California",019,91000,06
3670.0,3303.0,270.0,93.0,4.0,0.0,"Sierra CCD, Fresno County, California",019,93010,06
17764.0,16042.0,1611.0,64.0,12.0,35.0,"Kerman CCD, Fresno County, California",019,91460,06
5966.0,5644.0,200.0,79.0,43.0,0.0,"Kingsburg CCD, Fresno County, California",019,91480,06
5906.0,5276.0,456.0,16.0,56.0,102.0,"San Joaquin-Tranquillity CCD, Fresno County, California",019,92820,06
12263.0,11217.0,603.0,159.0,57.0,227.0,"Mendota CCD, Fresno County, California",019,91950,06
20282.0,18250.0,1589.0,413.0,30.0,0.0,"Reedley CCD, Fresno County, California",019,92600,06
10390.0,9298.0,902.0,147.0,0.0,43.0,"Orange Cove CCD, Fresno County, California",019,92270,06
23568.0,20550.0,2720.0,173.0,78.0,47.0,"Selma CCD, Fresno County, California",019,92990,06
10724.0,8521.0,847.0,1267.0,59.0,30.0,"Coalinga CCD, Fresno County, California",019,90530,06
7447.0,6115.0,1246.0,18.0,0.0,68.0,"Fowler CCD, Fresno County, California",019,91060,06
310105.0,255596.0,45770.0,6819.0,1184.0,736.0,"Fresno CCD, Fresno County, California",019,91080,06
7585.0,6826.0,511.0,85.0,5.0,158.0,"Huron CCD, Fresno County, California",019,91360,06
32031.0,28285.0,2941.0,569.0,170.0,66.0,"Greenfield-Panama CCD, Kern County, California",029,91160,06
4834.0,4337.0,493.0,2.0,0.0,2.0,"Riverdale CCD, Fresno County, California",019,92630,06
18240.0,15922.0,1675.0,214.0,157.0,272.0,"Parlier-Del Rey CCD, Fresno County, California",019,92390,06
217980.0,183155.0,29025.0,4090.0,1007.0,703.0,"Bakersfield CCD, Kern County, California",029,90180,06
1645.0,1338.0,41.0,220.0,46.0,0.0,"Lake Isabella CCD, Kern County, California",029,91520,06
39109.0,35850.0,2653.0,331.0,28.0,247.0,"Arvin-Lamont CCD, Kern County, California",029,90130,06
8589.0,6882.0,879.0,762.0,60.0,6.0,"Tehachapi CCD, Kern County, California",029,93320,06
23786.0,20258.0,1178.0,2088.0,80.0,182.0,"Wasco CCD, Kern County, California",029,93570,06
17688.0,15609.0,1609.0,188.0,152.0,130.0,"Shafter CCD, Kern County, California",029,93000,06
21000.0,16986.0,1469.0,1785.0,646.0,114.0,"East Kern CCD, Kern County, California",029,90800,06
2270.0,2202.0,64.0,4.0,0.0,0.0,"Buttonwillow CCD, Kern County, California",029,90300,06
20093.0,18344.0,1427.0,287.0,29.0,6.0,"Rosedale CCD, Kern County, California",029,92650,06
802128.0,712068.0,69628.0,14527.0,3297.0,2608.0,"Anaheim-Santa Ana-Garden Grove CCD, Orange County, California",059,90050,06
74648.0,65294.0,7153.0,1580.0,457.0,164.0,"North Coast CCD, Orange County, California",059,92150,06
11758.0,10673.0,899.0,126.0,53.0,7.0,"Moorpark CCD, Ventura County, California",111,92020,06
54958.0,47927.0,4052.0,2312.0,355.0,312.0,"Central Coast CCD, Orange County, California",059,90420,06
56404.0,49587.0,4933.0,1091.0,330.0,463.0,"South Coast CCD, Orange County, California",059,93110,06
55.0,54.0,0.0,0.0,1.0,0.0,"Los Padres CCD, Ventura County, California",111,91770,06
40837.0,34915.0,4342.0,1275.0,150.0,155.0,"Ventura CCD, Ventura County, California",111,93550,06
1864.0,1611.0,129.0,83.0,41.0,0.0,"Las Posas CCD, Ventura County, California",111,91560,06
18351.0,15649.0,1787.0,754.0,54.0,107.0,"Camarillo CCD, Ventura County, California",111,90350,06
173323.0,155356.0,13416.0,1993.0,870.0,1688.0,"Oxnard CCD, Ventura County, California",111,92310,06
26287.0,23662.0,2072.0,405.0,19.0,129.0,"Santa Paula CCD, Ventura County, California",111,92930,06
26214.0,23609.0,1790.0,540.0,199.0,76.0,"Thousand Oaks CCD, Ventura County, California",111,93350,06
32798.0,29666.0,1997.0,968.0,110.0,57.0,"Simi Valley CCD, Ventura County, California",111,93020,06
1315.0,1230.0,39.0,46.0,0.0,0.0,"Angels City CCD, Calaveras County, California",009,90060,06
3164.0,2909.0,167.0,75.0,13.0,0.0,"San Andreas CCD, Calaveras County, California",009,92740,06
630.0,603.0,0.0,19.0,8.0,0.0,"Meridian-Robbins CCD, Sutter County, California",101,91970,06
372.0,370.0,0.0,2.0,0.0,0.0,"Sutter CCD, Sutter County, California",101,93290,06
474.0,423.0,3.0,48.0,0.0,0.0,"South Sutter CCD, Sutter County, California",101,93180,06
5131.0,4544.0,230.0,343.0,14.0,0.0,"Live Oak CCD, Sutter County, California",101,91650,06
20797.0,17645.0,2132.0,760.0,99.0,161.0,"Yuba City CCD, Sutter County, California",101,93820,06
76570.0,69259.0,3080.0,3418.0,221.0,592.0,"South San Francisco CCD, San Mateo County, California",081,93170,06
