B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
61.0,61.0,0.0,0.0,0.0,0.0,"Plainville town, Norfolk County, Massachusetts",021,54100,25
587.0,448.0,44.0,85.0,10.0,0.0,"Walpole town, Norfolk County, Massachusetts",021,72495,25
269.0,257.0,11.0,0.0,1.0,0.0,"Bellingham town, Norfolk County, Massachusetts",021,04930,25
179.0,179.0,0.0,0.0,0.0,0.0,"Dover town, Norfolk County, Massachusetts",021,17405,25
24.0,0.0,0.0,11.0,13.0,0.0,"Cohasset town, Norfolk County, Massachusetts",021,14640,25
3990.0,3629.0,163.0,58.0,40.0,100.0,"Stoughton town, Norfolk County, Massachusetts",021,67945,25
957.0,630.0,84.0,144.0,99.0,0.0,"Foxborough town, Norfolk County, Massachusetts",021,24820,25
288.0,258.0,16.0,14.0,0.0,0.0,"Medway town, Norfolk County, Massachusetts",021,39975,25
1191.0,1098.0,35.0,0.0,0.0,58.0,"Holbrook town, Norfolk County, Massachusetts",021,30455,25
923.0,701.0,21.0,71.0,94.0,36.0,"Wellesley town, Norfolk County, Massachusetts",021,74175,25
2184.0,1778.0,138.0,234.0,34.0,0.0,"Dedham town, Norfolk County, Massachusetts",021,16495,25
518.0,421.0,97.0,0.0,0.0,0.0,"Sharon town, Norfolk County, Massachusetts",021,60785,25
234.0,198.0,5.0,1.0,5.0,25.0,"Wrentham town, Norfolk County, Massachusetts",021,82315,25
4105.0,3679.0,57.0,262.0,28.0,79.0,"Milton town, Norfolk County, Massachusetts",021,41690,25
4846.0,4023.0,231.0,350.0,179.0,63.0,"Quincy city, Norfolk County, Massachusetts",021,55745,25
555.0,477.0,66.0,12.0,0.0,0.0,"Avon town, Norfolk County, Massachusetts",021,02935,25
47.0,29.0,6.0,12.0,0.0,0.0,"Westwood town, Norfolk County, Massachusetts",021,78690,25
12986.0,11670.0,440.0,602.0,109.0,165.0,"Randolph town, Norfolk County, Massachusetts",021,55955,25
301.0,258.0,41.0,2.0,0.0,0.0,"Sutton town, Worcester County, Massachusetts",027,68610,25
41.0,39.0,0.0,0.0,2.0,0.0,"North Brookfield town, Worcester County, Massachusetts",027,47135,25
91.0,53.0,36.0,2.0,0.0,0.0,"Oxford town, Worcester County, Massachusetts",027,51825,25
101.0,101.0,0.0,0.0,0.0,0.0,"Spencer town, Worcester County, Massachusetts",027,66105,25
2.0,1.0,0.0,1.0,0.0,0.0,"Warren town, Worcester County, Massachusetts",027,73090,25
108.0,84.0,0.0,0.0,24.0,0.0,"Winchendon town, Worcester County, Massachusetts",027,80405,25
127.0,114.0,13.0,0.0,0.0,0.0,"Athol town, Worcester County, Massachusetts",027,02480,25
21.0,6.0,0.0,7.0,8.0,0.0,"Bolton town, Worcester County, Massachusetts",027,06365,25
43.0,41.0,0.0,2.0,0.0,0.0,"Boylston town, Worcester County, Massachusetts",027,07525,25
116.0,116.0,0.0,0.0,0.0,0.0,"Charlton town, Worcester County, Massachusetts",027,12715,25
343.0,335.0,5.0,0.0,3.0,0.0,"Paxton town, Worcester County, Massachusetts",027,52420,25
84.0,35.0,15.0,0.0,10.0,24.0,"Ashburnham town, Worcester County, Massachusetts",027,01885,25
23.0,11.0,12.0,0.0,0.0,0.0,"Hardwick town, Worcester County, Massachusetts",027,28740,25
4.0,4.0,0.0,0.0,0.0,0.0,"Royalston town, Worcester County, Massachusetts",027,58580,25
0.0,0.0,0.0,0.0,0.0,0.0,"East Brookfield town, Worcester County, Massachusetts",027,18560,25
26.0,25.0,0.0,1.0,0.0,0.0,"Hopedale town, Worcester County, Massachusetts",027,30945,25
32.0,27.0,2.0,3.0,0.0,0.0,"Mendon town, Worcester County, Massachusetts",027,40255,25
739.0,704.0,19.0,14.0,2.0,0.0,"Milford town, Worcester County, Massachusetts",027,41165,25
1.0,0.0,0.0,0.0,1.0,0.0,"Millville town, Worcester County, Massachusetts",027,41585,25
24.0,24.0,0.0,0.0,0.0,0.0,"Phillipston town, Worcester County, Massachusetts",027,53225,25
29.0,29.0,0.0,0.0,0.0,0.0,"Sturbridge town, Worcester County, Massachusetts",027,68155,25
7.0,4.0,1.0,0.0,2.0,0.0,"Upton town, Worcester County, Massachusetts",027,71480,25
32.0,27.0,5.0,0.0,0.0,0.0,"Princeton town, Worcester County, Massachusetts",027,55395,25
104.0,95.0,6.0,3.0,0.0,0.0,"Barre town, Worcester County, Massachusetts",027,03740,25
22.0,7.0,0.0,14.0,1.0,0.0,"Berlin town, Worcester County, Massachusetts",027,05490,25
2098.0,1736.0,198.0,89.0,73.0,2.0,"Leominster city, Worcester County, Massachusetts",027,35075,25
36.0,36.0,0.0,0.0,0.0,0.0,"Sterling town, Worcester County, Massachusetts",027,67385,25
6.0,6.0,0.0,0.0,0.0,0.0,"Rutland town, Worcester County, Massachusetts",027,58825,25
1.0,1.0,0.0,0.0,0.0,0.0,"Templeton town, Worcester County, Massachusetts",027,69275,25
279.0,241.0,25.0,12.0,1.0,0.0,"Auburn town, Worcester County, Massachusetts",027,02760,25
421.0,316.0,47.0,17.0,41.0,0.0,"Harvard town, Worcester County, Massachusetts",027,28950,25
292.0,227.0,61.0,0.0,2.0,2.0,"Holden town, Worcester County, Massachusetts",027,30560,25
6.0,6.0,0.0,0.0,0.0,0.0,"New Braintree town, Worcester County, Massachusetts",027,45105,25
117.0,39.0,0.0,15.0,40.0,23.0,"Southborough town, Worcester County, Massachusetts",027,63165,25
1579.0,1106.0,287.0,97.0,19.0,70.0,"Fitchburg city, Worcester County, Massachusetts",027,23875,25
446.0,401.0,31.0,9.0,5.0,0.0,"Gardner city, Worcester County, Massachusetts",027,25485,25
873.0,835.0,10.0,15.0,13.0,0.0,"Grafton town, Worcester County, Massachusetts",027,26430,25
454.0,341.0,17.0,77.0,9.0,10.0,"Lancaster town, Worcester County, Massachusetts",027,34165,25
278.0,257.0,1.0,10.0,0.0,10.0,"Lunenburg town, Worcester County, Massachusetts",027,37420,25
1242.0,870.0,241.0,40.0,58.0,33.0,"Shrewsbury town, Worcester County, Massachusetts",027,61800,25
15.0,15.0,0.0,0.0,0.0,0.0,"Westminster town, Worcester County, Massachusetts",027,77010,25
756.0,723.0,0.0,8.0,25.0,0.0,"Webster town, Worcester County, Massachusetts",027,73895,25
486.0,247.0,157.0,59.0,23.0,0.0,"West Boylston town, Worcester County, Massachusetts",027,75155,25
34.0,34.0,0.0,0.0,0.0,0.0,"Brookfield town, Worcester County, Massachusetts",027,09105,25
4.0,2.0,2.0,0.0,0.0,0.0,"Oakham town, Worcester County, Massachusetts",027,50670,25
41.0,19.0,0.0,22.0,0.0,0.0,"Douglas town, Worcester County, Massachusetts",027,17300,25
164.0,164.0,0.0,0.0,0.0,0.0,"Hubbardston town, Worcester County, Massachusetts",027,31435,25
223.0,182.0,30.0,2.0,9.0,0.0,"Leicester town, Worcester County, Massachusetts",027,34795,25
212.0,100.0,108.0,3.0,1.0,0.0,"Northborough town, Worcester County, Massachusetts",027,46820,25
