B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
10152.0,9668.0,181.0,114.0,151.0,38.0,"District 1, Marshall County, West Virginia",051,90780,54
9665.0,8762.0,519.0,291.0,72.0,21.0,"District 2, Marshall County, West Virginia",051,90816,54
11019.0,10471.0,365.0,132.0,45.0,6.0,"District 3, Marshall County, West Virginia",051,90852,54
4793.0,4293.0,251.0,25.0,224.0,0.0,"Summersville district, Nicholas County, West Virginia",067,93072,54
6965.0,6539.0,295.0,36.0,95.0,0.0,"Beaver district, Nicholas County, West Virginia",067,90132,54
1524.0,1327.0,105.0,92.0,0.0,0.0,"Grant district, Nicholas County, West Virginia",067,91344,54
1274.0,1266.0,8.0,0.0,0.0,0.0,"Jefferson district, Nicholas County, West Virginia",067,91716,54
2779.0,2495.0,119.0,98.0,67.0,0.0,"Hamilton district, Nicholas County, West Virginia",067,91500,54
3452.0,3219.0,150.0,47.0,36.0,0.0,"Wilderness district, Nicholas County, West Virginia",067,93660,54
3828.0,3585.0,243.0,0.0,0.0,0.0,"Kentucky district, Nicholas County, West Virginia",067,91752,54
1835.0,1643.0,27.0,162.0,3.0,0.0,"Little Levels district, Pocahontas County, West Virginia",075,91944,54
974.0,926.0,48.0,0.0,0.0,0.0,"Huntersville district, Pocahontas County, West Virginia",075,91656,54
2112.0,2023.0,35.0,16.0,35.0,3.0,"Greenbank district, Pocahontas County, West Virginia",075,91416,54
3232.0,2882.0,229.0,72.0,49.0,0.0,"Edray district, Pocahontas County, West Virginia",075,90996,54
3308.0,3081.0,125.0,70.0,32.0,0.0,"Black Fork district, Tucker County, West Virginia",093,90192,54
686.0,625.0,12.0,35.0,14.0,0.0,"Fairfax district, Tucker County, West Virginia",093,91056,54
757.0,608.0,74.0,75.0,0.0,0.0,"Davis district, Tucker County, West Virginia",093,90744,54
755.0,748.0,7.0,0.0,0.0,0.0,"St. George district, Tucker County, West Virginia",093,92688,54
361.0,355.0,0.0,6.0,0.0,0.0,"Clover district, Tucker County, West Virginia",093,90624,54
96.0,89.0,0.0,7.0,0.0,0.0,"Licking district, Tucker County, West Virginia",093,91896,54
855.0,807.0,12.0,7.0,29.0,0.0,"Dry Fork district, Tucker County, West Virginia",093,90948,54
2234.0,2091.0,40.0,44.0,59.0,0.0,"Central district, Tyler County, West Virginia",095,90469,54
2297.0,2141.0,49.0,23.0,77.0,7.0,"West district, Tyler County, West Virginia",095,93592,54
2168.0,2074.0,60.0,27.0,7.0,0.0,"South district, Tyler County, West Virginia",095,92898,54
2003.0,1866.0,36.0,72.0,29.0,0.0,"North district, Tyler County, West Virginia",095,92334,54
1019.0,980.0,16.0,11.0,12.0,0.0,"New Interest district, Randolph County, West Virginia",083,92292,54
909.0,909.0,0.0,0.0,0.0,0.0,"Middle Fork district, Randolph County, West Virginia",083,92148,54
