B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
4184.0,2392.0,2392.0,2181.0,211.0,0.0,1792.0,"Aroma township, Kankakee County, Illinois",091,02245,17
306.0,174.0,174.0,148.0,26.0,0.0,132.0,"Abington township, Mercer County, Illinois",131,00126,17
358.0,178.0,178.0,172.0,6.0,0.0,180.0,"North Henderson township, Mercer County, Illinois",131,53806,17
1748.0,1198.0,1193.0,1176.0,17.0,5.0,550.0,"Richland Grove township, Mercer County, Illinois",131,63628,17
342.0,199.0,199.0,196.0,3.0,0.0,143.0,"Perryton township, Mercer County, Illinois",131,59182,17
1122.0,711.0,711.0,670.0,41.0,0.0,411.0,"Greene township, Mercer County, Illinois",131,31342,17
733.0,402.0,402.0,385.0,17.0,0.0,331.0,"New Boston township, Mercer County, Illinois",131,52233,17
497.0,295.0,295.0,291.0,4.0,0.0,202.0,"Suez township, Mercer County, Illinois",131,73339,17
115.0,97.0,97.0,97.0,0.0,0.0,18.0,"Ohio Grove township, Mercer County, Illinois",131,55405,17
1408.0,924.0,924.0,870.0,54.0,0.0,484.0,"Preemption township, Mercer County, Illinois",131,61795,17
1041.0,746.0,746.0,665.0,81.0,0.0,295.0,"Rivoli township, Mercer County, Illinois",131,64551,17
404.0,289.0,289.0,289.0,0.0,0.0,115.0,"Eliza township, Mercer County, Illinois",131,23152,17
3247.0,1760.0,1760.0,1592.0,168.0,0.0,1487.0,"Mercer township, Mercer County, Illinois",131,48398,17
526.0,270.0,270.0,233.0,37.0,0.0,256.0,"Keithsburg township, Mercer County, Illinois",131,39311,17
96764.0,67859.0,67786.0,64075.0,3711.0,73.0,28905.0,"Lisle township, DuPage County, Illinois",043,43952,17
655.0,469.0,469.0,419.0,50.0,0.0,186.0,"Millersburg township, Mercer County, Illinois",131,49256,17
272.0,131.0,131.0,124.0,7.0,0.0,141.0,"Duncan township, Mercer County, Illinois",131,20968,17
236.0,169.0,169.0,169.0,0.0,0.0,67.0,"Maine township, Grundy County, Illinois",063,46175,17
1617.0,1041.0,1038.0,1005.0,33.0,3.0,576.0,"Pilot township, Kankakee County, Illinois",091,59819,17
