B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gosnold town, Dukes County, Massachusetts",007,26325,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chilmark town, Dukes County, Massachusetts",007,13800,25
8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Edgartown town, Dukes County, Massachusetts",007,21150,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tisbury town, Dukes County, Massachusetts",007,69940,25
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,"West Tisbury town, Dukes County, Massachusetts",007,78235,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Oak Bluffs town, Dukes County, Massachusetts",007,50390,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aquinnah town, Dukes County, Massachusetts",007,01585,25
40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,25.0,"Dunstable town, Middlesex County, Massachusetts",017,17825,25
230.0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,10.0,59.0,79.0,"Holliston town, Middlesex County, Massachusetts",017,30700,25
974.0,89.0,20.0,0.0,0.0,0.0,25.0,8.0,50.0,0.0,82.0,71.0,165.0,52.0,110.0,200.0,102.0,"Marlborough city, Middlesex County, Massachusetts",017,38715,25
509.0,42.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,13.0,72.0,62.0,17.0,132.0,153.0,"Ashland town, Middlesex County, Massachusetts",017,02130,25
441.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,16.0,0.0,0.0,26.0,127.0,26.0,80.0,85.0,"Reading town, Middlesex County, Massachusetts",017,56130,25
2475.0,185.0,36.0,70.0,42.0,50.0,60.0,98.0,135.0,85.0,201.0,161.0,320.0,279.0,145.0,217.0,391.0,"Somerville city, Middlesex County, Massachusetts",017,62535,25
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,"Ashby town, Middlesex County, Massachusetts",017,01955,25
436.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,34.0,0.0,53.0,80.0,24.0,69.0,131.0,"Boxborough town, Middlesex County, Massachusetts",017,07350,25
2182.0,229.0,42.0,0.0,40.0,6.0,149.0,10.0,22.0,18.0,90.0,108.0,210.0,526.0,240.0,231.0,261.0,"Framingham town, Middlesex County, Massachusetts",017,24925,25
6066.0,655.0,390.0,120.0,372.0,139.0,162.0,215.0,335.0,202.0,540.0,642.0,754.0,696.0,314.0,331.0,199.0,"Lowell city, Middlesex County, Massachusetts",017,37000,25
447.0,13.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,9.0,0.0,4.0,0.0,64.0,8.0,64.0,268.0,"Wayland town, Middlesex County, Massachusetts",017,73790,25
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,19.0,22.0,10.0,22.0,16.0,67.0,"Carlisle town, Middlesex County, Massachusetts",017,11525,25
975.0,0.0,0.0,0.0,0.0,31.0,0.0,50.0,25.0,0.0,61.0,84.0,134.0,239.0,169.0,70.0,112.0,"Billerica town, Middlesex County, Massachusetts",017,05805,25
186.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,70.0,10.0,8.0,18.0,"Hudson town, Middlesex County, Massachusetts",017,31540,25
102.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,15.0,"Maynard town, Middlesex County, Massachusetts",017,39625,25
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,6.0,0.0,30.0,"Sherborn town, Middlesex County, Massachusetts",017,61380,25
185.0,21.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,14.0,10.0,33.0,6.0,38.0,49.0,"Stoneham town, Middlesex County, Massachusetts",017,67665,25
405.0,22.0,0.0,0.0,9.0,0.0,13.0,11.0,9.0,11.0,28.0,17.0,45.0,45.0,89.0,79.0,27.0,"Wilmington town, Middlesex County, Massachusetts",017,80230,25
193.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,18.0,16.0,26.0,34.0,51.0,18.0,"Ayer town, Middlesex County, Massachusetts",017,03005,25
1490.0,0.0,11.0,10.0,16.0,22.0,21.0,0.0,19.0,28.0,50.0,55.0,409.0,209.0,191.0,286.0,163.0,"Burlington town, Middlesex County, Massachusetts",017,09840,25
844.0,14.0,0.0,10.0,53.0,76.0,0.0,17.0,87.0,55.0,87.0,67.0,235.0,74.0,33.0,0.0,36.0,"Everett city, Middlesex County, Massachusetts",017,21990,25
228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,54.0,0.0,116.0,"Lincoln town, Middlesex County, Massachusetts",017,35425,25
506.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,46.0,37.0,39.0,139.0,207.0,"Sudbury town, Middlesex County, Massachusetts",017,68260,25
294.0,54.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,82.0,17.0,10.0,72.0,33.0,"Tyngsborough town, Middlesex County, Massachusetts",017,71025,25
226.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,36.0,19.0,20.0,32.0,69.0,"Wakefield town, Middlesex County, Massachusetts",017,72215,25
913.0,17.0,14.0,19.0,25.0,15.0,0.0,9.0,44.0,42.0,56.0,110.0,161.0,66.0,176.0,128.0,31.0,"Woburn city, Middlesex County, Massachusetts",017,81035,25
380.0,0.0,32.0,0.0,0.0,18.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,7.0,59.0,47.0,194.0,"Weston town, Middlesex County, Massachusetts",017,77255,25
346.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,25.0,110.0,61.0,53.0,13.0,53.0,"Tewksbury town, Middlesex County, Massachusetts",017,69415,25
1181.0,48.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,17.0,40.0,86.0,156.0,227.0,541.0,"Westford town, Middlesex County, Massachusetts",017,76135,25
1320.0,135.0,0.0,34.0,0.0,0.0,25.0,21.0,38.0,0.0,64.0,71.0,123.0,114.0,101.0,199.0,395.0,"Belmont town, Middlesex County, Massachusetts",017,05070,25
367.0,5.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,17.0,0.0,0.0,63.0,79.0,43.0,39.0,71.0,"Dracut town, Middlesex County, Massachusetts",017,17475,25
136.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,13.0,57.0,"Groton town, Middlesex County, Massachusetts",017,27480,25
2832.0,100.0,44.0,8.0,9.0,56.0,32.0,49.0,24.0,24.0,95.0,40.0,107.0,150.0,360.0,479.0,1255.0,"Lexington town, Middlesex County, Massachusetts",017,35215,25
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,52.0,"Stow town, Middlesex County, Massachusetts",017,68050,25
1006.0,9.0,57.0,14.0,0.0,18.0,9.0,21.0,32.0,38.0,0.0,38.0,76.0,126.0,110.0,167.0,291.0,"Chelmsford town, Middlesex County, Massachusetts",017,13135,25
1676.0,157.0,23.0,16.0,104.0,36.0,18.0,65.0,27.0,89.0,41.0,78.0,201.0,218.0,171.0,135.0,297.0,"Medford city, Middlesex County, Massachusetts",017,39835,25
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Shirley town, Middlesex County, Massachusetts",017,61590,25
503.0,19.0,15.0,0.0,0.0,12.0,0.0,0.0,24.0,13.0,18.0,50.0,42.0,102.0,39.0,48.0,121.0,"Melrose city, Middlesex County, Massachusetts",017,40115,25
206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,30.0,18.0,43.0,0.0,102.0,"North Reading town, Middlesex County, Massachusetts",017,48955,25
2707.0,422.0,85.0,9.0,73.0,44.0,28.0,53.0,33.0,35.0,61.0,279.0,408.0,430.0,316.0,224.0,207.0,"Waltham city, Middlesex County, Massachusetts",017,72600,25
1750.0,42.0,19.0,11.0,0.0,0.0,0.0,12.0,17.0,27.0,16.0,53.0,96.0,276.0,317.0,304.0,560.0,"Acton town, Middlesex County, Massachusetts",017,00380,25
1770.0,111.0,13.0,82.0,34.0,22.0,0.0,23.0,0.0,48.0,155.0,135.0,225.0,195.0,195.0,204.0,328.0,"Natick town, Middlesex County, Massachusetts",017,43895,25
1686.0,120.0,33.0,33.0,0.0,29.0,58.0,28.0,13.0,38.0,51.0,69.0,168.0,204.0,137.0,285.0,420.0,"Arlington town, Middlesex County, Massachusetts",017,01605,25
326.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,23.0,32.0,64.0,149.0,"Concord town, Middlesex County, Massachusetts",017,15060,25
173.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,20.0,33.0,57.0,"Littleton town, Middlesex County, Massachusetts",017,35950,25
80.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,28.0,"Pepperell town, Middlesex County, Massachusetts",017,52805,25
903.0,17.0,55.0,0.0,0.0,9.0,14.0,20.0,0.0,24.0,22.0,56.0,100.0,68.0,109.0,157.0,252.0,"Winchester town, Middlesex County, Massachusetts",017,80510,25
705.0,31.0,17.0,0.0,0.0,17.0,0.0,27.0,0.0,0.0,57.0,30.0,133.0,17.0,65.0,91.0,220.0,"Bedford town, Middlesex County, Massachusetts",017,04615,25
6052.0,741.0,99.0,74.0,138.0,92.0,378.0,144.0,234.0,136.0,382.0,500.0,802.0,655.0,343.0,490.0,844.0,"Cambridge city, Middlesex County, Massachusetts",017,11000,25
343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,70.0,84.0,162.0,"Hopkinton town, Middlesex County, Massachusetts",017,31085,25
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,11.0,0.0,"Townsend town, Middlesex County, Massachusetts",017,70360,25
4965.0,633.0,283.0,115.0,91.0,219.0,290.0,157.0,197.0,92.0,232.0,657.0,674.0,591.0,235.0,327.0,172.0,"Malden city, Middlesex County, Massachusetts",017,37875,25
3704.0,149.0,45.0,83.0,0.0,51.0,29.0,75.0,38.0,59.0,83.0,155.0,354.0,460.0,385.0,441.0,1297.0,"Newton city, Middlesex County, Massachusetts",017,45560,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hinsdale town, Berkshire County, Massachusetts",003,30315,25
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Mount Washington town, Berkshire County, Massachusetts",003,43300,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cheshire town, Berkshire County, Massachusetts",003,13345,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Florida town, Berkshire County, Massachusetts",003,24120,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hancock town, Berkshire County, Massachusetts",003,28180,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Savoy town, Berkshire County, Massachusetts",003,60225,25
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"West Stockbridge town, Berkshire County, Massachusetts",003,77990,25
116.0,0.0,39.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,5.0,26.0,9.0,0.0,19.0,0.0,"Williamstown town, Berkshire County, Massachusetts",003,79985,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Monterey town, Berkshire County, Massachusetts",003,42460,25
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"New Ashford town, Berkshire County, Massachusetts",003,44385,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sheffield town, Berkshire County, Massachusetts",003,61065,25
7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Orange town, Franklin County, Massachusetts",011,51265,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Warwick town, Franklin County, Massachusetts",011,73265,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Whately town, Franklin County, Massachusetts",011,79110,25
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Montague town, Franklin County, Massachusetts",011,42285,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ashfield town, Franklin County, Massachusetts",011,02095,25
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,"New Salem town, Franklin County, Massachusetts",011,45490,25
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,"Charlemont town, Franklin County, Massachusetts",011,12505,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Conway town, Franklin County, Massachusetts",011,15200,25
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Erving town, Franklin County, Massachusetts",011,21780,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Deerfield town, Franklin County, Massachusetts",011,16670,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Monroe town, Franklin County, Massachusetts",011,42040,25
