B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
48.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Republic CCD, Ferry County, Washington",019,92752,53
134.0,15.0,0.0,0.0,0.0,23.0,6.0,28.0,0.0,0.0,10.0,18.0,11.0,17.0,6.0,0.0,0.0,"Entiat CCD, Chelan County, Washington",007,91040,53
253.0,0.0,0.0,16.0,0.0,62.0,47.0,0.0,0.0,0.0,42.0,44.0,0.0,30.0,12.0,0.0,0.0,"Malaga CCD, Chelan County, Washington",007,91840,53
427.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,80.0,0.0,63.0,33.0,83.0,135.0,0.0,0.0,0.0,"Manson CCD, Chelan County, Washington",007,91904,53
561.0,17.0,0.0,91.0,0.0,0.0,128.0,22.0,118.0,24.0,46.0,57.0,15.0,32.0,11.0,0.0,0.0,"Chelan CCD, Chelan County, Washington",007,90544,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West End CCD, Jefferson County, Washington",031,93728,53
2586.0,148.0,82.0,62.0,123.0,234.0,115.0,185.0,180.0,133.0,194.0,322.0,340.0,207.0,136.0,78.0,47.0,"Bremerton CCD, Kitsap County, Washington",035,90288,53
42.0,0.0,18.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kingston CCD, Kitsap County, Washington",035,91488,53
917.0,7.0,21.0,27.0,90.0,26.0,93.0,25.0,38.0,61.0,137.0,58.0,176.0,42.0,15.0,90.0,11.0,"Poulsbo CCD, Kitsap County, Washington",035,92624,53
409.0,0.0,42.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,111.0,42.0,54.0,81.0,25.0,32.0,"Bainbridge Island CCD, Kitsap County, Washington",035,90120,53
