B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
33364.0,1409.0,403.0,568.0,750.0,724.0,882.0,1084.0,1183.0,1002.0,2212.0,3193.0,4641.0,3468.0,2667.0,3528.0,5650.0,"Mount Pleasant CCD, Charleston County, South Carolina",019,92301,45
845.0,47.0,28.0,26.0,23.0,18.0,17.0,52.0,43.0,51.0,39.0,73.0,156.0,67.0,95.0,50.0,60.0,"McClellanville CCD, Charleston County, South Carolina",019,92080,45
502.0,44.0,11.0,34.0,13.0,0.0,21.0,8.0,1.0,15.0,40.0,64.0,49.0,70.0,37.0,59.0,36.0,"Wadmalaw Island CCD, Charleston County, South Carolina",019,93549,45
987.0,44.0,54.0,34.0,90.0,66.0,31.0,17.0,66.0,106.0,58.0,40.0,208.0,50.0,16.0,33.0,74.0,"Lake Swamp CCD, Darlington County, South Carolina",031,91820,45
5542.0,419.0,493.0,531.0,334.0,423.0,377.0,241.0,288.0,226.0,427.0,566.0,509.0,206.0,204.0,202.0,96.0,"Darlington CCD, Darlington County, South Carolina",031,90858,45
811.0,132.0,75.0,74.0,87.0,4.0,7.0,78.0,30.0,41.0,49.0,110.0,65.0,24.0,30.0,5.0,0.0,"Lamar CCD, Darlington County, South Carolina",031,91846,45
3269.0,236.0,307.0,104.0,106.0,179.0,164.0,207.0,123.0,90.0,367.0,263.0,363.0,299.0,258.0,161.0,42.0,"North Hartsville CCD, Darlington County, South Carolina",031,92431,45
488.0,53.0,27.0,18.0,26.0,18.0,40.0,46.0,79.0,37.0,31.0,22.0,58.0,13.0,8.0,3.0,9.0,"Society Hill CCD, Darlington County, South Carolina",031,93185,45
4356.0,342.0,327.0,189.0,228.0,203.0,244.0,164.0,199.0,115.0,358.0,463.0,571.0,242.0,254.0,214.0,243.0,"Hartsville CCD, Darlington County, South Carolina",031,91469,45
1702.0,100.0,177.0,112.0,163.0,106.0,126.0,92.0,98.0,40.0,176.0,99.0,132.0,142.0,69.0,66.0,4.0,"Andrews CCD, Georgetown County, South Carolina",043,90078,45
