C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
7409.0,6592.0,687.0,17.0,110.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"McCall CCD, Valley County, Idaho",085,92001,16
2217.0,2159.0,19.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"Cascade CCD, Valley County, Idaho",085,90552,16
41.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Stibnite CCD, Valley County, Idaho",085,93358,16
852.0,841.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mink Creek CCD, Franklin County, Idaho",041,92185,16
2560.0,2403.0,121.0,14.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Dayton CCD, Franklin County, Idaho",041,90713,16
2350.0,2295.0,9.0,0.0,13.0,0.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,"Council CCD, Adams County, Idaho",003,90667,16
1440.0,1336.0,18.0,70.0,0.0,0.0,7.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"New Meadows CCD, Adams County, Idaho",003,92484,16
8594.0,8142.0,229.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Preston CCD, Franklin County, Idaho",041,92921,16
311.0,302.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Leland CCD, Nez Perce County, Idaho",069,91909,16
4350.0,3912.0,54.0,6.0,0.0,0.0,8.0,10.0,15.0,4.0,6.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,25.0,"Nez Perce CCD, Nez Perce County, Idaho",069,92599,16
32914.0,31837.0,273.0,214.0,115.0,0.0,124.0,29.0,15.0,2.0,18.0,13.0,0.0,0.0,30.0,24.0,0.0,0.0,94.0,0.0,19.0,10.0,9.0,0.0,70.0,18.0,"Lewiston CCD, Nez Perce County, Idaho",069,91955,16
2183.0,1718.0,272.0,142.0,9.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Eden-Hazelton CCD, Jerome County, Idaho",053,90874,16
18121.0,13115.0,1930.0,2972.0,0.0,0.0,10.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,"Jerome CCD, Jerome County, Idaho",053,91748,16
668.0,251.0,177.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hunt CCD, Jerome County, Idaho",053,91587,16
73096.0,71198.0,667.0,224.0,217.0,25.0,112.0,0.0,138.0,44.0,142.0,45.0,57.0,11.0,0.0,5.0,14.0,7.0,29.0,0.0,0.0,9.0,0.0,0.0,152.0,0.0,"Coeur d'Alene CCD, Kootenai County, Idaho",055,90621,16
47512.0,45964.0,841.0,68.0,99.0,62.0,192.0,0.0,24.0,48.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,47.0,27.0,38.0,15.0,5.0,"Post Falls-Rathdrum CCD, Kootenai County, Idaho",055,92875,16
2599.0,2525.0,28.0,2.0,4.0,0.0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,0.0,"Worley CCD, Kootenai County, Idaho",055,93887,16
2867.0,2791.0,9.0,7.0,0.0,0.0,23.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,"Harrison CCD, Kootenai County, Idaho",055,91426,16
15037.0,14884.0,12.0,11.0,15.0,0.0,72.0,0.0,29.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Spirit Lake-Athol CCD, Kootenai County, Idaho",055,93312,16
678.0,667.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Craigmont CCD, Lewis County, Idaho",061,90690,16
559.0,555.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Winchester CCD, Lewis County, Idaho",061,93864,16
