B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
49032,24733.0,2910.0,2864.0,2668.0,1430.0,848.0,310.0,237.0,1349.0,1504.0,1908.0,1650.0,1405.0,1324.0,890.0,850.0,339.0,354.0,271.0,375.0,436.0,398.0,264.0,149.0,24299.0,2372.0,2883.0,2272.0,1411.0,765.0,409.0,221.0,1380.0,1354.0,1822.0,1919.0,1355.0,1195.0,1045.0,953.0,331.0,514.0,297.0,415.0,514.0,362.0,347.0,163.0,"Springville-Mapleton CCD, Utah County, Utah",049,93311,49
218501,109356.0,9204.0,9090.0,8995.0,5127.0,2848.0,1405.0,1656.0,4997.0,9055.0,8511.0,8211.0,6515.0,5745.0,6095.0,5824.0,2434.0,2830.0,1639.0,2247.0,2616.0,1925.0,1169.0,1218.0,109145.0,8877.0,8442.0,8805.0,4956.0,2690.0,1422.0,1969.0,4834.0,8586.0,8249.0,7667.0,6399.0,5867.0,6201.0,6212.0,2027.0,2844.0,1793.0,2377.0,3178.0,2205.0,1581.0,1964.0,"Ogden CCD, Weber County, Utah",057,92322,49
6817,3512.0,164.0,208.0,295.0,190.0,40.0,39.0,43.0,52.0,83.0,241.0,174.0,239.0,192.0,293.0,299.0,194.0,96.0,203.0,129.0,139.0,97.0,49.0,53.0,3305.0,149.0,234.0,253.0,203.0,64.0,25.0,16.0,39.0,154.0,146.0,192.0,194.0,151.0,212.0,357.0,134.0,233.0,118.0,96.0,143.0,77.0,76.0,39.0,"Ogden Valley CCD, Weber County, Utah",057,92365,49
8114,4093.0,429.0,332.0,397.0,260.0,91.0,33.0,8.0,122.0,216.0,217.0,286.0,165.0,207.0,270.0,274.0,87.0,174.0,82.0,82.0,186.0,74.0,61.0,40.0,4021.0,360.0,287.0,412.0,215.0,83.0,0.0,87.0,176.0,196.0,217.0,177.0,201.0,169.0,335.0,300.0,91.0,131.0,94.0,87.0,128.0,85.0,93.0,97.0,"Delta CCD, Millard County, Utah",027,90516,49
27,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Garrison-Sevier Lake CCD, Millard County, Utah",027,91075,49
4510,2356.0,112.0,235.0,191.0,84.0,59.0,7.0,55.0,135.0,80.0,146.0,110.0,132.0,152.0,97.0,184.0,34.0,63.0,56.0,101.0,104.0,85.0,36.0,98.0,2154.0,113.0,216.0,237.0,96.0,100.0,9.0,20.0,27.0,73.0,138.0,97.0,123.0,161.0,73.0,83.0,70.0,91.0,48.0,90.0,90.0,105.0,57.0,37.0,"Fillmore CCD, Millard County, Utah",027,90989,49
60487,30406.0,2563.0,3113.0,3113.0,1704.0,841.0,280.0,523.0,1069.0,1627.0,2209.0,2626.0,2034.0,1717.0,1700.0,1496.0,504.0,815.0,437.0,494.0,707.0,463.0,207.0,164.0,30081.0,2508.0,3020.0,2825.0,1732.0,862.0,380.0,375.0,994.0,1710.0,2350.0,2679.0,1965.0,1779.0,1447.0,1320.0,738.0,648.0,426.0,618.0,613.0,534.0,308.0,250.0,"Tooele-Grantsville CCD, Tooele County, Utah",045,93397,49
1866,1007.0,121.0,97.0,77.0,71.0,34.0,11.0,14.0,76.0,48.0,45.0,59.0,27.0,156.0,19.0,53.0,20.0,49.0,0.0,11.0,13.0,6.0,0.0,0.0,859.0,70.0,46.0,107.0,50.0,33.0,0.0,38.0,87.0,36.0,54.0,61.0,64.0,27.0,37.0,55.0,8.0,21.0,13.0,0.0,11.0,14.0,23.0,4.0,"Dugway-Wendover CCD, Tooele County, Utah",045,90602,49
27969,13903.0,972.0,1270.0,1274.0,894.0,386.0,195.0,106.0,417.0,761.0,554.0,836.0,1016.0,682.0,611.0,630.0,289.0,486.0,334.0,405.0,590.0,596.0,412.0,187.0,14066.0,958.0,1054.0,1303.0,865.0,358.0,189.0,117.0,318.0,902.0,648.0,985.0,821.0,497.0,718.0,713.0,382.0,544.0,363.0,563.0,805.0,377.0,275.0,311.0,"Hurricane CCD, Washington County, Utah",053,91462,49
7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"North Duchesne CCD, Duchesne County, Utah",013,92279,49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"South Duchesne CCD, Duchesne County, Utah",013,93225,49
4471,2392.0,222.0,140.0,220.0,133.0,56.0,11.0,41.0,97.0,103.0,164.0,131.0,164.0,104.0,92.0,124.0,76.0,98.0,46.0,72.0,100.0,88.0,72.0,38.0,2079.0,144.0,165.0,182.0,149.0,16.0,25.0,7.0,69.0,99.0,119.0,144.0,122.0,120.0,105.0,157.0,50.0,48.0,39.0,100.0,89.0,63.0,52.0,15.0,"Duchesne CCD, Duchesne County, Utah",013,90559,49
15781,7924.0,856.0,740.0,847.0,409.0,198.0,95.0,87.0,262.0,600.0,595.0,595.0,470.0,341.0,437.0,396.0,205.0,172.0,101.0,134.0,154.0,103.0,58.0,69.0,7857.0,869.0,796.0,760.0,362.0,209.0,117.0,137.0,252.0,574.0,585.0,542.0,412.0,354.0,425.0,392.0,132.0,179.0,113.0,93.0,191.0,108.0,154.0,101.0,"Roosevelt CCD, Duchesne County, Utah",013,92881,49
3082,1492.0,150.0,116.0,122.0,84.0,50.0,37.0,25.0,75.0,89.0,117.0,62.0,135.0,95.0,102.0,41.0,28.0,39.0,20.0,24.0,59.0,8.0,9.0,5.0,1590.0,149.0,115.0,167.0,89.0,66.0,43.0,28.0,58.0,98.0,97.0,102.0,93.0,103.0,56.0,65.0,25.0,63.0,22.0,37.0,25.0,44.0,28.0,17.0,"Oljato CCD, San Juan County, Utah",037,92408,49
4536,2311.0,136.0,212.0,321.0,214.0,75.0,18.0,59.0,133.0,108.0,96.0,120.0,151.0,106.0,133.0,100.0,49.0,39.0,52.0,60.0,23.0,48.0,26.0,32.0,2225.0,137.0,232.0,198.0,140.0,95.0,10.0,10.0,62.0,133.0,101.0,129.0,125.0,71.0,187.0,120.0,83.0,75.0,52.0,92.0,36.0,56.0,17.0,64.0,"Blanding CCD, San Juan County, Utah",037,90215,49
4013,2016.0,164.0,176.0,216.0,39.0,70.0,0.0,51.0,48.0,111.0,131.0,83.0,101.0,115.0,104.0,173.0,47.0,80.0,24.0,87.0,80.0,78.0,8.0,30.0,1997.0,192.0,189.0,109.0,70.0,58.0,6.0,59.0,50.0,125.0,118.0,64.0,127.0,120.0,69.0,112.0,87.0,91.0,63.0,78.0,53.0,35.0,32.0,90.0,"Monticello CCD, San Juan County, Utah",037,92021,49
4300,2178.0,55.0,84.0,121.0,90.0,17.0,8.0,41.0,129.0,87.0,115.0,182.0,113.0,148.0,187.0,231.0,47.0,129.0,85.0,107.0,122.0,43.0,19.0,18.0,2122.0,113.0,105.0,151.0,151.0,101.0,20.0,19.0,29.0,28.0,146.0,76.0,163.0,153.0,191.0,163.0,93.0,64.0,69.0,72.0,94.0,73.0,9.0,39.0,"Cottonwood CCD, Salt Lake County, Utah",035,90473,49
994291,500676.0,39715.0,39009.0,39008.0,21548.0,12549.0,6192.0,7296.0,23619.0,43648.0,42680.0,39831.0,32370.0,28933.0,27695.0,25711.0,10661.0,13749.0,7823.0,9441.0,11920.0,7557.0,4948.0,4773.0,493615.0,38377.0,38206.0,34834.0,20229.0,11715.0,6263.0,6758.0,22736.0,42599.0,39854.0,36142.0,31482.0,27916.0,28030.0,26684.0,10189.0,14941.0,8239.0,10942.0,13376.0,9867.0,6843.0,7393.0,"Salt Lake City CCD, Salt Lake County, Utah",035,93010,49
9172,4527.0,129.0,312.0,399.0,296.0,62.0,48.0,26.0,101.0,105.0,153.0,252.0,347.0,306.0,369.0,364.0,188.0,271.0,98.0,96.0,182.0,137.0,172.0,114.0,4645.0,148.0,311.0,462.0,214.0,75.0,43.0,43.0,203.0,73.0,226.0,228.0,317.0,269.0,500.0,359.0,182.0,157.0,119.0,72.0,223.0,146.0,105.0,170.0,"Emigration CCD, Salt Lake County, Utah",035,90774,49
30880,15239.0,1363.0,1688.0,1337.0,1000.0,604.0,103.0,124.0,520.0,1474.0,1184.0,1465.0,884.0,671.0,742.0,645.0,378.0,308.0,148.0,245.0,100.0,120.0,73.0,63.0,15641.0,1322.0,1443.0,1237.0,787.0,350.0,224.0,267.0,539.0,1258.0,1631.0,1519.0,792.0,775.0,698.0,1080.0,237.0,312.0,142.0,200.0,251.0,273.0,179.0,125.0,"Magna CCD, Salt Lake County, Utah",035,91806,49
