B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
981.0,6.0,30.0,35.0,11.0,27.0,23.0,26.0,38.0,47.0,80.0,115.0,140.0,168.0,104.0,71.0,60.0,"Knox town, Albany County, New York",001,40002,36
41245.0,4478.0,3534.0,2654.0,2490.0,1893.0,2264.0,1804.0,1941.0,1381.0,3021.0,4130.0,3979.0,2881.0,1496.0,1894.0,1405.0,"Albany city, Albany County, New York",001,01000,36
7456.0,591.0,452.0,436.0,540.0,233.0,301.0,421.0,359.0,390.0,811.0,911.0,900.0,438.0,258.0,331.0,84.0,"Cohoes city, Albany County, New York",001,16749,36
4586.0,211.0,376.0,296.0,325.0,207.0,249.0,229.0,222.0,183.0,545.0,530.0,690.0,281.0,113.0,87.0,42.0,"Watervliet city, Albany County, New York",001,78674,36
1109.0,8.0,9.0,47.0,37.0,51.0,34.0,44.0,61.0,52.0,109.0,118.0,112.0,156.0,123.0,98.0,50.0,"Berne town, Albany County, New York",001,06211,36
13729.0,383.0,262.0,258.0,298.0,415.0,476.0,357.0,491.0,408.0,898.0,1045.0,1805.0,1575.0,1355.0,1570.0,2133.0,"Bethlehem town, Albany County, New York",001,06354,36
32317.0,800.0,918.0,1084.0,1258.0,1326.0,1429.0,1360.0,1425.0,1071.0,2588.0,3076.0,4747.0,3547.0,2755.0,2661.0,2272.0,"Colonie town, Albany County, New York",001,17343,36
1206.0,62.0,29.0,58.0,59.0,95.0,75.0,96.0,96.0,34.0,128.0,138.0,164.0,66.0,41.0,43.0,22.0,"Green Island town, Albany County, New York",001,30532,36
14296.0,365.0,334.0,353.0,320.0,297.0,714.0,706.0,756.0,559.0,1033.0,1407.0,1515.0,1772.0,1277.0,1539.0,1349.0,"Guilderland town, Albany County, New York",001,31104,36
1690.0,92.0,97.0,78.0,119.0,86.0,56.0,80.0,103.0,53.0,141.0,198.0,231.0,190.0,67.0,45.0,54.0,"Chautauqua town, Chautauqua County, New York",013,14069,36
914.0,31.0,10.0,70.0,29.0,34.0,51.0,64.0,50.0,50.0,87.0,123.0,96.0,103.0,54.0,33.0,29.0,"North Harmony town, Chautauqua County, New York",013,52155,36
5008.0,328.0,260.0,277.0,298.0,362.0,164.0,227.0,224.0,341.0,496.0,430.0,635.0,339.0,221.0,277.0,129.0,"Pomfret town, Chautauqua County, New York",013,58981,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Chautauqua County, New York",013,00000,36
5185.0,573.0,434.0,431.0,466.0,397.0,308.0,273.0,218.0,344.0,438.0,406.0,471.0,210.0,145.0,55.0,16.0,"Dunkirk city, Chautauqua County, New York",013,21105,36
544.0,29.0,33.0,50.0,34.0,31.0,34.0,31.0,49.0,18.0,35.0,67.0,67.0,18.0,21.0,18.0,9.0,"Sherman town, Chautauqua County, New York",013,66960,36
385.0,35.0,8.0,25.0,23.0,28.0,34.0,27.0,25.0,12.0,41.0,50.0,42.0,19.0,9.0,6.0,1.0,"Villenova town, Chautauqua County, New York",013,77530,36
395.0,13.0,6.0,10.0,24.0,53.0,14.0,28.0,31.0,42.0,26.0,35.0,37.0,35.0,20.0,9.0,12.0,"Mina town, Chautauqua County, New York",013,47592,36
1644.0,130.0,157.0,88.0,120.0,87.0,87.0,102.0,73.0,80.0,169.0,230.0,159.0,74.0,28.0,29.0,31.0,"Portland town, Chautauqua County, New York",013,59421,36
1471.0,63.0,52.0,125.0,15.0,99.0,121.0,192.0,98.0,96.0,0.0,171.0,200.0,137.0,46.0,41.0,15.0,"Carroll town, Chautauqua County, New York",013,12639,36
665.0,31.0,58.0,59.0,34.0,40.0,38.0,20.0,31.0,52.0,46.0,69.0,96.0,50.0,34.0,7.0,0.0,"Charlotte town, Chautauqua County, New York",013,13860,36
824.0,57.0,30.0,50.0,70.0,53.0,44.0,25.0,26.0,20.0,95.0,73.0,156.0,75.0,32.0,16.0,2.0,"Stockton town, Chautauqua County, New York",013,71476,36
2004.0,185.0,193.0,78.0,55.0,200.0,74.0,79.0,120.0,70.0,183.0,228.0,272.0,102.0,93.0,40.0,32.0,"Westfield town, Chautauqua County, New York",013,79950,36
454.0,7.0,36.0,30.0,18.0,9.0,22.0,16.0,41.0,3.0,50.0,68.0,55.0,56.0,18.0,25.0,0.0,"Arkwright town, Chautauqua County, New York",013,02605,36
12788.0,1689.0,1535.0,1206.0,953.0,714.0,689.0,643.0,659.0,547.0,972.0,1094.0,1209.0,521.0,163.0,120.0,74.0,"Jamestown city, Chautauqua County, New York",013,38264,36
971.0,68.0,55.0,68.0,66.0,81.0,52.0,30.0,70.0,50.0,119.0,105.0,108.0,37.0,26.0,19.0,17.0,"Ripley town, Chautauqua County, New York",013,61885,36
3215.0,98.0,204.0,207.0,155.0,193.0,187.0,173.0,130.0,155.0,271.0,303.0,467.0,277.0,157.0,110.0,128.0,"Busti town, Chautauqua County, New York",013,11451,36
3650.0,223.0,175.0,234.0,213.0,127.0,201.0,220.0,208.0,152.0,349.0,534.0,349.0,368.0,199.0,51.0,47.0,"Ellicott town, Chautauqua County, New York",013,23998,36
1874.0,119.0,42.0,158.0,99.0,152.0,95.0,105.0,90.0,72.0,113.0,159.0,205.0,194.0,147.0,87.0,37.0,"Ellery town, Chautauqua County, New York",013,23976,36
