B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
496.0,30.0,1.0,4.0,15.0,5.0,1.0,1.0,16.0,40.0,30.0,121.0,85.0,41.0,37.0,68.0,1.0,"Salina township, Kankakee County, Illinois",091,67262,17
1346.0,66.0,56.0,46.0,111.0,30.0,66.0,93.0,62.0,10.0,148.0,237.0,227.0,107.0,49.0,18.0,20.0,"Momence township, Kankakee County, Illinois",091,49906,17
881.0,25.0,33.0,70.0,44.0,25.0,40.0,33.0,78.0,42.0,85.0,144.0,152.0,64.0,15.0,28.0,3.0,"St. Anne township, Kankakee County, Illinois",091,66651,17
303.0,26.0,0.0,0.0,5.0,0.0,21.0,15.0,5.0,7.0,33.0,22.0,63.0,29.0,46.0,16.0,15.0,"Rockville township, Kankakee County, Illinois",091,65195,17
1872.0,109.0,29.0,24.0,60.0,56.0,54.0,75.0,81.0,21.0,164.0,179.0,292.0,237.0,190.0,167.0,134.0,"Limestone township, Kankakee County, Illinois",091,43497,17
777.0,30.0,29.0,22.0,40.0,31.0,47.0,4.0,32.0,22.0,71.0,109.0,141.0,85.0,28.0,69.0,17.0,"Otto township, Kankakee County, Illinois",091,57017,17
288.0,6.0,6.0,7.0,17.0,13.0,16.0,29.0,11.0,7.0,4.0,46.0,42.0,56.0,21.0,5.0,2.0,"Sumner township, Kankakee County, Illinois",091,73690,17
14045.0,563.0,666.0,492.0,782.0,480.0,646.0,583.0,552.0,586.0,1435.0,1736.0,2059.0,1528.0,867.0,514.0,556.0,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
574.0,27.0,10.0,16.0,19.0,8.0,12.0,23.0,39.0,15.0,40.0,122.0,77.0,38.0,33.0,31.0,64.0,"Essex township, Kankakee County, Illinois",091,24465,17
4118.0,173.0,110.0,215.0,267.0,93.0,283.0,211.0,241.0,54.0,390.0,411.0,672.0,253.0,341.0,283.0,121.0,"Manteno township, Kankakee County, Illinois",091,46513,17
1173.0,59.0,8.0,52.0,74.0,58.0,42.0,25.0,69.0,37.0,120.0,215.0,166.0,136.0,79.0,13.0,20.0,"Ganeer township, Kankakee County, Illinois",091,28456,17
9423.0,1452.0,677.0,699.0,631.0,470.0,632.0,323.0,379.0,550.0,656.0,1047.0,946.0,463.0,252.0,157.0,89.0,"Kankakee township, Kankakee County, Illinois",091,38947,17
377.0,2.0,11.0,7.0,10.0,8.0,15.0,25.0,15.0,11.0,38.0,44.0,122.0,47.0,14.0,4.0,4.0,"Norton township, Kankakee County, Illinois",091,54352,17
808.0,179.0,83.0,69.0,37.0,74.0,43.0,49.0,31.0,84.0,20.0,60.0,35.0,0.0,20.0,22.0,2.0,"Pembroke township, Kankakee County, Illinois",091,58538,17
1958.0,95.0,66.0,62.0,63.0,55.0,86.0,120.0,161.0,146.0,162.0,301.0,245.0,171.0,105.0,58.0,62.0,"Aroma township, Kankakee County, Illinois",091,02245,17
153.0,10.0,12.0,8.0,3.0,2.0,12.0,7.0,21.0,11.0,10.0,22.0,7.0,18.0,2.0,3.0,5.0,"Abington township, Mercer County, Illinois",131,00126,17
184.0,11.0,3.0,8.0,11.0,10.0,6.0,4.0,4.0,24.0,13.0,21.0,36.0,19.0,2.0,2.0,10.0,"North Henderson township, Mercer County, Illinois",131,53806,17
853.0,29.0,3.0,17.0,24.0,42.0,7.0,25.0,42.0,51.0,81.0,167.0,195.0,65.0,34.0,40.0,31.0,"Richland Grove township, Mercer County, Illinois",131,63628,17
