B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Green Valley town, Shawano County, Wisconsin",115,31500,55
2.0,2.0,0.0,"Lessor town, Shawano County, Wisconsin",115,43675,55
0.0,0.0,0.0,"Lyndon town, Sheboygan County, Wisconsin",117,46575,55
37.0,13.0,24.0,"Random Lake village, Sheboygan County, Wisconsin",117,66200,55
31.0,22.0,9.0,"Sheboygan Falls town, Sheboygan County, Wisconsin",117,73050,55
26.0,4.0,22.0,"Oostburg village, Sheboygan County, Wisconsin",117,60100,55
2.0,2.0,0.0,"Sherman town, Sheboygan County, Wisconsin",117,73425,55
0.0,0.0,0.0,"Howards Grove village, Sheboygan County, Wisconsin",117,36025,55
1104.0,603.0,501.0,"Sheboygan city, Sheboygan County, Wisconsin",117,72975,55
14.0,14.0,0.0,"Lima town, Sheboygan County, Wisconsin",117,44150,55
7.0,7.0,0.0,"Holland town, Sheboygan County, Wisconsin",117,35375,55
2.0,2.0,0.0,"Mitchell town, Sheboygan County, Wisconsin",117,53375,55
2.0,2.0,0.0,"Mosel town, Sheboygan County, Wisconsin",117,54475,55
94.0,10.0,84.0,"Sheboygan Falls city, Sheboygan County, Wisconsin",117,73025,55
4.0,4.0,0.0,"Cedar Grove village, Sheboygan County, Wisconsin",117,13475,55
3.0,0.0,3.0,"Russell town, Sheboygan County, Wisconsin",117,70350,55
13.0,13.0,0.0,"Scott town, Sheboygan County, Wisconsin",117,72350,55
0.0,0.0,0.0,"County subdivisions not defined, Sheboygan County, Wisconsin",117,00000,55
7.0,7.0,0.0,"Adell village, Sheboygan County, Wisconsin",117,00450,55
11.0,5.0,6.0,"Herman town, Sheboygan County, Wisconsin",117,34050,55
4.0,4.0,0.0,"Plymouth town, Sheboygan County, Wisconsin",117,63725,55
83.0,62.0,21.0,"Sheboygan town, Sheboygan County, Wisconsin",117,73000,55
16.0,7.0,9.0,"Wilson town, Sheboygan County, Wisconsin",117,87500,55
116.0,61.0,55.0,"Plymouth city, Sheboygan County, Wisconsin",117,63700,55
3.0,3.0,0.0,"Elkhart Lake village, Sheboygan County, Wisconsin",117,23275,55
0.0,0.0,0.0,"Kellnersville village, Manitowoc County, Wisconsin",071,39000,55
22.0,0.0,22.0,"Mishicot town, Manitowoc County, Wisconsin",071,53350,55
0.0,0.0,0.0,"Newton town, Manitowoc County, Wisconsin",071,57200,55
7.0,2.0,5.0,"Schleswig town, Manitowoc County, Wisconsin",071,72075,55
8.0,8.0,0.0,"Kossuth town, Manitowoc County, Wisconsin",071,40425,55
168.0,126.0,42.0,"Two Rivers city, Manitowoc County, Wisconsin",071,81325,55
6.0,3.0,3.0,"Whitelaw village, Manitowoc County, Wisconsin",071,86775,55
41.0,30.0,11.0,"Cleveland village, Manitowoc County, Wisconsin",071,15400,55
445.0,110.0,335.0,"Manitowoc city, Manitowoc County, Wisconsin",071,48500,55
0.0,0.0,0.0,"Maple Grove town, Manitowoc County, Wisconsin",071,48875,55
0.0,0.0,0.0,"Maribel village, Manitowoc County, Wisconsin",071,49250,55
12.0,0.0,12.0,"Mishicot village, Manitowoc County, Wisconsin",071,53325,55
2.0,2.0,0.0,"Cato town, Manitowoc County, Wisconsin",071,13237,55
0.0,0.0,0.0,"County subdivisions not defined, Manitowoc County, Wisconsin",071,00000,55
5.0,5.0,0.0,"Manitowoc Rapids town, Manitowoc County, Wisconsin",071,48575,55
19.0,9.0,10.0,"Reedsville village, Manitowoc County, Wisconsin",071,66875,55
3.0,3.0,0.0,"Rockland town, Manitowoc County, Wisconsin",071,68925,55
0.0,0.0,0.0,"Rudolph town, Wood County, Wisconsin",141,70025,55
3.0,0.0,3.0,"Arpin village, Wood County, Wisconsin",141,03025,55
0.0,0.0,0.0,"Cranmoor town, Wood County, Wisconsin",141,17525,55
0.0,0.0,0.0,"Dexter town, Wood County, Wisconsin",141,20075,55
0.0,0.0,0.0,"Hansen town, Wood County, Wisconsin",141,32575,55
54.0,45.0,9.0,"Port Edwards town, Wood County, Wisconsin",141,64200,55
0.0,0.0,0.0,"Sigel town, Wood County, Wisconsin",141,73900,55
94.0,19.0,75.0,"Wisconsin Rapids city, Wood County, Wisconsin",141,88200,55
18.0,0.0,18.0,"Grand Rapids town, Wood County, Wisconsin",141,30125,55
3.0,3.0,0.0,"Jacobs town, Ashland County, Wisconsin",003,37775,55
0.0,0.0,0.0,"Marengo town, Ashland County, Wisconsin",003,49200,55
0.0,0.0,0.0,"Gingles town, Ashland County, Wisconsin",003,29250,55
3.0,3.0,0.0,"Gordon town, Ashland County, Wisconsin",003,29875,55
2.0,2.0,0.0,"La Pointe town, Ashland County, Wisconsin",003,42562,55
0.0,0.0,0.0,"County subdivisions not defined, Ashland County, Wisconsin",003,00000,55
4.0,4.0,0.0,"Agenda town, Ashland County, Wisconsin",003,00550,55
0.0,0.0,0.0,"Ashland town, Ashland County, Wisconsin",003,03250,55
0.0,0.0,0.0,"Peeksville town, Ashland County, Wisconsin",003,61600,55
20.0,5.0,15.0,"Sanborn town, Ashland County, Wisconsin",003,71350,55
0.0,0.0,0.0,"Shanagolden town, Ashland County, Wisconsin",003,72825,55
2.0,0.0,2.0,"Butternut village, Ashland County, Wisconsin",003,11525,55
11.0,0.0,11.0,"Mellen city, Ashland County, Wisconsin",003,50700,55
35.0,0.0,35.0,"Ashland city, Ashland County, Wisconsin",003,03225,55
2.0,0.0,2.0,"Chippewa town, Ashland County, Wisconsin",003,14550,55
8.0,8.0,0.0,"Morse town, Ashland County, Wisconsin",003,54400,55
0.0,0.0,0.0,"White River town, Ashland County, Wisconsin",003,86850,55
11.0,11.0,0.0,"Brothertown town, Calumet County, Wisconsin",015,10350,55
