B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
1021.0,22.0,28.0,13.0,58.0,12.0,82.0,65.0,79.0,72.0,97.0,139.0,130.0,98.0,45.0,64.0,17.0,"Coweta CCD, Wagoner County, Oklahoma",145,90676,40
54.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,8.0,27.0,2.0,0.0,0.0,0.0,0.0,"Wagoner CCD, Wagoner County, Oklahoma",145,93497,40
18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,"South Wagoner CCD, Wagoner County, Oklahoma",145,93120,40
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,"Carmen CCD, Alfalfa County, Oklahoma",003,90429,40
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North Alfalfa CCD, Alfalfa County, Oklahoma",003,92015,40
20.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"Cherokee CCD, Alfalfa County, Oklahoma",003,90546,40
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Helena CCD, Alfalfa County, Oklahoma",003,91313,40
56.0,3.0,2.0,0.0,22.0,5.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,"South Woods CCD, Woods County, Oklahoma",151,93198,40
75.0,0.0,25.0,5.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,"Alva CCD, Woods County, Oklahoma",151,90091,40
5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"West Woods CCD, Woods County, Oklahoma",151,93809,40
19.0,0.0,0.0,7.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Cyril-Cement CCD, Caddo County, Oklahoma",015,90728,40
36.0,3.0,0.0,4.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,"Hydro CCD, Caddo County, Oklahoma",015,91456,40
178.0,8.0,7.0,12.0,11.0,1.0,10.0,10.0,20.0,9.0,15.0,30.0,39.0,0.0,2.0,3.0,1.0,"Binger-Hinton CCD, Caddo County, Oklahoma",015,90247,40
21.0,0.0,2.0,3.0,4.0,5.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fort Cobb CCD, Caddo County, Oklahoma",015,91131,40
254.0,36.0,44.0,6.0,32.0,9.0,9.0,22.0,10.0,16.0,16.0,36.0,4.0,5.0,0.0,7.0,2.0,"Anadarko CCD, Caddo County, Oklahoma",015,90117,40
34.0,9.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,"Apache CCD, Caddo County, Oklahoma",015,90143,40
120.0,8.0,4.0,29.0,20.0,4.0,9.0,6.0,2.0,6.0,0.0,9.0,12.0,0.0,4.0,7.0,0.0,"Carnegie CCD, Caddo County, Oklahoma",015,90442,40
65.0,0.0,17.0,0.0,0.0,5.0,6.0,0.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lexington CCD, Cleveland County, Oklahoma",027,91677,40
116.0,20.0,10.0,0.0,14.0,30.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,"East Cleveland CCD, Cleveland County, Oklahoma",027,90858,40
2627.0,318.0,115.0,149.0,146.0,64.0,138.0,85.0,174.0,287.0,222.0,268.0,235.0,222.0,76.0,73.0,55.0,"Norman CCD, Cleveland County, Oklahoma",027,91989,40
3275.0,66.0,98.0,52.0,250.0,137.0,65.0,199.0,83.0,288.0,372.0,439.0,609.0,203.0,156.0,113.0,145.0,"North Cleveland CCD, Cleveland County, Oklahoma",027,92093,40
85.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,18.0,0.0,0.0,0.0,0.0,"Noble CCD, Cleveland County, Oklahoma",027,91976,40
21.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"Webbers Falls CCD, Muskogee County, Oklahoma",101,93627,40
43.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,21.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,"Muskogee Southwest CCD, Muskogee County, Oklahoma",101,91937,40
