B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
60498.0,46467.0,2377.0,59.0,1095.0,43.0,47.0,1508.0,8902.0,"Bristol town, Hartford County, Connecticut",003,08490,09
25596.0,20439.0,506.0,80.0,2869.0,0.0,60.0,364.0,1278.0,"Farmington town, Hartford County, Connecticut",003,27600,09
43817.0,40264.0,531.0,11.0,1169.0,0.0,0.0,269.0,1573.0,"Southington town, Hartford County, Connecticut",003,70550,09
5220.0,4445.0,110.0,0.0,141.0,0.0,13.0,197.0,314.0,"East Granby town, Hartford County, Connecticut",003,22070,09
18381.0,15182.0,53.0,0.0,2315.0,0.0,44.0,203.0,584.0,"Avon town, Hartford County, Connecticut",003,02060,09
26395.0,20862.0,1139.0,10.0,1205.0,0.0,40.0,549.0,2590.0,"Wethersfield town, Hartford County, Connecticut",003,84900,09
20584.0,18781.0,194.0,0.0,351.0,0.0,16.0,212.0,1030.0,"Berlin town, Hartford County, Connecticut",003,04300,09
9598.0,8942.0,57.0,0.0,238.0,0.0,0.0,80.0,281.0,"Burlington town, Hartford County, Connecticut",003,10100,09
11323.0,10768.0,51.0,0.0,164.0,0.0,55.0,187.0,98.0,"Granby town, Hartford County, Connecticut",003,32640,09
2083.0,1913.0,7.0,87.0,18.0,0.0,3.0,11.0,44.0,"Hartland town, Hartford County, Connecticut",003,37140,09
50812.0,17498.0,12456.0,24.0,2113.0,0.0,85.0,1305.0,17331.0,"East Hartford town, Hartford County, Connecticut",003,22630,09
124390.0,18404.0,43870.0,60.0,3639.0,0.0,749.0,2582.0,55086.0,"Hartford town, Hartford County, Connecticut",003,37070,09
58172.0,33602.0,7999.0,137.0,6486.0,0.0,228.0,1828.0,7892.0,"Manchester town, Hartford County, Connecticut",003,44700,09
20848.0,6439.0,12192.0,13.0,334.0,0.0,72.0,726.0,1072.0,"Bloomfield town, Hartford County, Connecticut",003,05910,09
34688.0,29317.0,513.0,74.0,2509.0,0.0,104.0,491.0,1680.0,"Glastonbury town, Hartford County, Connecticut",003,31240,09
15675.0,12576.0,1275.0,9.0,337.0,0.0,15.0,243.0,1220.0,"Suffield town, Hartford County, Connecticut",003,74540,09
6420.0,6018.0,68.0,11.0,51.0,0.0,0.0,18.0,254.0,"Marlborough town, Hartford County, Connecticut",003,45820,09
20015.0,13915.0,854.0,0.0,3291.0,0.0,80.0,634.0,1241.0,"Rocky Hill town, Hartford County, Connecticut",003,65370,09
2365.0,2195.0,0.0,0.0,0.0,0.0,0.0,26.0,144.0,"Chaplin town, Windham County, Connecticut",015,13810,09
5074.0,4923.0,52.0,0.0,39.0,0.0,0.0,40.0,20.0,"Canterbury town, Windham County, Connecticut",015,12130,09
