B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
1864.0,1706.0,20.0,32.0,20.0,0.0,0.0,32.0,54.0,"Stevenson CCD, Skamania County, Washington",059,93312,53
1089.0,974.0,2.0,10.0,0.0,0.0,0.0,15.0,88.0,"Rosalia CCD, Whitman County, Washington",075,92848,53
1181.0,1148.0,0.0,0.0,2.0,0.0,0.0,28.0,3.0,"Uniontown CCD, Whitman County, Washington",075,93536,53
5103.0,4825.0,49.0,12.0,49.0,0.0,0.0,41.0,127.0,"Colfax-Palouse CCD, Whitman County, Washington",075,90656,53
34625.0,25702.0,868.0,153.0,3709.0,64.0,17.0,1791.0,2321.0,"Pullman CCD, Whitman County, Washington",075,92656,53
1729.0,1642.0,10.0,5.0,6.0,0.0,2.0,18.0,46.0,"Rock Lake CCD, Whitman County, Washington",075,92832,53
1077.0,932.0,12.0,6.0,12.0,0.0,0.0,15.0,100.0,"Tekoa CCD, Whitman County, Washington",075,93424,53
143735.0,81021.0,1440.0,1663.0,1353.0,109.0,73.0,3400.0,54676.0,"Yakima CCD, Yakima County, Washington",077,93904,53
2902.0,344.0,0.0,10.0,14.0,0.0,0.0,14.0,2520.0,"Mabton CCD, Yakima County, Washington",077,91808,53
54746.0,12862.0,69.0,321.0,210.0,0.0,0.0,371.0,40913.0,"Sunnyside CCD, Yakima County, Washington",077,93344,53
8996.0,4919.0,52.0,201.0,42.0,0.0,0.0,280.0,3502.0,"Northeast Yakima CCD, Yakima County, Washington",077,92192,53
3461.0,928.0,11.0,1670.0,60.0,6.0,0.0,218.0,568.0,"South Yakima CCD, Yakima County, Washington",077,93184,53
27105.0,3756.0,193.0,4991.0,552.0,34.0,29.0,424.0,17126.0,"Toppenish-Wapato CCD, Yakima County, Washington",077,93472,53
7334.0,6144.0,53.0,147.0,18.0,10.0,7.0,180.0,775.0,"Northwest Yakima CCD, Yakima County, Washington",077,92240,53
2545.0,909.0,14.0,1300.0,7.0,4.0,0.0,170.0,141.0,"Clallam Bay-Neah Bay CCD, Clallam County, Washington",009,90576,53
18973.0,16372.0,157.0,94.0,483.0,0.0,223.0,448.0,1196.0,"Sequim CCD, Clallam County, Washington",009,92960,53
7902.0,6089.0,29.0,15.0,45.0,0.0,0.0,50.0,1674.0,"White Salmon CCD, Klickitat County, Washington",039,93744,53
7353.0,6299.0,8.0,512.0,25.0,0.0,0.0,120.0,389.0,"Goldendale CCD, Klickitat County, Washington",039,91264,53
2959.0,2641.0,0.0,27.0,23.0,0.0,0.0,106.0,162.0,"Ethel CCD, Lewis County, Washington",041,91088,53
4551.0,4409.0,0.0,40.0,0.0,0.0,0.0,84.0,18.0,"Mineral CCD, Lewis County, Washington",041,91984,53
