B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
1565.0,215.0,197.0,132.0,82.0,87.0,95.0,64.0,128.0,46.0,122.0,100.0,145.0,65.0,40.0,23.0,24.0,"Snowflake CCD, Navajo County, Arizona",017,93213,04
16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,"Hopi CCD, Navajo County, Arizona",017,91632,04
17.0,9.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Indian Wells CCD, Navajo County, Arizona",017,91785,04
1378.0,106.0,114.0,83.0,233.0,55.0,20.0,62.0,26.0,100.0,99.0,99.0,163.0,43.0,44.0,131.0,0.0,"Florence CCD, Pinal County, Arizona",021,91224,04
8179.0,600.0,200.0,224.0,520.0,342.0,473.0,455.0,313.0,418.0,1118.0,834.0,1065.0,801.0,376.0,357.0,83.0,"North Pinal CCD, Pinal County, Arizona",021,92346,04
1802.0,139.0,195.0,152.0,28.0,224.0,114.0,183.0,103.0,40.0,163.0,209.0,127.0,53.0,41.0,31.0,0.0,"Coolidge CCD, Pinal County, Arizona",021,90816,04
3641.0,246.0,109.0,149.0,36.0,115.0,279.0,269.0,238.0,169.0,341.0,276.0,494.0,486.0,129.0,288.0,17.0,"Maricopa-Stanfield CCD, Pinal County, Arizona",021,92091,04
52.0,37.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,"Gila River CCD, Pinal County, Arizona",021,91428,04
7068.0,816.0,365.0,374.0,393.0,386.0,564.0,571.0,284.0,373.0,717.0,660.0,844.0,326.0,182.0,142.0,71.0,"Casa Grande CCD, Pinal County, Arizona",021,90510,04
1772.0,250.0,44.0,110.0,92.0,103.0,127.0,202.0,104.0,54.0,183.0,200.0,166.0,97.0,10.0,0.0,30.0,"San Manuel CCD, Pinal County, Arizona",021,93162,04
2118.0,185.0,209.0,183.0,140.0,188.0,77.0,53.0,116.0,84.0,214.0,98.0,240.0,147.0,41.0,133.0,10.0,"Kingman CCD, Mohave County, Arizona",015,91885,04
222.0,0.0,5.0,22.0,0.0,68.0,0.0,11.0,0.0,0.0,11.0,31.0,20.0,31.0,0.0,0.0,23.0,"Ash Fork CCD, Yavapai County, Arizona",025,90204,04
52.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,16.0,0.0,"Tonto National Forest CCD, Maricopa County, Arizona",013,93472,04
1288.0,91.0,15.0,62.0,35.0,63.0,62.0,80.0,96.0,74.0,160.0,179.0,231.0,0.0,28.0,32.0,80.0,"Camp Verde-Sedona CCD, Yavapai County, Arizona",025,90484,04
4817.0,415.0,289.0,495.0,140.0,278.0,265.0,263.0,212.0,228.0,373.0,439.0,523.0,424.0,198.0,156.0,119.0,"Flagstaff CCD, Coconino County, Arizona",005,91198,04
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,"Kaibab Plateau CCD, Coconino County, Arizona",005,91838,04
4114.0,340.0,168.0,246.0,414.0,451.0,409.0,159.0,263.0,207.0,496.0,305.0,405.0,179.0,16.0,30.0,26.0,"Bullhead City CCD, Mohave County, Arizona",015,90470,04
368.0,129.0,2.0,56.0,0.0,0.0,0.0,61.0,0.0,0.0,118.0,0.0,0.0,0.0,2.0,0.0,0.0,"North Mohave CCD, Mohave County, Arizona",015,92340,04
2429.0,67.0,87.0,90.0,55.0,228.0,159.0,166.0,229.0,70.0,432.0,282.0,282.0,101.0,120.0,0.0,61.0,"Lake Havasu City CCD, Mohave County, Arizona",015,91964,04
96.0,18.0,0.0,0.0,0.0,0.0,27.0,0.0,7.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,15.0,"Fort Apache CCD, Navajo County, Arizona",017,91279,04
1238.0,200.0,136.0,99.0,80.0,109.0,26.0,68.0,56.0,48.0,68.0,127.0,93.0,62.0,30.0,12.0,24.0,"Winslow-Holbrook CCD, Navajo County, Arizona",017,93952,04
18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kayenta CCD, Navajo County, Arizona",017,91860,04
75.0,14.0,14.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,8.0,12.0,14.0,0.0,0.0,0.0,"San Carlos CCD, Gila County, Arizona",007,93109,04
16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tonto Basin CCD, Gila County, Arizona",007,93470,04
13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fort Apache CCD, Gila County, Arizona",007,91277,04
166.0,0.0,0.0,0.0,76.0,0.0,33.0,0.0,0.0,0.0,0.0,25.0,17.0,0.0,0.0,15.0,0.0,"Cordes Lakes-Mayer CCD, Yavapai County, Arizona",025,90840,04
13.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,"Piñon CCD, Navajo County, Arizona",017,92703,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tohono O'odham Nation CCD, Pinal County, Arizona",021,93377,04
10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tohono O'odham Nation CCD, Pima County, Arizona",019,93375,04
