B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
168.0,5.0,8.0,6.0,0.0,4.0,3.0,5.0,3.0,0.0,9.0,16.0,25.0,18.0,21.0,24.0,21.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
2280.0,106.0,93.0,51.0,68.0,81.0,56.0,71.0,93.0,58.0,232.0,298.0,401.0,244.0,226.0,183.0,19.0,"Braceville township, Grundy County, Illinois",063,07653,17
3626.0,67.0,195.0,66.0,13.0,57.0,125.0,163.0,185.0,72.0,311.0,404.0,566.0,540.0,256.0,495.0,111.0,"Aux Sable township, Grundy County, Illinois",063,03090,17
2879.0,150.0,283.0,214.0,159.0,82.0,252.0,83.0,81.0,77.0,284.0,238.0,498.0,173.0,135.0,124.0,46.0,"Morris township, Grundy County, Illinois",063,50504,17
435.0,2.0,0.0,4.0,15.0,5.0,1.0,1.0,16.0,40.0,30.0,102.0,75.0,38.0,37.0,68.0,1.0,"Salina township, Kankakee County, Illinois",091,67262,17
1214.0,32.0,56.0,46.0,111.0,22.0,66.0,93.0,47.0,10.0,133.0,199.0,205.0,107.0,49.0,18.0,20.0,"Momence township, Kankakee County, Illinois",091,49906,17
742.0,25.0,33.0,56.0,39.0,22.0,37.0,29.0,44.0,21.0,72.0,137.0,134.0,59.0,3.0,28.0,3.0,"St. Anne township, Kankakee County, Illinois",091,66651,17
303.0,26.0,0.0,0.0,5.0,0.0,21.0,15.0,5.0,7.0,33.0,22.0,63.0,29.0,46.0,16.0,15.0,"Rockville township, Kankakee County, Illinois",091,65195,17
1817.0,109.0,29.0,18.0,60.0,54.0,54.0,55.0,81.0,21.0,161.0,169.0,292.0,230.0,190.0,167.0,127.0,"Limestone township, Kankakee County, Illinois",091,43497,17
735.0,23.0,29.0,22.0,32.0,31.0,47.0,4.0,32.0,22.0,61.0,107.0,130.0,85.0,24.0,69.0,17.0,"Otto township, Kankakee County, Illinois",091,57017,17
282.0,6.0,6.0,7.0,17.0,13.0,16.0,29.0,11.0,7.0,4.0,40.0,42.0,56.0,21.0,5.0,2.0,"Sumner township, Kankakee County, Illinois",091,73690,17
12116.0,329.0,580.0,434.0,616.0,429.0,558.0,518.0,489.0,550.0,1210.0,1466.0,1749.0,1411.0,827.0,488.0,462.0,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
574.0,27.0,10.0,16.0,19.0,8.0,12.0,23.0,39.0,15.0,40.0,122.0,77.0,38.0,33.0,31.0,64.0,"Essex township, Kankakee County, Illinois",091,24465,17
3840.0,169.0,88.0,190.0,267.0,93.0,267.0,211.0,177.0,54.0,367.0,385.0,593.0,240.0,335.0,283.0,121.0,"Manteno township, Kankakee County, Illinois",091,46513,17
819.0,29.0,0.0,26.0,33.0,55.0,34.0,24.0,29.0,15.0,94.0,155.0,105.0,114.0,75.0,11.0,20.0,"Ganeer township, Kankakee County, Illinois",091,28456,17
4606.0,394.0,340.0,226.0,310.0,189.0,297.0,115.0,211.0,214.0,328.0,660.0,633.0,343.0,178.0,123.0,45.0,"Kankakee township, Kankakee County, Illinois",091,38947,17
369.0,2.0,11.0,7.0,8.0,8.0,15.0,23.0,15.0,11.0,38.0,44.0,122.0,47.0,12.0,4.0,2.0,"Norton township, Kankakee County, Illinois",091,54352,17
79.0,4.0,9.0,0.0,15.0,0.0,4.0,5.0,5.0,15.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,"Pembroke township, Kankakee County, Illinois",091,58538,17
1573.0,75.0,34.0,43.0,49.0,46.0,54.0,107.0,125.0,127.0,115.0,248.0,218.0,157.0,97.0,34.0,44.0,"Aroma township, Kankakee County, Illinois",091,02245,17
142.0,10.0,1.0,8.0,3.0,2.0,12.0,7.0,21.0,11.0,10.0,22.0,7.0,18.0,2.0,3.0,5.0,"Abington township, Mercer County, Illinois",131,00126,17
184.0,11.0,3.0,8.0,11.0,10.0,6.0,4.0,4.0,24.0,13.0,21.0,36.0,19.0,2.0,2.0,10.0,"North Henderson township, Mercer County, Illinois",131,53806,17
833.0,29.0,3.0,17.0,24.0,42.0,7.0,25.0,42.0,51.0,81.0,163.0,185.0,65.0,28.0,40.0,31.0,"Richland Grove township, Mercer County, Illinois",131,63628,17
176.0,3.0,10.0,0.0,23.0,24.0,0.0,0.0,0.0,14.0,38.0,14.0,34.0,16.0,0.0,0.0,0.0,"Perryton township, Mercer County, Illinois",131,59182,17
511.0,13.0,3.0,15.0,27.0,16.0,26.0,16.0,23.0,17.0,65.0,51.0,82.0,84.0,36.0,19.0,18.0,"Greene township, Mercer County, Illinois",131,31342,17
410.0,11.0,12.0,10.0,21.0,20.0,52.0,18.0,40.0,17.0,41.0,50.0,50.0,34.0,13.0,21.0,0.0,"New Boston township, Mercer County, Illinois",131,52233,17
258.0,8.0,16.0,14.0,6.0,18.0,22.0,14.0,19.0,12.0,42.0,15.0,36.0,31.0,0.0,5.0,0.0,"Suez township, Mercer County, Illinois",131,73339,17
82.0,15.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,"Ohio Grove township, Mercer County, Illinois",131,55405,17
672.0,36.0,20.0,22.0,4.0,8.0,17.0,14.0,23.0,45.0,90.0,46.0,147.0,87.0,83.0,6.0,24.0,"Preemption township, Mercer County, Illinois",131,61795,17
524.0,10.0,43.0,21.0,13.0,25.0,18.0,23.0,28.0,23.0,55.0,106.0,85.0,31.0,25.0,0.0,18.0,"Rivoli township, Mercer County, Illinois",131,64551,17
231.0,28.0,8.0,0.0,8.0,10.0,16.0,0.0,0.0,7.0,38.0,41.0,60.0,15.0,0.0,0.0,0.0,"Eliza township, Mercer County, Illinois",131,23152,17
1732.0,114.0,104.0,122.0,120.0,34.0,145.0,88.0,94.0,84.0,196.0,174.0,128.0,241.0,25.0,33.0,30.0,"Mercer township, Mercer County, Illinois",131,48398,17
265.0,63.0,11.0,5.0,23.0,19.0,6.0,14.0,15.0,9.0,16.0,14.0,26.0,24.0,9.0,9.0,2.0,"Keithsburg township, Mercer County, Illinois",131,39311,17
36013.0,1120.0,583.0,973.0,803.0,991.0,840.0,1074.0,1267.0,1072.0,2223.0,2724.0,4693.0,4314.0,3443.0,4576.0,5317.0,"Lisle township, DuPage County, Illinois",043,43952,17
336.0,49.0,10.0,15.0,13.0,33.0,29.0,18.0,6.0,44.0,28.0,24.0,45.0,18.0,2.0,2.0,0.0,"Millersburg township, Mercer County, Illinois",131,49256,17
118.0,0.0,0.0,0.0,11.0,33.0,9.0,0.0,6.0,0.0,0.0,50.0,9.0,0.0,0.0,0.0,0.0,"Duncan township, Mercer County, Illinois",131,20968,17
84.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,10.0,4.0,16.0,3.0,0.0,39.0,0.0,"Maine township, Grundy County, Illinois",063,46175,17
801.0,51.0,33.0,14.0,30.0,19.0,39.0,37.0,25.0,25.0,81.0,93.0,149.0,77.0,40.0,42.0,46.0,"Pilot township, Kankakee County, Illinois",091,59819,17
937.0,14.0,36.0,45.0,46.0,61.0,23.0,43.0,61.0,20.0,66.0,150.0,99.0,135.0,33.0,46.0,59.0,"Yellowhead township, Kankakee County, Illinois",091,83856,17
34935.0,1002.0,626.0,833.0,975.0,952.0,926.0,1075.0,1177.0,1021.0,1952.0,2615.0,3993.0,3790.0,3081.0,4209.0,6708.0,"Milton township, DuPage County, Illinois",043,49451,17
10613.0,212.0,154.0,221.0,442.0,310.0,430.0,250.0,403.0,306.0,648.0,1234.0,1709.0,1418.0,945.0,1029.0,902.0,"Winfield township, DuPage County, Illinois",043,82413,17
38290.0,1390.0,918.0,1145.0,1199.0,1245.0,1398.0,1417.0,1263.0,1238.0,2686.0,3406.0,5682.0,4211.0,2690.0,3553.0,4849.0,"York township, DuPage County, Illinois",043,83947,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chicago city, DuPage County, Illinois",043,14000,17
46634.0,1985.0,1017.0,1395.0,1254.0,1101.0,1362.0,1398.0,1514.0,1532.0,2843.0,4143.0,5794.0,4984.0,3444.0,4571.0,8297.0,"Downers Grove township, DuPage County, Illinois",043,20604,17
25009.0,590.0,421.0,627.0,624.0,559.0,726.0,881.0,789.0,760.0,1594.0,2286.0,3249.0,3062.0,2506.0,2563.0,3772.0,"Naperville township, DuPage County, Illinois",043,51635,17
3218.0,40.0,136.0,126.0,96.0,156.0,111.0,159.0,201.0,182.0,189.0,578.0,345.0,383.0,295.0,149.0,72.0,"Clear Lake township, Sangamon County, Illinois",167,14858,17
324.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,25.0,20.0,101.0,81.0,40.0,18.0,9.0,"Cotton Hill township, Sangamon County, Illinois",167,16574,17
133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,71.0,0.0,13.0,0.0,4.0,"Maxwell township, Sangamon County, Illinois",167,47618,17
570.0,7.0,3.0,23.0,15.0,30.0,17.0,49.0,27.0,31.0,77.0,35.0,118.0,74.0,43.0,16.0,5.0,"Cartwright township, Sangamon County, Illinois",167,11579,17
2803.0,93.0,19.0,23.0,116.0,60.0,148.0,108.0,105.0,206.0,283.0,252.0,563.0,323.0,189.0,161.0,154.0,"Chatham township, Sangamon County, Illinois",167,12697,17
250.0,18.0,6.0,4.0,12.0,21.0,6.0,0.0,2.0,0.0,40.0,24.0,41.0,35.0,1.0,26.0,14.0,"Island Grove township, Sangamon County, Illinois",167,37881,17
20366.0,758.0,570.0,910.0,943.0,772.0,677.0,765.0,757.0,776.0,1269.0,1983.0,3187.0,2475.0,1180.0,1851.0,1493.0,"Addison township, DuPage County, Illinois",043,00250,17
26721.0,850.0,499.0,646.0,659.0,902.0,1000.0,934.0,1077.0,1146.0,2059.0,3022.0,4645.0,3264.0,2033.0,2510.0,1475.0,"Bloomingdale township, DuPage County, Illinois",043,06600,17
15894.0,276.0,168.0,400.0,251.0,260.0,580.0,372.0,440.0,444.0,825.0,1289.0,2530.0,2254.0,1837.0,2074.0,1894.0,"Wayne township, DuPage County, Illinois",043,79410,17
1128.0,40.0,48.0,65.0,63.0,48.0,28.0,81.0,57.0,96.0,90.0,101.0,152.0,118.0,70.0,34.0,37.0,"Mechanicsburg township, Sangamon County, Illinois",167,48034,17
1631.0,19.0,32.0,37.0,40.0,33.0,40.0,29.0,62.0,26.0,178.0,182.0,344.0,247.0,123.0,182.0,57.0,"Gardner township, Sangamon County, Illinois",167,28651,17
653.0,12.0,33.0,21.0,11.0,45.0,5.0,15.0,31.0,19.0,54.0,95.0,103.0,117.0,52.0,32.0,8.0,"New Berlin township, Sangamon County, Illinois",167,52181,17
649.0,5.0,33.0,76.0,12.0,8.0,23.0,11.0,40.0,35.0,58.0,55.0,114.0,59.0,32.0,27.0,61.0,"Curran township, Sangamon County, Illinois",167,18160,17
2283.0,51.0,61.0,79.0,143.0,70.0,182.0,100.0,74.0,139.0,241.0,313.0,315.0,220.0,152.0,122.0,21.0,"Auburn township, Sangamon County, Illinois",167,02928,17
74.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,9.0,8.0,6.0,9.0,"Buffalo Hart township, Sangamon County, Illinois",167,09486,17
630.0,15.0,19.0,23.0,18.0,41.0,27.0,16.0,48.0,18.0,90.0,106.0,77.0,65.0,30.0,13.0,24.0,"Divernon township, Sangamon County, Illinois",167,20058,17
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,12.0,0.0,"Lanesville township, Sangamon County, Illinois",167,41976,17
1998.0,216.0,161.0,183.0,143.0,139.0,113.0,112.0,72.0,110.0,124.0,188.0,240.0,101.0,67.0,0.0,29.0,"Springfield township, Sangamon County, Illinois",167,72013,17
4872.0,224.0,162.0,153.0,251.0,280.0,271.0,305.0,263.0,252.0,433.0,586.0,577.0,395.0,245.0,180.0,295.0,"Woodside township, Sangamon County, Illinois",167,83310,17
39020.0,2610.0,1849.0,1983.0,1976.0,1771.0,1803.0,1592.0,1570.0,1684.0,3049.0,4149.0,5135.0,3083.0,2198.0,2329.0,2239.0,"Capital township, Sangamon County, Illinois",167,11046,17
2353.0,76.0,14.0,135.0,123.0,15.0,36.0,33.0,30.0,41.0,88.0,203.0,382.0,429.0,155.0,301.0,292.0,"Fancy Creek township, Sangamon County, Illinois",167,25323,17
512.0,21.0,16.0,17.0,24.0,18.0,27.0,35.0,17.0,11.0,36.0,86.0,86.0,63.0,16.0,33.0,6.0,"Illiopolis township, Sangamon County, Illinois",167,37140,17
1139.0,16.0,12.0,36.0,42.0,29.0,52.0,9.0,33.0,26.0,54.0,102.0,274.0,129.0,106.0,178.0,41.0,"Williams township, Sangamon County, Illinois",167,81776,17
284.0,0.0,0.0,0.0,8.0,0.0,10.0,10.0,0.0,18.0,8.0,39.0,43.0,33.0,18.0,71.0,26.0,"Cooper township, Sangamon County, Illinois",167,16223,17
462.0,27.0,9.0,23.0,68.0,13.0,17.0,18.0,27.0,5.0,46.0,37.0,52.0,32.0,50.0,18.0,20.0,"Loami township, Sangamon County, Illinois",167,44186,17
1146.0,42.0,21.0,41.0,42.0,71.0,47.0,24.0,84.0,52.0,127.0,108.0,155.0,142.0,54.0,89.0,47.0,"Pawnee township, Sangamon County, Illinois",167,58187,17
2428.0,42.0,9.0,16.0,70.0,73.0,24.0,9.0,20.0,41.0,169.0,331.0,388.0,449.0,301.0,266.0,220.0,"Ball township, Sangamon County, Illinois",167,03506,17
1956.0,46.0,27.0,54.0,62.0,29.0,84.0,109.0,93.0,48.0,120.0,112.0,340.0,165.0,195.0,271.0,201.0,"Rochester township, Sangamon County, Illinois",167,64772,17
98.0,4.0,42.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,"Talkington township, Sangamon County, Illinois",167,74340,17
215.0,31.0,0.0,5.0,19.0,14.0,2.0,30.0,22.0,9.0,9.0,36.0,21.0,8.0,8.0,1.0,0.0,"Concord township, Iroquois County, Illinois",075,16041,17
123.0,5.0,13.0,7.0,3.0,4.0,5.0,7.0,5.0,8.0,12.0,5.0,8.0,22.0,0.0,9.0,10.0,"Ridgeland township, Iroquois County, Illinois",075,63901,17
266.0,8.0,3.0,16.0,8.0,38.0,14.0,13.0,22.0,10.0,18.0,56.0,29.0,19.0,9.0,0.0,3.0,"Iroquois township, Iroquois County, Illinois",075,37725,17
555.0,24.0,20.0,44.0,19.0,15.0,8.0,44.0,7.0,26.0,40.0,61.0,64.0,92.0,24.0,47.0,20.0,"Ashkum township, Iroquois County, Illinois",075,02492,17
58.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,9.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,"Stockland township, Iroquois County, Illinois",075,72773,17
