B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
2897,1425.0,46.0,111.0,58.0,33.0,9.0,26.0,0.0,21.0,70.0,128.0,123.0,33.0,80.0,72.0,91.0,37.0,103.0,82.0,45.0,83.0,93.0,76.0,5.0,1472.0,118.0,46.0,98.0,20.0,14.0,0.0,0.0,13.0,104.0,104.0,18.0,36.0,133.0,103.0,131.0,45.0,114.0,36.0,76.0,70.0,18.0,105.0,70.0,"Sundance CCD, Crook County, Wyoming",011,93190,56
1107,533.0,23.0,68.0,20.0,13.0,23.0,15.0,3.0,8.0,34.0,5.0,35.0,55.0,38.0,12.0,32.0,21.0,45.0,0.0,16.0,27.0,3.0,20.0,17.0,574.0,17.0,92.0,43.0,13.0,9.0,0.0,0.0,17.0,5.0,21.0,50.0,48.0,26.0,46.0,37.0,22.0,25.0,11.0,33.0,28.0,12.0,9.0,10.0,"Hulett CCD, Crook County, Wyoming",011,91760,56
16403,8317.0,454.0,342.0,556.0,482.0,83.0,56.0,119.0,211.0,542.0,375.0,300.0,578.0,438.0,492.0,546.0,338.0,611.0,237.0,494.0,455.0,220.0,221.0,167.0,8086.0,417.0,491.0,362.0,209.0,174.0,68.0,191.0,159.0,483.0,291.0,426.0,524.0,550.0,584.0,588.0,245.0,561.0,252.0,331.0,447.0,194.0,243.0,296.0,"Cody CCD, Park County, Wyoming",029,90935,56
1123,581.0,61.0,45.0,43.0,18.0,5.0,0.0,15.0,0.0,16.0,60.0,29.0,35.0,40.0,40.0,34.0,16.0,23.0,23.0,26.0,25.0,19.0,0.0,8.0,542.0,21.0,58.0,10.0,24.0,9.0,0.0,4.0,5.0,16.0,37.0,35.0,49.0,44.0,27.0,56.0,14.0,35.0,27.0,19.0,29.0,20.0,2.0,1.0,"Meeteetse CCD, Park County, Wyoming",029,92145,56
240,144.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,22.0,44.0,43.0,3.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"Yellowstone National Park CCD, Park County, Wyoming",029,93850,56
11510,5318.0,206.0,421.0,226.0,225.0,219.0,134.0,48.0,272.0,214.0,388.0,313.0,201.0,333.0,370.0,509.0,115.0,169.0,195.0,137.0,240.0,238.0,92.0,53.0,6192.0,415.0,243.0,484.0,272.0,405.0,80.0,11.0,167.0,223.0,644.0,259.0,276.0,198.0,398.0,506.0,127.0,221.0,209.0,154.0,291.0,342.0,142.0,125.0,"Powell CCD, Park County, Wyoming",029,92530,56
1479,813.0,21.0,50.0,23.0,0.0,0.0,0.0,7.0,101.0,13.0,37.0,5.0,20.0,45.0,89.0,71.0,39.0,34.0,48.0,73.0,65.0,62.0,10.0,0.0,666.0,16.0,32.0,30.0,13.0,6.0,0.0,11.0,7.0,8.0,39.0,14.0,39.0,34.0,53.0,56.0,30.0,67.0,50.0,31.0,65.0,27.0,6.0,32.0,"South Albany CCD, Albany County, Wyoming",001,93135,56
101,47.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,54.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,9.0,7.0,0.0,0.0,0.0,"East Albany CCD, Albany County, Wyoming",001,91100,56
396,239.0,11.0,5.0,0.0,11.0,10.0,0.0,0.0,21.0,2.0,16.0,0.0,8.0,0.0,11.0,29.0,15.0,25.0,27.0,0.0,35.0,0.0,13.0,0.0,157.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,20.0,4.0,19.0,18.0,19.0,12.0,17.0,15.0,3.0,0.0,"Rock River CCD, Albany County, Wyoming",001,92695,56
35968,18784.0,1018.0,918.0,833.0,449.0,1210.0,942.0,1224.0,2194.0,2106.0,1387.0,1067.0,764.0,796.0,702.0,820.0,317.0,525.0,307.0,259.0,325.0,272.0,156.0,193.0,17184.0,821.0,802.0,710.0,415.0,1150.0,1212.0,765.0,1965.0,1583.0,1046.0,880.0,838.0,717.0,787.0,861.0,391.0,486.0,326.0,243.0,437.0,242.0,256.0,251.0,"Laramie CCD, Albany County, Wyoming",001,92090,56
1456,720.0,15.0,32.0,27.0,44.0,15.0,6.0,9.0,12.0,3.0,25.0,31.0,42.0,32.0,74.0,41.0,58.0,41.0,4.0,71.0,46.0,32.0,56.0,4.0,736.0,16.0,53.0,89.0,44.0,0.0,0.0,22.0,6.0,26.0,13.0,39.0,53.0,58.0,42.0,54.0,16.0,32.0,4.0,42.0,84.0,20.0,15.0,8.0,"Hanna CCD, Carbon County, Wyoming",007,91650,56
10596,5848.0,468.0,421.0,311.0,97.0,146.0,98.0,106.0,316.0,480.0,502.0,480.0,388.0,437.0,225.0,426.0,198.0,163.0,133.0,128.0,121.0,30.0,119.0,55.0,4748.0,423.0,445.0,194.0,148.0,102.0,20.0,7.0,320.0,367.0,315.0,291.0,267.0,251.0,249.0,404.0,207.0,153.0,68.0,34.0,191.0,129.0,85.0,78.0,"Rawlins CCD, Carbon County, Wyoming",007,92640,56
3637,1888.0,84.0,173.0,119.0,124.0,14.0,12.0,7.0,46.0,104.0,88.0,81.0,95.0,60.0,210.0,164.0,54.0,68.0,26.0,69.0,132.0,62.0,44.0,52.0,1749.0,39.0,147.0,85.0,99.0,29.0,2.0,15.0,38.0,57.0,104.0,103.0,105.0,74.0,197.0,166.0,37.0,63.0,34.0,108.0,87.0,73.0,65.0,22.0,"Saratoga CCD, Carbon County, Wyoming",007,92860,56
85,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,53.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"Jeffrey City CCD, Fremont County, Wyoming",013,91842,56
