B19013I_001E,name,county,county subdivision,state
48641.0,"Madison township, Jasper County, Missouri",097,45416,29
-666666666.0,"Preston township, Jasper County, Missouri",097,59906,29
-666666666.0,"Jasper township, Jasper County, Missouri",097,36530,29
39115.0,"Mineral township, Jasper County, Missouri",097,48692,29
95688.0,"River View township, Jefferson County, Missouri",099,62179,29
-666666666.0,"Big River township, Jefferson County, Missouri",099,05554,29
-666666666.0,"Central township, Jefferson County, Missouri",099,12790,29
56250.0,"Arnold township, Jefferson County, Missouri",099,01975,29
31905.0,"Imperial township, Jefferson County, Missouri",099,34358,29
-666666666.0,"Joachim township, Jefferson County, Missouri",099,37340,29
-666666666.0,"Plattin township, Jefferson County, Missouri",099,58232,29
55417.0,"Rock township, Jefferson County, Missouri",099,62552,29
-666666666.0,"Meramec township, Jefferson County, Missouri",099,47414,29
-666666666.0,"High Ridge township, Jefferson County, Missouri",099,32144,29
-666666666.0,"Windsor township, Jefferson County, Missouri",099,80370,29
-666666666.0,"Valle township, Jefferson County, Missouri",099,75400,29
-666666666.0,"Canton township, Lewis County, Missouri",111,11152,29
-666666666.0,"La Belle township, Lewis County, Missouri",111,39530,29
-666666666.0,"Reddish township, Lewis County, Missouri",111,60950,29
-666666666.0,"Salem township, Lewis County, Missouri",111,65270,29
-666666666.0,"Dickerson township, Lewis County, Missouri",111,19468,29
-666666666.0,"Highland township, Lewis County, Missouri",111,32014,29
-666666666.0,"Lyon township, Lewis County, Missouri",111,44750,29
-666666666.0,"Union township, Lewis County, Missouri",111,74752,29
-666666666.0,"Erie Goodman township, McDonald County, Missouri",119,22550,29
-666666666.0,"Pineville North township, McDonald County, Missouri",119,57843,29
-666666666.0,"Prairie township, McDonald County, Missouri",119,59600,29
-666666666.0,"Richwood township, McDonald County, Missouri",119,61760,29
-666666666.0,"Jackson township, Clinton County, Missouri",049,35702,29
-666666666.0,"Saline township, Cooper County, Missouri",053,65306,29
-666666666.0,"Boonville township, Cooper County, Missouri",053,07336,29
-666666666.0,"Kelly township, Cooper County, Missouri",053,38198,29
-666666666.0,"Pilot Grove township, Cooper County, Missouri",053,57620,29
-666666666.0,"South Moniteau township, Cooper County, Missouri",053,68978,29
-666666666.0,"Clark Fork township, Cooper County, Missouri",053,14122,29
-666666666.0,"Blackwater township, Cooper County, Missouri",053,06166,29
-666666666.0,"Lamine township, Cooper County, Missouri",053,40502,29
-666666666.0,"North Moniteau township, Cooper County, Missouri",053,53156,29
-666666666.0,"Lebanon township, Cooper County, Missouri",053,41150,29
-666666666.0,"Palestine township, Cooper County, Missouri",053,56000,29
-666666666.0,"Clear Creek township, Cooper County, Missouri",053,14626,29
-666666666.0,"Prairie Home township, Cooper County, Missouri",053,59744,29
-666666666.0,"Otterville township, Cooper County, Missouri",053,55496,29
-666666666.0,"North Benton township, Dallas County, Missouri",059,52886,29
-666666666.0,"South Benton township, Dallas County, Missouri",059,68636,29
-666666666.0,"Jasper township, Dallas County, Missouri",059,36494,29
-666666666.0,"Sherman township, Dallas County, Missouri",059,67412,29
-666666666.0,"Wilson township, Dallas County, Missouri",059,80170,29
-666666666.0,"Jackson township, Dallas County, Missouri",059,35720,29
-666666666.0,"Miller township, Dallas County, Missouri",059,48188,29
-666666666.0,"Washington township, Dallas County, Missouri",059,77344,29
-666666666.0,"Grant township, Dallas County, Missouri",059,28450,29
-666666666.0,"Lincoln township, Dallas County, Missouri",059,42680,29
-666666666.0,"Sheridan township, Dallas County, Missouri",059,67304,29
-666666666.0,"Bogle township, Gentry County, Missouri",075,06868,29
-666666666.0,"Howard township, Gentry County, Missouri",075,33328,29
-666666666.0,"Athens township, Gentry County, Missouri",075,02386,29
-666666666.0,"Jackson township, Gentry County, Missouri",075,35774,29
-666666666.0,"Miller township, Gentry County, Missouri",075,48224,29
-666666666.0,"Cooper township, Gentry County, Missouri",075,16282,29
-666666666.0,"Huggins township, Gentry County, Missouri",075,33598,29
-666666666.0,"Wilson township, Gentry County, Missouri",075,80188,29
-666666666.0,"Drake township, Macon County, Missouri",121,20062,29
-666666666.0,"Campbell No. 2B township, Greene County, Missouri",077,10914,29
-666666666.0,"Campbell No. 2C township, Greene County, Missouri",077,10916,29
-666666666.0,"Clay B township, Greene County, Missouri",077,14542,29
-666666666.0,"Campbell No. 2A township, Greene County, Missouri",077,10912,29
-666666666.0,"Cherokee township, Greene County, Missouri",077,13465,29
-666666666.0,"Clay C township, Greene County, Missouri",077,14544,29
-666666666.0,"East Clay A township, Greene County, Missouri",077,20809,29
66071.0,"East Ozark township, Webster County, Missouri",225,21037,29
-666666666.0,"West Ozark township, Webster County, Missouri",225,78888,29
-666666666.0,"Bellevue township, Washington County, Missouri",221,04320,29
-666666666.0,"Marshfield township, Webster County, Missouri",225,46390,29
-666666666.0,"Benton township, Webster County, Missouri",225,04820,29
-666666666.0,"Dallas township, Webster County, Missouri",225,18104,29
-666666666.0,"Green Hill township, Webster County, Missouri",225,29254,29
-666666666.0,"Diggins township, Webster County, Missouri",225,19506,29
65593.0,"Lake St. Louis township, St. Charles County, Missouri",183,40047,29
-666666666.0,"Weldon Spring township, St. Charles County, Missouri",183,78316,29
116625.0,"Wildhorse township, St. Louis County, Missouri",189,79801,29
-666666666.0,"North Lindsey township, Benton County, Missouri",015,53142,29
28750.0,"South Lindsey township, Benton County, Missouri",015,68933,29
-666666666.0,"Katy township, Boone County, Missouri",019,38045,29
-666666666.0,"Hermitage township, Hickory County, Missouri",085,31785,29
-666666666.0,"Stark township, Hickory County, Missouri",085,70378,29
-666666666.0,"Robberson No. 1B township, Greene County, Missouri",077,62360,29
-666666666.0,"Robberson No. 2 township, Greene County, Missouri",077,62362,29
