B19013B_001E,name,county,county subdivision,state
-666666666.0,"Green River CCD, Emery County, Utah",015,91161,49
-666666666.0,"Castle Dale-Huntington CCD, Emery County, Utah",015,90301,49
-666666666.0,"Emery-Ferron CCD, Emery County, Utah",015,90731,49
-666666666.0,"Morgan South CCD, Morgan County, Utah",029,92107,49
-666666666.0,"Morgan North CCD, Morgan County, Utah",029,92064,49
-666666666.0,"Lewiston CCD, Cache County, Utah",005,91677,49
-666666666.0,"Hyrum CCD, Cache County, Utah",005,91505,49
24699.0,"Logan CCD, Cache County, Utah",005,91763,49
-666666666.0,"Wellsville CCD, Cache County, Utah",005,93784,49
-666666666.0,"Smithfield CCD, Cache County, Utah",005,93096,49
-666666666.0,"Tropic CCD, Garfield County, Utah",017,93483,49
-666666666.0,"Panguitch CCD, Garfield County, Utah",017,92537,49
-666666666.0,"Escalante CCD, Garfield County, Utah",017,90903,49
-666666666.0,"Eureka CCD, Juab County, Utah",023,90946,49
-666666666.0,"Nephi CCD, Juab County, Utah",023,92193,49
-666666666.0,"West Juab CCD, Juab County, Utah",023,93913,49
-666666666.0,"Rush Valley CCD, Tooele County, Utah",045,92902,49
-666666666.0,"East Cache CCD, Cache County, Utah",005,90635,49
-666666666.0,"East Garfield CCD, Garfield County, Utah",017,90702,49
-666666666.0,"Casa del Eco Mesa-White Mesa CCD, San Juan County, Utah",037,90280,49
-666666666.0,"Northwest Weber CCD, Weber County, Utah",057,92308,49
-666666666.0,"Heber City East CCD, Wasatch County, Utah",051,91300,49
-666666666.0,"Heber City West CCD, Wasatch County, Utah",051,91312,49
-666666666.0,"North Wasatch CCD, Wasatch County, Utah",051,92301,49
-666666666.0,"Heber City South CCD, Wasatch County, Utah",051,91308,49
-666666666.0,"Thompson Springs CCD, Grand County, Utah",019,93356,49
