B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
36853.0,17012.0,19841.0,"Oxnard CCD, Ventura County, California",111,92310,06
6952.0,3217.0,3735.0,"Santa Paula CCD, Ventura County, California",111,92930,06
6415.0,3652.0,2763.0,"Thousand Oaks CCD, Ventura County, California",111,93350,06
8082.0,4773.0,3309.0,"Simi Valley CCD, Ventura County, California",111,93020,06
424.0,275.0,149.0,"Angels City CCD, Calaveras County, California",009,90060,06
714.0,446.0,268.0,"San Andreas CCD, Calaveras County, California",009,92740,06
202.0,77.0,125.0,"Meridian-Robbins CCD, Sutter County, California",101,91970,06
92.0,80.0,12.0,"Sutter CCD, Sutter County, California",101,93290,06
151.0,64.0,87.0,"South Sutter CCD, Sutter County, California",101,93180,06
1177.0,645.0,532.0,"Live Oak CCD, Sutter County, California",101,91650,06
5725.0,1965.0,3760.0,"Yuba City CCD, Sutter County, California",101,93820,06
20490.0,8974.0,11516.0,"South San Francisco CCD, San Mateo County, California",081,93170,06
25615.0,8223.0,17392.0,"San Mateo CCD, San Mateo County, California",081,92870,06
74.0,68.0,6.0,"Groveland CCD, Tuolumne County, California",109,91190,06
698.0,400.0,298.0,"Twain Harte-Tuolumne City CCD, Tuolumne County, California",109,93470,06
2718.0,886.0,1832.0,"Sonoma CCD, Sonoma County, California",097,93070,06
3338.0,1588.0,1750.0,"Healdsburg CCD, Sonoma County, California",097,91270,06
1132.0,483.0,649.0,"Cloverdale-Geyserville CCD, Sonoma County, California",097,90510,06
7040.0,3041.0,3999.0,"Petaluma CCD, Sonoma County, California",097,92460,06
16554.0,5628.0,10926.0,"Santa Rosa CCD, Sonoma County, California",097,92940,06
1155.0,476.0,679.0,"Sebastopol CCD, Sonoma County, California",097,92980,06
1636.0,1073.0,563.0,"Corning CCD, Tehama County, California",103,90580,06
162.0,86.0,76.0,"East Tehama CCD, Tehama County, California",103,90840,06
1938.0,878.0,1060.0,"Red Bluff CCD, Tehama County, California",103,92560,06
333.0,182.0,151.0,"West Tehama CCD, Tehama County, California",103,93690,06
1605.0,764.0,841.0,"Calipatria-Westmorland CCD, Imperial County, California",025,90330,06
1202.0,720.0,482.0,"West Imperial CCD, Imperial County, California",025,93630,06
13507.0,6963.0,6544.0,"El Centro CCD, Imperial County, California",025,90860,06
5542.0,2650.0,2892.0,"Brawley CCD, Imperial County, California",025,90260,06
2436.0,1703.0,733.0,"Imperial CCD, Imperial County, California",025,91380,06
1629.0,819.0,810.0,"Holtville CCD, Imperial County, California",025,91310,06
162.0,77.0,85.0,"Winterhaven-Bard CCD, Imperial County, California",025,93760,06
8907.0,4596.0,4311.0,"Calexico CCD, Imperial County, California",025,90320,06
