B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Searsburg town, Bennington County, Vermont",003,63175,50
0.0,0.0,0.0,"Readsboro town, Bennington County, Vermont",003,58600,50
23.0,23.0,0.0,"Manchester town, Bennington County, Vermont",003,42850,50
0.0,0.0,0.0,"Sunderland town, Bennington County, Vermont",003,71425,50
57.0,41.0,16.0,"Bennington town, Bennington County, Vermont",003,04825,50
0.0,0.0,0.0,"Pownal town, Bennington County, Vermont",003,57025,50
0.0,0.0,0.0,"Shaftsbury town, Bennington County, Vermont",003,63550,50
0.0,0.0,0.0,"Stamford town, Bennington County, Vermont",003,69775,50
0.0,0.0,0.0,"Dorset town, Bennington County, Vermont",003,17725,50
0.0,0.0,0.0,"Cornwall town, Addison County, Vermont",001,16000,50
0.0,0.0,0.0,"Panton town, Addison County, Vermont",001,53950,50
4.0,4.0,0.0,"Shoreham town, Addison County, Vermont",001,65050,50
0.0,0.0,0.0,"Waltham town, Addison County, Vermont",001,76075,50
0.0,0.0,0.0,"Salisbury town, Addison County, Vermont",001,62575,50
0.0,0.0,0.0,"Lincoln town, Addison County, Vermont",001,40075,50
0.0,0.0,0.0,"Vergennes city, Addison County, Vermont",001,74650,50
0.0,0.0,0.0,"Bridport town, Addison County, Vermont",001,08575,50
0.0,0.0,0.0,"Granville town, Addison County, Vermont",001,29575,50
0.0,0.0,0.0,"Starksboro town, Addison County, Vermont",001,70075,50
0.0,0.0,0.0,"Whiting town, Addison County, Vermont",001,83800,50
0.0,0.0,0.0,"Goshen town, Addison County, Vermont",001,28600,50
0.0,0.0,0.0,"Hancock town, Addison County, Vermont",001,31525,50
0.0,0.0,0.0,"New Haven town, Addison County, Vermont",001,48700,50
0.0,0.0,0.0,"Weybridge town, Addison County, Vermont",001,83275,50
0.0,0.0,0.0,"Orwell town, Addison County, Vermont",001,53725,50
0.0,0.0,0.0,"Ripton town, Addison County, Vermont",001,59650,50
0.0,0.0,0.0,"Leicester town, Addison County, Vermont",001,39325,50
23.0,0.0,23.0,"Middlebury town, Addison County, Vermont",001,44350,50
0.0,0.0,0.0,"Addison town, Addison County, Vermont",001,00325,50
0.0,0.0,0.0,"Monkton town, Addison County, Vermont",001,45550,50
10.0,0.0,10.0,"Bristol town, Addison County, Vermont",001,09025,50
0.0,0.0,0.0,"Brunswick town, Essex County, Vermont",009,10075,50
0.0,0.0,0.0,"Averill town, Essex County, Vermont",009,02125,50
0.0,0.0,0.0,"Avery's gore, Essex County, Vermont",009,02162,50
0.0,0.0,0.0,"Guildhall town, Essex County, Vermont",009,30775,50
0.0,0.0,0.0,"Norton town, Essex County, Vermont",009,52750,50
0.0,0.0,0.0,"Victory town, Essex County, Vermont",009,75175,50
10.0,0.0,10.0,"Canaan town, Essex County, Vermont",009,11800,50
0.0,0.0,0.0,"East Haven town, Essex County, Vermont",009,21250,50
0.0,0.0,0.0,"Lewis town, Essex County, Vermont",009,39775,50
0.0,0.0,0.0,"Warren's gore, Essex County, Vermont",009,76562,50
0.0,0.0,0.0,"Bloomfield town, Essex County, Vermont",009,06325,50
0.0,0.0,0.0,"Lemington town, Essex County, Vermont",009,39700,50
0.0,0.0,0.0,"Maidstone town, Essex County, Vermont",009,42475,50
