B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
7318.0,3766.0,3552.0,6214.0,3142.0,3072.0,488.0,275.0,213.0,481.0,252.0,229.0,135.0,97.0,38.0,0.0,0.0,0.0,"District 3, Alcorn County, Mississippi",003,91494,28
7428.0,3588.0,3840.0,6751.0,3166.0,3585.0,396.0,275.0,121.0,102.0,70.0,32.0,179.0,77.0,102.0,0.0,0.0,0.0,"District 1, Alcorn County, Mississippi",003,90018,28
7649.0,3799.0,3850.0,6728.0,3239.0,3489.0,401.0,233.0,168.0,183.0,83.0,100.0,269.0,185.0,84.0,68.0,59.0,9.0,"District 5, Alcorn County, Mississippi",003,92970,28
7728.0,3698.0,4030.0,6230.0,3127.0,3103.0,923.0,286.0,637.0,277.0,169.0,108.0,298.0,116.0,182.0,0.0,0.0,0.0,"District 4, Alcorn County, Mississippi",003,92232,28
5099.0,2389.0,2710.0,4901.0,2301.0,2600.0,106.0,47.0,59.0,8.0,8.0,0.0,77.0,26.0,51.0,7.0,7.0,0.0,"District 4, Adams County, Mississippi",001,92223,28
7810.0,4681.0,3129.0,6999.0,3897.0,3102.0,71.0,65.0,6.0,48.0,35.0,13.0,64.0,56.0,8.0,628.0,628.0,0.0,"District 5, Adams County, Mississippi",001,92961,28
6890.0,3156.0,3734.0,6558.0,3022.0,3536.0,226.0,102.0,124.0,25.0,0.0,25.0,81.0,32.0,49.0,0.0,0.0,0.0,"District 2, Adams County, Mississippi",001,90747,28
5450.0,2434.0,3016.0,5087.0,2281.0,2806.0,202.0,104.0,98.0,57.0,29.0,28.0,97.0,13.0,84.0,7.0,7.0,0.0,"District 1, Adams County, Mississippi",001,90009,28
5978.0,2837.0,3141.0,5663.0,2665.0,2998.0,237.0,164.0,73.0,17.0,0.0,17.0,53.0,0.0,53.0,8.0,8.0,0.0,"District 3, Adams County, Mississippi",001,91485,28
3901.0,1844.0,2057.0,3589.0,1714.0,1875.0,213.0,107.0,106.0,76.0,6.0,70.0,17.0,17.0,0.0,6.0,0.0,6.0,"District 3, Clay County, Mississippi",025,91593,28
3946.0,1789.0,2157.0,3530.0,1604.0,1926.0,190.0,76.0,114.0,129.0,61.0,68.0,97.0,48.0,49.0,0.0,0.0,0.0,"District 2, Clay County, Mississippi",025,90855,28
4267.0,2037.0,2230.0,3789.0,1852.0,1937.0,262.0,122.0,140.0,98.0,22.0,76.0,118.0,41.0,77.0,0.0,0.0,0.0,"District 1, Clay County, Mississippi",025,90117,28
3826.0,1848.0,1978.0,3603.0,1746.0,1857.0,174.0,96.0,78.0,18.0,6.0,12.0,31.0,0.0,31.0,0.0,0.0,0.0,"District 5, Clay County, Mississippi",025,93069,28
3703.0,1639.0,2064.0,3210.0,1498.0,1712.0,313.0,62.0,251.0,137.0,79.0,58.0,43.0,0.0,43.0,0.0,0.0,0.0,"District 4, Clay County, Mississippi",025,92331,28
20038.0,9514.0,10524.0,17073.0,8079.0,8994.0,1552.0,783.0,769.0,568.0,255.0,313.0,806.0,376.0,430.0,39.0,21.0,18.0,"District 4, DeSoto County, Mississippi",033,92367,28
43071.0,21264.0,21807.0,36886.0,18159.0,18727.0,3097.0,1545.0,1552.0,1086.0,507.0,579.0,1923.0,1000.0,923.0,79.0,53.0,26.0,"District 5, DeSoto County, Mississippi",033,93105,28
27179.0,13659.0,13520.0,22610.0,11173.0,11437.0,2640.0,1425.0,1215.0,730.0,392.0,338.0,1141.0,669.0,472.0,58.0,0.0,58.0,"District 3, DeSoto County, Mississippi",033,91629,28
48412.0,24019.0,24393.0,41616.0,20816.0,20800.0,3521.0,1467.0,2054.0,982.0,589.0,393.0,2064.0,1040.0,1024.0,229.0,107.0,122.0,"District 1, DeSoto County, Mississippi",033,90153,28
32415.0,14261.0,18154.0,28449.0,12506.0,15943.0,1854.0,803.0,1051.0,425.0,190.0,235.0,1603.0,749.0,854.0,84.0,13.0,71.0,"District 2, DeSoto County, Mississippi",033,90891,28
1657.0,674.0,983.0,1553.0,651.0,902.0,45.0,23.0,22.0,32.0,0.0,32.0,0.0,0.0,0.0,27.0,0.0,27.0,"District 1, Noxubee County, Mississippi",103,90468,28
4427.0,2362.0,2065.0,4018.0,2089.0,1929.0,126.0,60.0,66.0,198.0,178.0,20.0,61.0,35.0,26.0,24.0,0.0,24.0,"District 4, Leake County, Mississippi",079,92574,28
4602.0,2172.0,2430.0,3721.0,1711.0,2010.0,538.0,260.0,278.0,334.0,192.0,142.0,9.0,9.0,0.0,0.0,0.0,0.0,"District 2, Leake County, Mississippi",079,91098,28
4492.0,2547.0,1945.0,4064.0,2261.0,1803.0,76.0,39.0,37.0,252.0,183.0,69.0,100.0,64.0,36.0,0.0,0.0,0.0,"District 5, Leake County, Mississippi",079,93312,28
