B19013H_001E,name,county,county subdivision,state
78125.0,"Callery borough, Butler County, Pennsylvania",019,10800,42
101406.0,"Cranberry township, Butler County, Pennsylvania",019,16920,42
66818.0,"Franklin township, Butler County, Pennsylvania",019,27352,42
54625.0,"Mars borough, Butler County, Pennsylvania",019,47672,42
40313.0,"Petrolia borough, Butler County, Pennsylvania",019,59672,42
52377.0,"Summit township, Butler County, Pennsylvania",019,75184,42
61839.0,"Butler township, Butler County, Pennsylvania",019,10472,42
69625.0,"Fairview township, Butler County, Pennsylvania",019,24840,42
57243.0,"Jackson township, Butler County, Pennsylvania",019,37344,42
79815.0,"Lancaster township, Butler County, Pennsylvania",019,41208,42
57042.0,"Muddy Creek township, Butler County, Pennsylvania",019,52176,42
68125.0,"Portersville borough, Butler County, Pennsylvania",019,62224,42
57583.0,"Bruin borough, Butler County, Pennsylvania",019,09528,42
65693.0,"Center township, Butler County, Pennsylvania",019,12024,42
54792.0,"Cherry township, Butler County, Pennsylvania",019,12992,42
55000.0,"Cherry Valley borough, Butler County, Pennsylvania",019,13152,42
47986.0,"Brady township, Butler County, Pennsylvania",019,08096,42
46548.0,"East Butler borough, Butler County, Pennsylvania",019,20904,42
73993.0,"Penn township, Butler County, Pennsylvania",019,58792,42
56688.0,"Harrisville borough, Butler County, Pennsylvania",019,32896,42
65367.0,"Jefferson township, Butler County, Pennsylvania",019,37848,42
71087.0,"Oakland township, Butler County, Pennsylvania",019,55992,42
50768.0,"Slippery Rock township, Butler County, Pennsylvania",019,71192,42
48696.0,"Washington township, Butler County, Pennsylvania",019,81192,42
58375.0,"Mercer township, Butler County, Pennsylvania",019,48688,42
43611.0,"Saxonburg borough, Butler County, Pennsylvania",019,68056,42
101780.0,"Seven Fields borough, Butler County, Pennsylvania",019,69309,42
54516.0,"Prospect borough, Butler County, Pennsylvania",019,62752,42
75179.0,"Forward township, Butler County, Pennsylvania",019,26904,42
50221.0,"Chicora borough, Butler County, Pennsylvania",019,13440,42
50357.0,"Venango township, Butler County, Pennsylvania",019,79904,42
53409.0,"West Liberty borough, Butler County, Pennsylvania",019,83376,42
50063.0,"Jay township, Elk County, Pennsylvania",047,37760,42
49591.0,"St. Marys city, Elk County, Pennsylvania",047,67344,42
40000.0,"Spring Creek township, Elk County, Pennsylvania",047,72928,42
56429.0,"Jones township, Elk County, Pennsylvania",047,38368,42
51250.0,"Millstone township, Elk County, Pennsylvania",047,49888,42
44821.0,"Benezette township, Elk County, Pennsylvania",047,05576,42
45398.0,"Ridgway borough, Elk County, Pennsylvania",047,64784,42
62063.0,"Ridgway township, Elk County, Pennsylvania",047,64792,42
53023.0,"Fox township, Elk County, Pennsylvania",047,27088,42
41111.0,"Johnsonburg borough, Elk County, Pennsylvania",047,38248,42
48611.0,"Horton township, Elk County, Pennsylvania",047,35816,42
40625.0,"Highland township, Elk County, Pennsylvania",047,34464,42
45294.0,"Summerville borough, Jefferson County, Pennsylvania",065,75168,42
38438.0,"Timblin borough, Jefferson County, Pennsylvania",065,76744,42
30789.0,"Punxsutawney borough, Jefferson County, Pennsylvania",065,62920,42
50750.0,"Ringgold township, Jefferson County, Pennsylvania",065,64960,42
36685.0,"Sykesville borough, Jefferson County, Pennsylvania",065,75888,42
52206.0,"Young township, Jefferson County, Pennsylvania",065,87168,42
64531.0,"Perry township, Jefferson County, Pennsylvania",065,59480,42
34966.0,"Reynoldsville borough, Jefferson County, Pennsylvania",065,64376,42
51719.0,"Warsaw township, Jefferson County, Pennsylvania",065,81120,42
37500.0,"Beaver township, Jefferson County, Pennsylvania",065,04728,42
50272.0,"Eldred township, Jefferson County, Pennsylvania",065,22872,42
51250.0,"Falls Creek borough, Jefferson County, Pennsylvania",065,25136,42
46875.0,"Worthville borough, Jefferson County, Pennsylvania",065,86568,42
45833.0,"Big Run borough, Jefferson County, Pennsylvania",065,06344,42
42404.0,"Brockway borough, Jefferson County, Pennsylvania",065,08960,42
56667.0,"McCalmont township, Jefferson County, Pennsylvania",065,45888,42
46250.0,"Polk township, Jefferson County, Pennsylvania",065,61920,42
45823.0,"Winslow township, Jefferson County, Pennsylvania",065,85840,42
48878.0,"Brookville borough, Jefferson County, Pennsylvania",065,09224,42
54063.0,"Clover township, Jefferson County, Pennsylvania",065,14408,42
52202.0,"Washington township, Jefferson County, Pennsylvania",065,81264,42
58182.0,"Oliver township, Jefferson County, Pennsylvania",065,56712,42
44722.0,"Porter township, Jefferson County, Pennsylvania",065,62176,42
59688.0,"Rose township, Jefferson County, Pennsylvania",065,66032,42
53750.0,"Snyder township, Jefferson County, Pennsylvania",065,71632,42
35000.0,"Barnett township, Jefferson County, Pennsylvania",065,04240,42
51776.0,"Bell township, Jefferson County, Pennsylvania",065,05200,42
44792.0,"Corsica borough, Jefferson County, Pennsylvania",065,16304,42
48125.0,"Knox township, Jefferson County, Pennsylvania",065,40304,42
48750.0,"Pine Creek township, Jefferson County, Pennsylvania",065,60368,42
46429.0,"Gaskill township, Jefferson County, Pennsylvania",065,28592,42
43750.0,"Henderson township, Jefferson County, Pennsylvania",065,33816,42
53462.0,"Union township, Jefferson County, Pennsylvania",065,78336,42
41250.0,"Heath township, Jefferson County, Pennsylvania",065,33448,42
60469.0,"Christiana borough, Lancaster County, Pennsylvania",071,13512,42
57106.0,"Denver borough, Lancaster County, Pennsylvania",071,18888,42
77675.0,"East Donegal township, Lancaster County, Pennsylvania",071,21032,42
52125.0,"Ephrata borough, Lancaster County, Pennsylvania",071,23832,42
55240.0,"Bart township, Lancaster County, Pennsylvania",071,04376,42
44042.0,"Columbia borough, Lancaster County, Pennsylvania",071,15384,42
64774.0,"Ephrata township, Lancaster County, Pennsylvania",071,23840,42
44516.0,"Millersville borough, Lancaster County, Pennsylvania",071,49728,42
76810.0,"Pequea township, Lancaster County, Pennsylvania",071,59360,42
69643.0,"Rapho township, Lancaster County, Pennsylvania",071,63440,42
70357.0,"Strasburg borough, Lancaster County, Pennsylvania",071,74712,42
64707.0,"Clay township, Lancaster County, Pennsylvania",071,13960,42
45750.0,"Chest township, Clearfield County, Pennsylvania",033,13200,42
52289.0,"Sandy township, Clearfield County, Pennsylvania",033,67792,42
35821.0,"Woodward township, Clearfield County, Pennsylvania",033,86440,42
44250.0,"Bigler township, Clearfield County, Pennsylvania",033,06288,42
34063.0,"Brisbin borough, Clearfield County, Pennsylvania",033,08744,42
40694.0,"Chester Hill borough, Clearfield County, Pennsylvania",033,13240,42
33750.0,"Falls Creek borough, Clearfield County, Pennsylvania",033,25136,42
47143.0,"Morris township, Clearfield County, Pennsylvania",033,51056,42
49724.0,"Harrisburg city, Dauphin County, Pennsylvania",043,32800,42
65250.0,"Londonderry township, Dauphin County, Pennsylvania",043,44464,42
70597.0,"Lower Paxton township, Dauphin County, Pennsylvania",043,45056,42
51579.0,"Lykens township, Dauphin County, Pennsylvania",043,45600,42
52226.0,"Middletown borough, Dauphin County, Pennsylvania",043,49128,42
59432.0,"Perry township, Lawrence County, Pennsylvania",073,59488,42
60781.0,"Plain Grove township, Lawrence County, Pennsylvania",073,61104,42
46818.0,"Wampum borough, Lawrence County, Pennsylvania",073,80880,42
62560.0,"Wilmington township, Lawrence County, Pennsylvania",073,85504,42
65909.0,"Scott township, Lawrence County, Pennsylvania",073,68408,42
47756.0,"Pulaski township, Lawrence County, Pennsylvania",073,62904,42
