B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
387.0,281.0,106.0,0.0,0.0,0.0,"Butler township, Adams County, Pennsylvania",001,10456,42
23.0,6.0,12.0,0.0,5.0,0.0,"East Berlin borough, Adams County, Pennsylvania",001,20792,42
846.0,495.0,216.0,10.0,125.0,0.0,"Gettysburg borough, Adams County, Pennsylvania",001,28960,42
6.0,6.0,0.0,0.0,0.0,0.0,"Liberty township, Adams County, Pennsylvania",001,43056,42
406.0,216.0,83.0,43.0,0.0,64.0,"Straban township, Adams County, Pennsylvania",001,74680,42
274.0,261.0,0.0,6.0,3.0,4.0,"Biglerville borough, Adams County, Pennsylvania",001,06296,42
103.0,101.0,0.0,2.0,0.0,0.0,"Franklin township, Adams County, Pennsylvania",001,27320,42
336.0,336.0,0.0,0.0,0.0,0.0,"Menallen township, Adams County, Pennsylvania",001,48608,42
591.0,492.0,11.0,82.0,6.0,0.0,"New Oxford borough, Adams County, Pennsylvania",001,53920,42
50.0,0.0,50.0,0.0,0.0,0.0,"Bonneauville borough, Adams County, Pennsylvania",001,07560,42
87.0,87.0,0.0,0.0,0.0,0.0,"Hamiltonban township, Adams County, Pennsylvania",001,32200,42
121.0,28.0,0.0,51.0,42.0,0.0,"McSherrystown borough, Adams County, Pennsylvania",001,46376,42
100.0,100.0,0.0,0.0,0.0,0.0,"Oxford township, Adams County, Pennsylvania",001,57472,42
37.0,37.0,0.0,0.0,0.0,0.0,"Union township, Adams County, Pennsylvania",001,78264,42
151.0,126.0,0.0,25.0,0.0,0.0,"Mount Joy township, Adams County, Pennsylvania",001,51640,42
408.0,365.0,0.0,25.0,0.0,18.0,"Hatboro borough, Montgomery County, Pennsylvania",091,33088,42
55.0,55.0,0.0,0.0,0.0,0.0,"Marlborough township, Montgomery County, Pennsylvania",091,47592,42
9046.0,6814.0,1821.0,148.0,195.0,68.0,"Norristown borough, Montgomery County, Pennsylvania",091,54656,42
58.0,27.0,0.0,31.0,0.0,0.0,"Red Hill borough, Montgomery County, Pennsylvania",091,63808,42
114.0,107.0,7.0,0.0,0.0,0.0,"Schwenksville borough, Montgomery County, Pennsylvania",091,68328,42
661.0,422.0,0.0,189.0,50.0,0.0,"Skippack township, Montgomery County, Pennsylvania",091,71016,42
1281.0,1069.0,152.0,21.0,39.0,0.0,"Upper Moreland township, Montgomery County, Pennsylvania",091,79176,42
189.0,157.0,32.0,0.0,0.0,0.0,"Upper Pottsgrove township, Montgomery County, Pennsylvania",091,79240,42
154.0,154.0,0.0,0.0,0.0,0.0,"West Pottsgrove township, Montgomery County, Pennsylvania",091,83912,42
2190.0,1721.0,66.0,179.0,148.0,76.0,"Abington township, Montgomery County, Pennsylvania",091,00156,42
595.0,518.0,0.0,0.0,77.0,0.0,"Bridgeport borough, Montgomery County, Pennsylvania",091,08568,42
1119.0,963.0,66.0,16.0,68.0,6.0,"Lansdale borough, Montgomery County, Pennsylvania",091,41432,42
270.0,181.0,10.0,26.0,16.0,37.0,"Conshohocken borough, Montgomery County, Pennsylvania",091,15848,42
269.0,269.0,0.0,0.0,0.0,0.0,"Franconia township, Montgomery County, Pennsylvania",091,27280,42
67.0,61.0,6.0,0.0,0.0,0.0,"Lower Gwynedd township, Montgomery County, Pennsylvania",091,44920,42
143.0,143.0,0.0,0.0,0.0,0.0,"Upper Hanover township, Montgomery County, Pennsylvania",091,79064,42
838.0,795.0,11.0,9.0,23.0,0.0,"Hatfield township, Montgomery County, Pennsylvania",091,33120,42
19.0,19.0,0.0,0.0,0.0,0.0,"Burnside borough, Clearfield County, Pennsylvania",033,10280,42
18.0,18.0,0.0,0.0,0.0,0.0,"Grampian borough, Clearfield County, Pennsylvania",033,30280,42
24.0,13.0,11.0,0.0,0.0,0.0,"Lawrence township, Clearfield County, Pennsylvania",033,41952,42
